ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
159856,SZSE,ETF,互联网龙头ETF工银,159856,ICBCCS CSI SH-HK-SZ Internet Exchange Traded Fund Units,SZSE,fund,etf,CNE100004GT4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159857,SZSE,ETF,光伏ETF天弘,159857,Tianhong CSI Photovoltaic Industry ETF,SZSE,fund,etf,CNE100004GV0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159858,SZSE,ETF,创新药ETF南方,159858,China Southern CSI Brand Name Drug Industry Exchange Traded Fund,SZSE,fund,etf,CNE100004GW8,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159859,SZSE,ETF,生物医药ETF天弘,159859,Tianhong Guozheng Biological Medicine Exchange Traded Fund Units,SZSE,fund,etf,CNE100004JQ4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159861,SZSE,ETF,碳中和50ETF国泰,159861,Guotai CSI Environmental Protection Industry 50 Exchange Traded Fund,SZSE,fund,etf,CNE100004GX6,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159862,SZSE,ETF,食品饮料ETF银华,159862,Yinhua CSI Food & Beverage Sub-industry Index ETF Units,SZSE,fund,etf,CNE100004Y49,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159863,SZSE,ETF,光伏ETF鹏华,159863,Penghua CSI Photovoltaic Industry Exchange Traded Fund,SZSE,fund,etf,CNE100004GY4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159864,SZSE,ETF,光伏ETF国泰,159864,Guotai CSI Photovoltaic Industry ETF Units,SZSE,fund,etf,CNE100004N00,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159865,SZSE,ETF,养殖ETF国泰,159865,Guotai CSI Livestock Breeding Exchange Traded Fund,SZSE,fund,etf,CNE100004G58,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159866,SZSE,ETF,日经ETF工银,159866,ICBCCS Daiwa Nikkei225 (QDII) ETF,SZSE,fund,etf,CNE100004GZ1,Miscellaneous,Investment Trusts/Mutual Funds,Japan,False,True,accept
159867,SZSE,ETF,养殖ETF鹏华,159867,Penghua CSI Livestock Breeding Exchange Traded Fund Units,SZSE,fund,etf,CNE100004H08,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159869,SZSE,ETF,游戏ETF华夏,159869,China Securities Animation Game ETF,SZSE,fund,etf,CNE100004H16,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
