ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_asset_class,category_update,decision
PUSH,NYSE ARCA,PGIM ETF Trust,PUSH,PGIM Ultra Short Municipal Bond ETF,AMEX,fund,etf,US69344A7688,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
PVEX,BATS,TrueShares ConVex Protect ETF,PVEX,TrueShares ConVex Protect ETF,CBOE,fund,etf,US2103226658,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
PYF,TSX,Purpose Premium Yield Fund,PYF,Purpose Premium Yield Fund,TSX,fund,etf,CA74641L1031,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
QBIG,NASDAQ,Invesco Top QQQ ETF,QBIG,Invesco Top QQQ ETF,NASDAQ,fund,etf,US46090A6718,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
QDAY,NEO,Hamilton EnhancedTechnology DayMAX™ ETF,QDAY,Hamilton Enhanced Technology DayMAX ETF Trust Units,NEO,fund,etf,CA40736A1049,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
QNTG,LSE,VANECK UCITS ETFS PLC VANECK QU,QNTG,VanEck Quantum Computing UCITS ETF Accum Shs -A- USD,LSE,fund,etf,IE0007Y8Y157,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
QQA,NASDAQ,Invesco QQQ Income Advantage ETF,QQA,Invesco QQQ Income Advantage ETF,NASDAQ,fund,etf,US46090A6890,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
RARI,ASX,Russell Investments Australian Responsible Investment ETF,RARI,Russell Investments Australian Responsible Investment ETF,ASX,fund,etf,AU00000RARI9,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
RAUS,NASDAQ,RACWI US ETF,RAUS,RACWI US ETF,NASDAQ,fund,etf,US02072Q5493,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
RAV,TSX,Ravensource Fund,,,,,,,,,no_tradingview_match
RCR.P,TSXV,Canna 8 Investment Trust,RCR.P,Canna 8 Investment Trust,TSXV,stock,common,CA13766K1021,,,asset_type_mismatch
RGOS,ASX,Russell Sust Global Opportunities Complex ETF,RGOS,Russell Invest Sustainable Global Opportunities Complex ETF Units Exchange Traded Fund,ASX,fund,etf,AU0000327132,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
RISR,NYSE ARCA,FolioBeyond Rising Rates ETF,RISR,FolioBeyond Alternative Income and Interest Rate Hedge ETF,AMEX,fund,etf,US8863646373,4071518f1736a5a43dae51b47590322f,,name_mismatch
RJVI,NYSE ARCA,RJ Eagle Vertical Income ETF,RJVI,RJ Eagle Vertical Income ETF,AMEX,fund,etf,US14214M2787,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
RKNG,NASDAQ,Defiance Retail Kings ETF,RKNG,Defiance Retail Kings ETF,NASDAQ,fund,etf,US26922B3785,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
RMPH,LSE,RMPH TRM RESPONSIB SRCED PHYS £ HDGD GLD ETC,RMPH,Royal Mint Responsibly Sourced Physical GBP Hedged Gold ETC,LSE,fund,etf,XS2892961827,8fe80395f389e29e3ea42210337f0350,,name_mismatch
RONB,NYSE,Baron ETF Trust,RONB,Baron First Principles ETF,NYSE,fund,etf,US06829D1072,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
ROPE,NYSE ARCA,Coastal Compass 100 ETF,ROPE,Coastal Compass 100 ETF,AMEX,fund,etf,US02072L1695,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
RSSY,BATS,Return Stacked U,RSSY,Return Stacked U.S. Stocks & Futures Yield ETF,CBOE,fund,etf,US88636J3453,b090e99b8d95f5837ec178c2d3d3fc50,,name_mismatch
RVRB,BATS,Advisors Series Trust - Reverb ETF,,,,,,,,,no_tradingview_match
SCA,ASX,SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2,,,,,,,,,no_tradingview_match
