ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
MMP-UN,TSX,Stock,Precious Metals And Mining Trust,MMP.UN,Precious Metals and Mining Trust Units,TSX,fund,closedend,CA7401731095,Miscellaneous,Investment Trusts/Mutual Funds,Canada,True,True,asset_type_mismatch
MNBI3,B3,Stock,MLOG S.A.,,,,,,,,,,False,False,no_tradingview_match
MNS.U,TSX,ETF,Royal Canadian Mint - Canadian Silver Reserves Exchange-Traded Receipts,MNS.U,Canadian Silver Reserves ETR,TSX,fund,etf,CA7799211130,Miscellaneous,Investment Trusts/Mutual Funds,Canada,False,True,name_mismatch
MOGO,TSX,Stock,Mogo Inc.,,,,,,,,,,False,False,no_tradingview_match
MPCT,TSX,ETF,Dream Impact Trust,,,,,,,,,,False,False,no_tradingview_match
MTAL3,B3,Stock,CIMETAL SIDERURGIA S/A,,,,,,,,,,False,False,no_tradingview_match
MTAL6,B3,Stock,CIMETAL SIDERURGIA S/A,,,,,,,,,,False,False,no_tradingview_match
MTNR5,B3,Stock,METANOR - METANOL DO NORDESTE S.A.,,,,,,,,,,False,False,no_tradingview_match
MTNR7,B3,Stock,METANOR - METANOL DO NORDESTE S.A.,,,,,,,,,,False,False,no_tradingview_match
MWIS6,B3,Stock,MWI - SISTEMA DE COMUNICACAO S.A.,,,,,,,,,,False,False,no_tradingview_match
MZ1,ASX,ETF,MEDALLION TRUST SERIES 2017-1,,,,,,,,,,False,False,no_tradingview_match
MZ2,ASX,ETF,MEDALLION TRUST SERIES 2017-2,,,,,,,,,,False,False,no_tradingview_match
MZF,ASX,ETF,MEDALLION TRUST SERIES 2016-1,,,,,,,,,,False,False,no_tradingview_match
MZT,ASX,ETF,MEDALLION TRUST SERIES 2016-2,,,,,,,,,,False,False,no_tradingview_match
NAII3,B3,Stock,NAI HOLDINGS S.A.,,,,,,,,,,False,False,no_tradingview_match
