ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_isin,tv_sector,tv_industry,sector_update,decision
BLTC.P,TSXV,Baltic I Acquisition Corp.,BLTC.P,Baltic I Acquisition Corp.,TSXV,stock,CA0588261085,Finance,Financial Conglomerates,,unsupported_sector
BNAC3,B3,BANCO NACIONAL S/A,,,,,,,,,no_tradingview_match
BNAC4,B3,BANCO NACIONAL S/A,,,,,,,,,no_tradingview_match
BNRG3,B3,BRAZIL ENERGY S.A.,,,,,,,,,no_tradingview_match
BOAR,LSE,BANK OF AFRICA GDR (REPR 1/3 ORD MAD10)(REG S),,,,,,,,,no_tradingview_match
BOOK,LSE,Literacy Capital PLC,BOOK,Literacy Capital PLC,LSE,fund,GB00BMF1L080,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
BP-A,LSE,BP p.l.c,,,,,,,,,no_tradingview_match
BRCB.P,TSXV,Brachium2 Capital Corp.,BRCB.P,Brachium2 Capital Corp.,TSXV,stock,CA10378A1003,Finance,Financial Conglomerates,,unsupported_sector
BRS,LSE,Beacon Rise Holdings PLC,BRS,Beacon Rise Holdings PLC,LSE,stock,GB00BMC0V753,Finance,Financial Conglomerates,,unsupported_sector
BUZ.P,TSXV,Buzz Capital Inc.,BUZ.P,Buzz Capital Inc,TSXV,stock,CA12429L1013,Finance,Financial Conglomerates,,unsupported_sector
BUZH.P,TSXV,Buzz Capital 2 Inc.,BUZH.P,"Buzz Capital 2, Inc.",TSXV,stock,CA12430G1090,Finance,Financial Conglomerates,,unsupported_sector
BVEN3,B3,BOA VISTA ENERGIA S.A.,,,,,,,,,no_tradingview_match
BWRA,LSE,Bristol Water Holdings UK Limited 8.75% CUM IRRD PRF GBP1,,,,,,,,,no_tradingview_match
C1GT3,B3,CELG TRANSMISSÃO S.A. - CELG T,,,,,,,,,no_tradingview_match
C3RP3,B3,COTRASA PARTICIPACOES S.A.,,,,,,,,,no_tradingview_match
CAC.P,TSXV,Cinaport Acquisition Corp. III,CAC.P,Cinaport Acquisition Corp. III,TSXV,stock,CA17185C1041,Finance,Financial Conglomerates,,unsupported_sector
CAPL.P,TSXV,Caplink Ventures Inc.,CAPL.P,Caplink Ventures Inc.,TSXV,stock,CA14065G1072,Finance,Financial Conglomerates,,unsupported_sector
CBAR.P,TSXV,Castlebar Capital Corp.,CBAR.P,Castlebar Capital Corp.,TSXV,stock,CA14852T1066,Finance,Financial Conglomerates,,unsupported_sector
CBKD,LSE,Commercial International Bank -Egypt S.A.E,,,,,,,,,no_tradingview_match
CBOH3,B3,CBO HOLDING S.A.,,,,,,,,,no_tradingview_match
CCAT3,B3,COMFIO COMPANHIA CATARINENSE DE FIACAO,,,,,,,,,no_tradingview_match
CCAT4,B3,COMFIO COMPANHIA CATARINENSE DE FIACAO,,,,,,,,,no_tradingview_match
CCIC.P,TSXV,Chicane Capital I Corp.,CCIC.P,Chicane Capital I Corp,TSXV,stock,CA1682731007,Finance,Financial Conglomerates,,unsupported_sector
CCZ.P,TSXV,Chablis Capital Corp.,CCZ.P,Chablis Capital Corp.,TSXV,stock,CA15723C1077,Finance,Financial Conglomerates,,unsupported_sector
CEAC3,B3,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,,no_tradingview_match
CEAC4,B3,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,,no_tradingview_match
CEAG3,B3,CIA DE ENTREPOSTOS E ARMAZENS GERAIS SP,,,,,,,,,no_tradingview_match
CEAL3,B3,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,,no_tradingview_match
CEAL4,B3,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,,no_tradingview_match
CEAP3,B3,COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA,,,,,,,,,no_tradingview_match
