ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_sector,tv_industry,sector_update,decision
2381,TADAWUL,ARABIAN DRILLING,2381,Arabian Drilling Co.,TADAWUL,stock,Industrial Services,Contract Drilling,Industrials,accept
2453,TWSE,凌群電腦股份有限公司,2453,"Syscom Computer Engineering Co., Ltd.",TWSE,stock,Technology Services,Information Technology Services,,name_mismatch
2542,TWSE,興富發建設股份有限公司,2542,Highwealth Construction Corp.,TWSE,stock,Finance,Real Estate Development,,name_mismatch
2723,TWSE,開曼美食達人股份有限公司,2723,Gourmet Master Co. Ltd.,TWSE,stock,Consumer Non-Durables,Food: Specialty/Candy,,name_mismatch
2739,TWSE,寒舍餐旅管理顧問股份有限公司,2739,My Humble House Hospitality Management Consulting Co Ltd,TWSE,stock,Consumer Services,Hotels/Resorts/Cruise lines,,name_mismatch
2939,TWSE,永邑國際集團股份有限公司,2939,"Yong Yi International Group Co., Ltd.",TWSE,stock,Consumer Durables,Home Furnishings,,name_mismatch
2WAV3,B3,2W ECOBANK S.A.,,,,,,,,no_tradingview_match
3007,TADAWUL,OASIS,3007,Zahrat Al Waha For Trading Co.,TADAWUL,stock,Process Industries,Containers/Packaging,,name_mismatch
3018,TWSE,隆銘綠能科技工程股份有限公司,3018,Lung Ming Green Energy Technology Engineering Co Ltd.,TWSE,stock,Electronic Technology,Telecommunications Equipment,,name_mismatch
3026,TWSE,禾伸堂企業股份有限公司,3026,"Holy Stone Enterprise Co., Ltd.",TWSE,stock,Electronic Technology,Semiconductors,,name_mismatch
4001,TADAWUL,A.OTHAIM MARKET,4001,Abdullah Al Othaim Markets Co.,TADAWUL,stock,Retail Trade,Food Retail,,name_mismatch
4002,TADAWUL,MOUWASAT,4002,Mouwasat Medical Services Co.,TADAWUL,stock,Health Services,Hospital/Nursing Management,,name_mismatch
4003,TADAWUL,EXTRA,4003,United Electronics Co.,TADAWUL,stock,Finance,Finance/Rental/Leasing,,name_mismatch
4007,TADAWUL,ALHAMMADI,4007,Al Hammadi Holding,TADAWUL,stock,Health Services,Hospital/Nursing Management,,name_mismatch
4009,TADAWUL,SAUDI GERMAN HEALTH,4009,Middle East Healthcare Company,TADAWUL,stock,Health Services,Medical/Nursing Services,,name_mismatch
4018,TADAWUL,ALMOOSA,4018,Almoosa Health Co.,TADAWUL,stock,Health Services,Hospital/Nursing Management,,name_mismatch
4030,TADAWUL,BAHRI,4030,National Shipping Co. of Saudi Arabia,TADAWUL,stock,Transportation,Marine Shipping,,name_mismatch
4050,TADAWUL,SASCO,4050,Saudi Automotive Services Co.,TADAWUL,stock,Retail Trade,Specialty Stores,,name_mismatch
4070,TADAWUL,TAPRCO,4070,Tihama Advertising & Public Relations Co.,TADAWUL,stock,Commercial Services,Advertising/Marketing Services,,name_mismatch
4080,TADAWUL,SINAD HOLDING,4080,Sinad Holding Company,TADAWUL,stock,Finance,Financial Conglomerates,,unsupported_sector
4083,TADAWUL,TASHEEL,4083,United International Holding Co.,TADAWUL,stock,Finance,Finance/Rental/Leasing,,name_mismatch
4084,TADAWUL,DERAYAH,4084,Derayah Financial Company,TADAWUL,stock,Finance,Investment Managers,,name_mismatch
4090,TADAWUL,TAIBA,4090,Taiba Investment Company,TADAWUL,stock,Consumer Durables,Homebuilding,,name_mismatch
4110,TADAWUL,BATIC,4110,Batic Investments and Logistics Co.,TADAWUL,stock,Transportation,Trucking,,name_mismatch
4137,TWSE,麗豐股份有限公司,4137,Chlitina Holding Ltd.,TWSE,stock,Consumer Non-Durables,Household/Personal Care,,name_mismatch
4140,TADAWUL,SIECO,4140,Saudi Industrial Export Co.,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
4141,TADAWUL,ALOMRAN,4141,Al-Omran Industrial & Trading Co.,TADAWUL,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
4143,TADAWUL,TALCO,4143,Al Taiseer Group Talco Industrial Co.,TADAWUL,stock,Non-Energy Minerals,Aluminum,,name_mismatch
4144,TADAWUL,RAOOM,4144,Raoom trading Company,TADAWUL,stock,Process Industries,Industrial Specialties,,name_mismatch
4145,TADAWUL,OGC,4145,Obeikan Glass Co,TADAWUL,stock,Process Industries,Industrial Specialties,,name_mismatch
4146,TADAWUL,GAS,4146,Gas Arabian Services Co,TADAWUL,stock,Industrial Services,Oilfield Services/Equipment,,name_mismatch
4148,TWSE,全宇生技控股有限公司,4148,All Cosmos Bio-Tech Holding Corp.,TWSE,stock,Process Industries,Chemicals: Agricultural,,name_mismatch
4162,TADAWUL,ALMUNAJEM,4162,Almunajem Foods Company,TADAWUL,stock,Distribution Services,Food Distributors,,name_mismatch
4190,TWSE,佐登妮絲集團股份有限公司,4190,Jourdeness Group Ltd.,TWSE,stock,Consumer Non-Durables,Household/Personal Care,,name_mismatch
4191,TADAWUL,ABO MOATI,4191,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,TADAWUL,stock,Retail Trade,Specialty Stores,,name_mismatch
4200,TADAWUL,ALDREES,4200,Aldrees Petroleum & Transport Services Co.,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
4210,TADAWUL,SRMG,4210,Saudi Research and Media Group,TADAWUL,stock,Commercial Services,Advertising/Marketing Services,,name_mismatch
4230,TADAWUL,RED SEA,4230,Red Sea International Co.,TADAWUL,stock,Producer Manufacturing,Building Products,Industrials,accept
4280,TADAWUL,KINGDOM,4280,Kingdom Holding Co.,TADAWUL,stock,Finance,Financial Conglomerates,,unsupported_sector
4291,TADAWUL,NCLE,4291,National Co. for Learning & Education,TADAWUL,stock,Consumer Services,Other Consumer Services,,name_mismatch
4292,TADAWUL,ATAA,4292,Ataa Educational Company,TADAWUL,stock,Consumer Services,Other Consumer Services,,name_mismatch
4300,TADAWUL,DAR ALARKAN,4300,Dar Al Arkan Real Estate Development Co.,TADAWUL,stock,Finance,Real Estate Development,,name_mismatch
4321,TADAWUL,CENOMI CENTERS,4321,Arabian Centres Co.,TADAWUL,stock,Finance,Real Estate Development,,name_mismatch
4322,TADAWUL,RETAL,4322,Retal Urban Development Company,TADAWUL,stock,Finance,Real Estate Development,,name_mismatch
4325,TADAWUL,MASAR,4325,Umm Al Qura for Development and Construction Company,TADAWUL,stock,Finance,Real Estate Development,,name_mismatch
4327,TADAWUL,ALRAMZ,4327,Alramz Real Estate Co.,TADAWUL,stock,Finance,Real Estate Development,,name_mismatch
4557,TWSE,永新控股股份有限公司,4557,Yusin Holding Corp.,TWSE,stock,Producer Manufacturing,Auto Parts: OEM,,name_mismatch
4590,TWSE,富田電機股份有限公司,4590,Fukuta Electric & Machinery Co. Ltd.,TWSE,stock,Producer Manufacturing,Electrical Products,,name_mismatch
4807,TWSE,日成控股股份有限公司,4807,Regal Holding Co Ltd,TWSE,stock,Consumer Durables,Other Consumer Specialties,,name_mismatch
4943,TWSE,開曼康而富控股股份有限公司,4943,"Concraft Holding Co., Ltd.",TWSE,stock,Electronic Technology,Electronic Components,,name_mismatch
4THGEN,BSE_IN,Fourth Generation Information Systems Ltd,4THGEN,Fourth Generation Information Systems Ltd.,BSE,stock,Technology Services,Packaged Software,Information Technology,accept
5007,TWSE,三星科技股份有限公司,5007,San Shing Fastech Corp.,TWSE,stock,Producer Manufacturing,Metal Fabrication,,name_mismatch
5215,TWSE,科嘉(開曼)股份有限公司,5215,"Ko Ja (Cayman) Co., Ltd.",TWSE,stock,Electronic Technology,Electronic Production Equipment,,name_mismatch
5225,TWSE,東科控股股份有限公司,5225,Eastech Holding Limited,TWSE,stock,Electronic Technology,Electronic Production Equipment,,name_mismatch
5292,TWSE,華懋科技股份有限公司,5292,Desiccant Technology Corporation,TWSE,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
5306,TWSE,桂盟國際股份有限公司,5306,KMC (Kuei Meng) International Inc.,TWSE,stock,Consumer Durables,Motor Vehicles,,name_mismatch
5538,TWSE,開曼東明控股股份有限公司,5538,"Tong Ming Enterprise Co., Ltd.",TWSE,stock,Producer Manufacturing,Metal Fabrication,,name_mismatch
5555,Bursa,SUNWAY HEALTHCARE HOLDINGS BERHAD,,,,,,,,no_tradingview_match
6001,TADAWUL,HB,6001,Halwani Brothers Company,TADAWUL,stock,Consumer Non-Durables,Food: Major Diversified,,name_mismatch
6002,TADAWUL,HERFY FOODS,6002,Herfy Food Services Co.,TADAWUL,stock,Consumer Services,Restaurants,,name_mismatch
6004,TADAWUL,CATRION,6004,CATRION Catering Holding Company,TADAWUL,stock,Transportation,Other Transportation,,name_mismatch
6010,TADAWUL,NADEC,6010,National Agricultural Development Co.,TADAWUL,stock,Consumer Non-Durables,Food: Meat/Fish/Dairy,,name_mismatch
6014,TADAWUL,ALAMAR,6014,AlAmar Foods Co.,TADAWUL,stock,Consumer Services,Restaurants,,name_mismatch
6019,TADAWUL,ALMASAR ALSHAMIL,6019,Al Masar Al Shamil Education Co.,TADAWUL,stock,Finance,Financial Conglomerates,,name_mismatch
6060,TADAWUL,SHARQIYAH DEV,6060,Ash-Sharqiyah Development Co.,TADAWUL,stock,Process Industries,Agricultural Commodities/Milling,,name_mismatch
6139,TWSE,亞翔工程股份有限公司,6139,L&K Engineering Co. Ltd.,TWSE,stock,Industrial Services,Engineering & Construction,,name_mismatch
6415,TWSE,矽力杰股份有限公司,6415,Silergy Corp.,TWSE,stock,Electronic Technology,Electronic Components,,name_mismatch
6431,TWSE,光麗生技控股股份有限公司,6431,"Kuangli Bio-Tech Holdings Co., Ltd.",TWSE,stock,Electronic Technology,Electronic Components,,name_mismatch
6451,TWSE,訊芯科技控股股份有限公司,6451,ShunSin Technology Holdings Ltd.,TWSE,stock,Electronic Technology,Computer Peripherals,,name_mismatch
6491,TWSE,晶碩光學股份有限公司,6491,Pegavision Corp.,TWSE,stock,Electronic Technology,Electronic Components,,name_mismatch
6541,TWSE,泰福生技股份有限公司,6541,"Tanvex Biopharma, Inc.",TWSE,stock,Health Technology,Pharmaceuticals: Major,,name_mismatch
