listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
ADX::GRMNY,GRMNY,ADX,ETF,Chimera S&P Germany UCITS ETF - Share Class D - Income,Ireland,IE,IE000EK4H397,Equity,verified,Matched active official exchange directory listing.,Chimera S&P Germany UCITS ETF - Share Class D - Income,adx_market_watch,True,,BBG01PPMXR92,
ADX::USGRWTH,USGRWTH,ADX,ETF,Chimera S&P US Shariah Growth ETF - Share Class A - Accumulating,United Arab Emirates,AE,AEC01080C228,Equity,verified,Matched active official exchange directory listing.,Chimera S&P US Shariah Growth ETF - Share Class A - Accumulating,adx_market_watch,True,,BBG018KVSY96,
AMS::30ID,30ID,AMS,ETF,iShares iBonds Dec 2030Term$CorpETF$Dist,Ireland,IE,IE000BZXJJ24,Fixed Income,verified,Matched active official exchange reference via same-exchange ISIN.,iShares iBonds Dec 2030 Term $ Corp UCITS ETF USD (Dist),six_etf_products,True,,BBG01MQ6FNW6,
AMS::600X,600X,AMS,ETF,State Street SPDR STOXX Europe 600 SRI UCITS ETF (Acc),Ireland,IE,IE00BK5H8015,,verified,Matched active official exchange directory listing.,State Street SPDR STOXX Europe 600 SRI UCITS ETF (Acc),euronext_etfs,True,,BBG00QFNKKH0,
AMS::ASIG,ASIG,AMS,ETF,iShares $ Asia Investment Grade Corp Bond UCITS ETF USD (Acc),Ireland,IE,IE0007G78AC4,Fixed Income,verified,Matched active official exchange reference via same-exchange ISIN.,iShares $ Asia Investment Grade Corp Bond UCITS ETF USD (Acc),euronext_etfs,True,,BBG01382RNG2,
AMS::BTCN,BTCN,AMS,ETF,iShares Bitcoin ETP,Netherlands,NL,XS2940466316,,verified,Matched active official exchange reference via same-exchange ISIN.,iShares Bitcoin ETP,six_etp_products,True,,BBG01SV9TX72,
AMS::CPRS,CPRS,AMS,ETF,Leverage Shares -3x Short Copper ETC,Netherlands,NL,XS3299460967,Leveraged/Inverse,verified,Matched active official exchange directory listing.,Leverage Shares -3x Short Copper ETC,euronext_etfs,True,,BBG02106D4Q0,
AMS::DHYE,DHYE,AMS,ETF,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Acc),Ireland,IE,IE00BJK55B31,Fixed Income,verified,Matched active official exchange directory listing.,iShares $ High Yield Corp Bond ESG SRI UCITS ETF USD (Acc),euronext_etfs,True,,BBG00Q8HXZY5,
AMS::ESCE,ESCE,AMS,ETF,iShares MSCI Europe Small Cap UCITS ETF EUR (Acc),Ireland,IE,IE0000N55FP4,Equity,verified,Matched active official exchange directory listing.,iShares MSCI Europe Small Cap UCITS ETF EUR (Acc),euronext_etfs,True,,BBG02152XK95,
AMS::FDNE,FDNE,AMS,ETF,First Trust Dow Jones Internet UCITS ETF Class A USD EUR,Ireland,IE,IE00BG0SSC32,,verified,Matched active official exchange directory listing.,First Trust Dow Jones Internet UCITS ETF,euronext_etfs,True,,BBG00L4P2QT2,
AMS::HKDE,HKDE,AMS,ETF,UBS(Lux)Fund Solutions – MSCI Hong Kong UCITS ETF(HKD)A-dis EUR,Luxembourg,LU,LU1169827224,Equity,verified,Matched active official exchange directory listing.,UBS (Lux) Fund Solutions - MSCI Hong Kong UCITS ET,euronext_etfs,True,,BBG00BV36VQ1,
