ticker,exchange,asset_type,name,qfma_company_code,qfma_company_name,qfma_sector,qfma_isin,name_match,decision,source_url,verification_evidence_required,identity_gate_context
MFMS,QSE,Stock,Mosanada,,,,,False,no_qfma_company_code_match,https://www.qfma.org.qa/English/Securities/MainMarketShares/_vti_bin/QFMA/Service.svc/GetAllCompaniesMainMarket,official_qfma_market_row_with_exact_company_code_and_valid_isin_checksum,ticker_exact_match=false;valid_isin_checksum=false;qfma_active_source=false;name_match=false
QATR,QSE,ETF,Al Rayan Qatar ETF,QATR,Al Rayan Qatar ETF,,QA000F33F9Z8,True,accept,https://www.qfma.org.qa/English/Securities/ETFs/_vti_bin/QFMA/Service.svc/GetAllListedETFS,official_qfma_market_row_with_exact_company_code_and_valid_isin_checksum,ticker_exact_match=true;valid_isin_checksum=true;qfma_active_source=true;name_match=true
QETF,QSE,ETF,QE Index ETF,QETF,QE Index ETF,,QA0001W26QQ0,True,accept,https://www.qfma.org.qa/English/Securities/ETFs/_vti_bin/QFMA/Service.svc/GetAllListedETFS,official_qfma_market_row_with_exact_company_code_and_valid_isin_checksum,ticker_exact_match=true;valid_isin_checksum=true;qfma_active_source=true;name_match=true
