listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
LSE::IMV,IMV,LSE,ETF,iShares Edge MSCI Europe Min Volatility UCITS,Ireland,IE,IE00B86MWN23,Equity,verified,Matched active official exchange directory listing.,ISHARES VI PLC ISHRS EDGE MSCI EURP MIN VOL ETF EUR ACC,lse_price_explorer,True,,BBG003P7LPV7,
LSE::INGH,INGH,LSE,ETF,iShares Global Infrastructure UCITS ETF GBP Hedged (Acc),Ireland,IE,IE000TCZMZM8,Equity,verified,Matched active official exchange directory listing.,ISHARES II PLC ISH GLB INFRASTRUCTURE UCTS ETF GBP H AC,lse_price_explorer,True,,BBG01QHNSVT2,
LSE::INXG,INXG,LSE,ETF,iShares £ Index-Linked Gilts UCITS ETF GBP (Dist),Ireland,IE,IE00B1FZSD53,Fixed Income,verified,Matched active official exchange directory listing.,ISHARES II PLC ISHRS £ INDX-LINKED GILTS ETF GBP (DIST),lse_price_explorer,True,,BBG000D195P4,
LSE::IQCT,IQCT,LSE,ETF,Amundi Index Solutions - Amundi MSCI Smart Cities ESG Screened UCITS ETF – Acc USD,Luxembourg,LU,LU2037748345,Equity,verified,Matched active official exchange directory listing.,AMUNDI INDEX SOLUTIONS AMUNDI MSCI SMART CITIES UCITS ETF ACC,lse_price_explorer,True,,BBG01MLXYYG5,
LSE::IRSA,IRSA,LSE,ETF,iShares MSCI South Africa UCITS ETF USD (Acc),Ireland,IE,IE00B52XQP83,Equity,verified,Matched active official exchange directory listing.,ISHARES III PLC ISHRS MSCI SOUTH AFRICA ETF USD (ACC),lse_price_explorer,True,,BBG000BZW3L4,
LSE::ISF,ISF,LSE,ETF,iShares Core FTSE 100 UCITS ETF GBP (Dist),Ireland,IE,IE0005042456,Equity,verified,Matched active official exchange directory listing.,ISHARES PLC ISHARES CORE FTSE100 UCITS ETF GBP(DIST),lse_price_explorer,True,,BBG000CM14W2,
LSE::ISUN,ISUN,LSE,ETF,Invesco Solar Energy UCITS ETF,Ireland,IE,IE00BM8QRZ79,Equity,verified,Matched active official exchange directory listing.,INVESCO MARKETS II PLC IVZ SOLAR ENERGY UCITS ETF,lse_price_explorer,True,,BBG011PCYK37,
LSE::ITEC,ITEC,LSE,ETF,SPDR® MSCI Europe Technology UCITS ETF,Ireland,IE,IE00BKWQ0K51,Equity,verified,Matched active official exchange directory listing.,SSGA SPDR ETFS EUROPE II PLC SS SPDR MSCI EUROPE TECHNOLOGY UCITS ETF,lse_price_explorer,True,,BBG007PMMGS8,
LSE::ITWN,ITWN,LSE,ETF,iShares MSCI Taiwan UCITS,Ireland,IE,IE00B0M63623,,verified,Matched active official exchange directory listing.,ISHARES PLC ISHARES MSCI TAIWAN UCITS ETF USD (DIST),lse_price_explorer,True,,BBG000BSPMK7,
LSE::IUES,IUES,LSE,ETF,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),Ireland,IE,IE00B42NKQ00,Equity,verified,Matched active official exchange directory listing.,ISHARES V PLC ISHRS S&P 500 ENERGY SECT ETF USD (ACC),lse_price_explorer,True,,BBG00BDQV2V0,
LSE::IUMD,IUMD,LSE,ETF,iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Dist),Ireland,IE,IE00BFF5RZ82,Equity,verified,Matched active official exchange directory listing.,ISHARES IV PLC ISH USA MOMENTUM ETF USD DIST,lse_price_explorer,True,,BBG00JZ9VVK5,
LSE::IUSE,IUSE,LSE,ETF,iShares S&P 500 EUR Hedged UCITS ETF,Ireland,IE,IE00B3ZW0K18,Equity,verified,Matched active official exchange directory listing.,ISHARES V PLC ISHRS S&P 500 EUR HEDGED ETF (ACC),lse_price_explorer,True,,BBG0016YWCW9,
LSE::IUVL,IUVL,LSE,ETF,iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc),Ireland,IE,IE00BD1F4M44,Equity,verified,Matched active official exchange directory listing.,ISHARES IV PLC ISHARES EDGE MSCI USA VALUE FACTOR,lse_price_explorer,True,,BBG00DZWFD25,
LSE::IWFV,IWFV,LSE,ETF,iShares MSCI World Value Factor UCITS,Ireland,IE,IE00BP3QZB59,Equity,verified,Matched active official exchange directory listing.,ISHARES IV PLC ISHS EDGE MSCI WRL VAL FCT UCITS ETF ACC,lse_price_explorer,True,,BBG0078NVDZ4,
LSE::J13E,J13E,LSE,ETF,JPM BetaBuilders EUR Govt Bond 1-3 yr UCITS ETF - EUR (acc),Ireland,IE,IE00BYVZV757,Fixed Income,verified,Matched active official exchange directory listing.,JPMORGAN ETFS (IRELAND) ICAV JPM EUR GOVT BOND 1-3 YR UCITS ETF (ACC),lse_price_explorer,True,,BBG00JRVK105,
LSE::JAGP,JAGP,LSE,ETF,JPMORGAN ETFS (IRELAND) ICAV JPM GLOBAL AGG BOND UCITS ETF GBP HDG,Ireland,IE,IE0000F1IQZ8,Fixed Income,verified,Matched active official exchange directory listing.,JPMORGAN ETFS (IRELAND) ICAV JPM GLOB AGG BOND ACTIVE UCITS ETF GBP H,lse_price_explorer,True,,BBG01HS8YC81,
LSE::JEEP,JEEP,LSE,ETF,JPMorgan Europe Equity Premium Income Active UCITS ETF,Ireland,IE,IE00064TWYK9,Equity,verified,Matched active official exchange directory listing.,JPMORGAN ETFS (IRELAND) ICAV JPM EUROPE EPI UCITS ETF EUR DIS,lse_price_explorer,True,,BBG01ZD4QYX9,
LSE::JEQP,JEQP,LSE,ETF,JPM Nasdaq Equity Premium Income Active UCITS ETF USD Dist GBP,Ireland,IE,IE000U9J8HX9,Equity,verified,Matched active official exchange directory listing.,JPMORGAN ETFS (IRELAND) ICAV JPM NASDAQ EQ PREMIUM INC UCITS ETF DIST,lse_price_explorer,True,,BBG01Q0BF107,
LSE::JGRE,JGRE,LSE,ETF,JPMorgan ETFs (Ireland) ICAV - Global Research Enhanced Index Equity UCITS ETF - USD (acc),Ireland,IE,IE00BF4G6Y48,Equity,verified,Matched active official exchange directory listing.,JPMORGAN ETFS (IRELAND) ICAV JPM GLOBAL REI UCITS ETF USD ACC,lse_price_explorer,True,,BBG00LYB47N6,
