isin,listing_key,ticker,exchange,is_primary
AT0000741053,VSE::EVN,EVN,VSE,1
AT0000741053,LSE::0EEI,0EEI,LSE,0
AT0000741053,FSX::EVN,EVN,FSX,0
AT0000743059,LSE::0MKH,0MKH,LSE,1
AT0000743059,XETRA::OMV,OMV,XETRA,0
AT0000743059,OTC::OMVJF,OMVJF,OTC,0
AT0000746409,VSE::VER,VER,VSE,1
AT0000746409,LSE::0NR1,0NR1,LSE,0
AT0000746409,XETRA::OEWA,OEWA,XETRA,0
AT0000746409,FSX::OEWA,OEWA,FSX,0
AT0000746409,Munich::OEWA,OEWA,Munich,0
AT0000746409,XDUS::OEWA,OEWA,XDUS,0
AT0000746409,XSTU::OEWA,OEWA,XSTU,0
AT0000746409,OTC::OEZVF,OEZVF,OTC,0
AT0000758305,VSE::PAL,PAL,VSE,1
AT0000758305,LSE::0MJ1,0MJ1,LSE,0
AT0000758305,FSX::PFI,PFI,FSX,0
AT0000758305,XSTU::PFI,PFI,XSTU,0
AT0000758305,OTC::PLFRF,PLFRF,OTC,0
AT0000785407,LSE::0IWU,0IWU,LSE,1
AT0000785407,XETRA::FAA,FAA,XETRA,0
AT0000785407,FSX::FAA,FAA,FSX,0
AT0000785407,XSTU::FAA,FAA,XSTU,0
AT0000785407,OTC::FBSFF,FBSFF,OTC,0
AT0000785555,LSE::0G29,0G29,LSE,1
AT0000785555,OTC::SEIGF,SEIGF,OTC,0
AT0000808209,VSE::SWUT,SWUT,VSE,1
AT0000808209,XSTU::SWU,SWU,XSTU,0
AT0000815402,VSE::UBS,UBS,VSE,1
AT0000815402,LSE::0GD5,0GD5,LSE,0
AT0000815402,FSX::2U2,2U2,FSX,0
AT0000815402,XSTU::2U2,2U2,XSTU,0
AT0000818802,VSE::DOC,DOC,VSE,1
AT0000818802,LSE::0E64,0E64,LSE,0
AT0000818802,FSX::DOQ,DOQ,FSX,0
AT0000821103,VSE::UQA,UQA,VSE,1
AT0000821103,LSE::0GDR,0GDR,LSE,0
AT0000821103,XETRA::UN9,UN9,XETRA,0
AT0000821103,FSX::UN9,UN9,FSX,0
AT0000824206,VSE::ABE,ABE,VSE,1
AT0000824206,XSTU::JPH,JPH,XSTU,0
AT0000827209,VSE::WXF,WXF,VSE,1
AT0000827209,FSX::WFS,WFS,FSX,0
AT0000827209,WSE::WXF,WXF,WSE,0
AT0000831706,VSE::WIE,WIE,VSE,1
AT0000831706,LSE::0MKZ,0MKZ,LSE,0
AT0000831706,XETRA::WIB,WIB,XETRA,0
AT0000831706,OTC::WBRBF,WBRBF,OTC,0
AT0000831706,FSX::WIB,WIB,FSX,0
AT0000831706,Munich::WIB,WIB,Munich,0
AT0000831706,XDUS::WIB,WIB,XDUS,0
AT0000831706,XSTU::WIB,WIB,XSTU,0
AT0000834007,VSE::WOL,WOL,VSE,1
AT0000834007,LSE::0GJA,0GJA,LSE,0
AT0000834007,XSTU::WOF,WOF,XSTU,0
AT0000837307,VSE::ZAG,ZAG,VSE,1
AT0000837307,LSE::0MJH,0MJH,LSE,0
AT0000837307,FSX::T9Z,T9Z,FSX,0
AT0000837307,OTC::ZMTBY,ZMTBY,OTC,0
AT0000908504,VSE::VIG,VIG,VSE,1
AT0000908504,LSE::0MZX,0MZX,LSE,0
AT0000908504,FSX::WSV2,WSV2,FSX,0
AT0000922554,VSE::ROS,ROS,VSE,1
AT0000922554,LSE::0FRW,0FRW,LSE,0
AT0000922554,FSX::ROI,ROI,FSX,0
AT0000922554,XSTU::ROI,ROI,XSTU,0
AT0000937503,VSE::VOE,VOE,VSE,1
AT0000937503,LSE::0MKX,0MKX,LSE,0
AT0000937503,XETRA::VAS,VAS,XETRA,0
AT0000937503,FSX::VAS,VAS,FSX,0
AT0000937503,Munich::VAS,VAS,Munich,0
AT0000937503,XDUS::VAS,VAS,XDUS,0
AT0000937503,XSTU::VAS,VAS,XSTU,0
AT0000937503,OTC::VLPNF,VLPNF,OTC,0
AT0000938204,VSE::MMK,MMK,VSE,1
AT0000938204,LSE::0NZ7,0NZ7,LSE,0
AT0000938204,OTC::MNHFF,MNHFF,OTC,0
AT0000938204,FSX::MYM,MYM,FSX,0
AT0000938204,XSTU::MYM,MYM,XSTU,0
AT0000946652,LSE::0O05,0O05,LSE,1
AT0000946652,XETRA::SLL,SLL,XETRA,0
AT0000946652,OTC::SBOEF,SBOEF,OTC,0
AT0000969985,VSE::ATS,ATS,VSE,1
AT0000969985,LSE::0O5C,0O5C,LSE,0
AT0000969985,OTC::ASAAF,ASAAF,OTC,0
AT0000969985,FSX::AUS,AUS,FSX,0
AT0000969985,Munich::AUS,AUS,Munich,0
AT0000969985,XDUS::AUS,AUS,XDUS,0
AT0000969985,XHAN::AUS,AUS,XHAN,0
AT0000969985,XSTU::AUS,AUS,XSTU,0
AT0000A00XX9,VSE::PYT,PYT,VSE,1
AT0000A00XX9,LSE::0GOX,0GOX,LSE,0
AT0000A00XX9,FSX::P4N,P4N,FSX,0
AT0000A0E9W5,VSE::KTN,KTN,VSE,1
AT0000A0E9W5,LSE::0L9J,0L9J,LSE,0
AT0000A0E9W5,XETRA::KTN,KTN,XETRA,0
AT0000A0E9W5,FSX::KTN,KTN,FSX,0
AT0000A18XM4,OTC::AMSSY,AMSSY,OTC,1
AT0000A18XM4,OTC::AUKUF,AUKUF,OTC,0
AT0000A21KS2,VSE::CPI,CPI,VSE,1
AT0000A21KS2,LSE::0PAN,0PAN,LSE,0
AT0000A21KS2,WSE::CPI,CPI,WSE,0
AT0000A25NJ6,VSE::WOLF,WOLF,VSE,1
