ticker,alias,alias_type
000001,CNE000000040,isin
000001,ping an bank,name
000002,CNE0000000T2,isin
000002,china vanke,name
000004,CNE0000000Y2,isin
000004,shenzhen cau technology,name
000006,CNE000000164,isin
000006,shenzhen zhenye group,name
000006,shenzhen zhenye,name
000007,CNE0000000P0,isin
000007,shenzhen zero-seven,name
000008,CNE0000001C6,isin
000008,china high-speed railway technology,name
000009,CNE000000222,isin
000009,china baoan group,name
000009,china baoan,name
000010,CNE000000156,isin
000010,shenzhen ecobeauty,name
000011,CNE000000248,isin
000012,CNE0000002R2,isin
000014,CNE0000003G3,isin
000014,shahe industry,name
000016,CNE0000002T8,isin
000017,CNE0000002Q4,isin
000019,CNE000000354,isin
000021,CNE000000FK4,isin
000021,shenzhen kaifa technology,name
000025,CNE0000008N8,isin
000026,CNE000000875,isin
000027,CNE000000933,isin
000027,shenzhen energy group,name
000027,shenzhen energy,name
000028,CNE0000009N6,isin
000029,CNE0000009X5,isin
000029,shenzhen special economic zone real estate & properties group,name
000030,CNE0000009Z0,isin
000030,fawer automotive parts,name
000031,CNE000000BJ5,isin
000031,grandjoy holdings group,name
000031,grandjoy,name
000032,CNE000000BK3,isin
000032,shenzhen sed industry,name
000034,CNE000000DQ6,isin
000034,digital china group,name
000035,CNE000000FN8,isin
000035,china tianying,name
000036,CNE000000G13,isin
000036,china union holdings,name
000036,china union,name
000037,CNE000000G62,isin
000039,CNE000000644,isin
000039,china international marine containers group,name
000039,china international marine containers,name
000040,KR7000040006,isin
000040,kr motors,name
000042,CNE000000H53,isin
000042,shenzhen centralcon investment holding,name
000042,shenzhen centralcon investment,name
000045,CNE000000H61,isin
000048,CNE000000HD5,isin
000048,shenzhen kondarl group,name
000048,shenzhen kondarl,name
000049,CNE0000000F1,isin
000049,shenzhen desay battery technology,name
000055,CNE000000JY7,isin
000056,CNE000000297,isin
000058,CNE000000NR3,isin
000059,CNE000000NY9,isin
000059,north huajin chemical industries,name
000060,CNE000000FS7,isin
000060,shenzhen zhongjin lingnan nonfemet,name
000061,CNE0000008V1,isin
000061,shenzhen agricultural products,name
000062,CNE0000008R9,isin
000062,shenzhen huaqiang industry,name
000063,CNE000000TK5,isin
000065,CNE000000VZ9,isin
000065,norinco international cooperation,name
000066,CNE000000RL7,isin
000066,china greatwall computer shenzhen,name
000068,CNE000000QV8,isin
000068,shenzhen huakong seg,name
000069,CNE000000SS0,isin
000069,shenzhen overseas chinese town,name
000078,CNE000000X95,isin
000078,shenzhen neptunus bioengineering,name
000080,KR7000080002,isin
000080,hite jinro,name
000088,CNE000000SF7,isin
000088,shenzhen yan tian port holdings,name
000088,shenzhen yan tian port,name
000089,CNE000000VK1,isin
000089,shenzhen airport,name
000090,CNE000000F89,isin
000090,shenzhen tagen group,name
000090,shenzhen tagen,name
000096,CNE000001410,isin
000096,shenzhen guangju energy,name
000099,CNE0000013Q1,isin
000099,citic offshore helicopter,name
0000D0,KR70000D0009,isin
0000H0,KR70000H0005,isin
0000H0,kodex nifty100,name
0000J0,KR70000J0003,isin
0000Y0,KR70000Y0004,isin
0000Y0,hk 26-12 aa,name
0000Z0,KR70000Z0003,isin
0001,MYQ0001OO006,isin
0001,A14QAZ,wkn
0001,supercomnet technologies,name
0001,supercomnet,name
000100,KR7000100008,isin
000100,yuhan,name
000120,KR7000120006,isin
000120,cj korea express,name
000140,KR7000140004,isin
000140,hitejinro holdings,name
000140,hitejinro,name
000150,KR7000150003,isin
000150,doosan,name
000151,CNE0000014J4,isin
000151,china national complete plant import & export,name
000153,CNE0000014X5,isin
000153,anhui fengyuan pharmaceutical,name
000153,anhui fengyuan,name
000156,CNE0000014L0,isin
000156,wasu media holding,name
000156,wasu media,name
000158,CNE0000013X7,isin
000158,shijiazhuang changshan textile,name
000159,CNE0000014R7,isin
000159,xinjiang international industry,name
000166,CNE100002FD4,isin
000166,shenwan hongyuan group,name
000166,shenwan hongyuan,name
000180,KR7000180000,isin
000180,sungchang hold,name
0001P0,KR70001P0004,isin
0001S0,KR70001S0001,isin
0002,MYQ0002OO004,isin
0002,kotra industries,name
000210,KR7000210005,isin
000210,dl holdings,name
000220,KR7000220004,isin
000220,yuyu pharma,name
000230,KR7000230003,isin
000230,ildong holdings,name
000230,ildong,name
000240,KR7000240002,isin
000240,hankook tire worldwide,name
000250,KR7000250001,isin
000250,sam chun dang pharm,name
000270,KR7000270009,isin
0002C0,KR70002C0008,isin
000301,CNE0000012K6,isin
000301,jiangsu wujiang china eastern silk market,name
000320,KR7000320002,isin
000320,norooholdings,name
000333,CNE100001QQ5,isin
000333,midea group,name
000333,midea,name
000338,CNE1000000D4,isin
000338,weichai power,name
000370,KR7000370007,isin
000370,hanwha general,name
000390,KR7000390005,isin
000390,samhwa paint,name
000390,samhwa paint industrial,name
000401,CNE000000GX5,isin
000401,tangshan jidong cement,name
000402,CNE000000KT5,isin
000402,financial street holdings,name
000402,financial street,name
000403,CNE000000F14,isin
000403,pacific shuanglin bio pharmacy,name
000404,CNE000000KM0,isin
000404,huayi compressor,name
000407,CNE000000G88,isin
000407,shandong shengli,name
000408,CNE000000L08,isin
000408,zangge holding,name
000408,zangge,name
000409,CNE000000L40,isin
000409,yunding technology,name
000409,yunding,name
000410,CNE0000008W9,isin
000410,shenyang machine tool,name
000411,CNE0000008D9,isin
000411,zhejiang intl group,name
000411,zhejiang intl,name
000415,CNE0000009B1,isin
000415,bohai leasing,name
000417,CNE000000BV0,isin
000417,hefei department store group,name
000417,hefei department store,name
000419,CNE000000LL0,isin
000419,changsha tongcheng holdings,name
000419,changsha tongcheng,name
000420,CNE0000008F4,isin
000420,jilin chemical fibre,name
000421,CNE0000003L3,isin
000421,nanjing zhongbei group,name
000421,nanjing zhongbei,name
000422,CNE0000009C9,isin
000422,hubei yihua chemical industry,name
000423,CNE0000006Y9,isin
000423,shan dong dong-e e-jiao,name
000425,CNE000000FH0,isin
000425,xcmg construction machinery,name
000426,CNE000000D24,isin
000426,inner mongolia xingye mining,name
000428,CNE000000LM8,isin
000428,huatian hotel group,name
000428,huatian hotel,name
000429,CNE0000006Z6,isin
000440,KR7000440008,isin
000440,joong ang enervis,name
000480,KR7000480004,isin
000488,CNE0000015H5,isin
000488,shandong chenming paper,name
000490,KR7000490003,isin
000490,daedong ind,name
000498,CNE0000009D7,isin
000498,shandong hi-speed road&bridge,name
0004G0,KR70004G0002,isin
0004G0,1q top30,name
0004Y0,KR70004Y0000,isin
0004Y0,db finance no.14 spac,name
0005,MYQ0005OO007,isin
0005,ucrest,name
000500,KR7000500009,isin
000500,gaon cable,name
000501,CNE000000024,isin
000501,wushang group,name
000501,wushang,name
000503,CNE000000255,isin
000503,china reform health management and services group,name
000504,CNE000000263,isin
000504,nanhua bio medicine,name
000505,CNE0000002X0,isin
000505,hainan pearl river,name
000506,CNE0000004D8,isin
000506,zhongrun resources investment,name
000507,CNE000000149,isin
000507,zhuhai port,name
000509,CNE0000001G7,isin
000509,huasu holdings,name
000509,huasu,name
000510,CNE000000172,isin
000510,sichuan jinlu group,name
000510,sichuan jinlu,name
000513,CNE0000002Y8,isin
000513,livzon pharmaceutical group,name
000513,livzon pharmaceutical,name
000513,livzon,name
000514,CNE0000004R8,isin
000514,chongqing yukaifa,name
000516,CNE000000016,isin
000516,xian international medical investment,name
000517,CNE0000000R6,isin
000517,rongan property,name
000518,CNE0000001P8,isin
000518,jiangsu sihuan bioengineering,name
000519,CNE000000198,isin
000519,north industries group red arrow,name
000521,CNE000000BT4,isin
000521,changhong meiling,name
000523,CNE0000005T1,isin
000523,lonkey industrial guangzhou,name
000524,CNE000000651,isin
000524,guangzhou dongfang hotel,name
000525,CNE0000002Z5,isin
000525,nanjing red sun,name
000526,CNE0000005F0,isin
000526,xiamen insight investment,name
000528,CNE000000DB8,isin
000528,guangxi liugong machinery,name
000529,CNE0000002B6,isin
000529,guangdong guanghong holdings,name
000529,guangdong guanghong,name
000530,CNE000000DK9,isin
000530,bingshan refrigeration & heat transfer technologies,name
000531,CNE000000DS2,isin
000531,guangzhou hengyun enterprises holding,name
000531,guangzhou hengyun enterprises,name
000532,CNE0000002C4,isin
000532,zhuhai huajin capital,name
000533,CNE0000003T6,isin
000533,guangdong macro,name
000534,CNE0000004T4,isin
000534,wedge industrial,name
000536,CNE0000002D2,isin
000536,cpt technology group,name
000536,cpt technology,name
000537,CNE000000271,isin
000537,tianjin guangyu development,name
000538,CNE0000008X7,isin
000538,yunnan baiyao group,name
000538,yunnan baiyao,name
000539,CNE0000006J0,isin
000539,guangdong electric power development,name
000540,KR7000540005,isin
000541,CNE000000DN3,isin
000543,CNE000000DF9,isin
000543,an hui wenergy,name
000544,CNE000000F30,isin
000544,central plains environment protection,name
000546,CNE0000004G1,isin
000546,jinyuan cement,name
000547,CNE000000DM5,isin
000547,addsino,name
000548,CNE000000DT0,isin
000548,hunan investment group,name
000548,hunan investment,name
000550,CNE000000CV8,isin
000551,CNE000000FP3,isin
000551,create technology & science,name
000552,CNE000000D40,isin
000552,gansu jingyuan coal industry and electricity power,name
000553,CNE0000004V0,isin
000553,adama,name
000554,CNE000000669,isin
000554,sinopec shandong taishan petroleum,name
000555,CNE000000FM0,isin
000555,digital china information service,name
000557,CNE000000FQ1,isin
000557,ningxia western venture industrial,name
000558,CNE0000003V2,isin
000558,lander sports development,name
000559,CNE000000FB3,isin
000559,wanxiang qianchao,name
000560,CNE000000636,isin
000560,5i5j holding group,name
000561,CNE0000005K0,isin
000561,shaanxi fenghuo electronics,name
000563,CNE0000004F3,isin
000563,shaanxi international trust,name
000564,CNE0000003W0,isin
000564,ccoop group,name
000564,ccoop,name
000565,CNE000000305,isin
000565,chongqing sanxia paints,name
000566,CNE0000004W8,isin
000566,hainan haiyao,name
000567,CNE0000005V7,isin
000567,hainan haide industry,name
000568,CNE000000GF2,isin
000568,luzhou lao jiao,name
000570,CNE000000GT3,isin
000571,CNE000000586,isin
000571,sundiro holding,name
000571,sundiro,name
000572,CNE0000006L6,isin
000572,haima automobile group,name
000572,haima automobile,name
000573,CNE0000003D0,isin
000573,dongguan winnerway industrial zone,name
000576,CNE0000005H6,isin
000576,guangdong ganhua science & industry,name
000581,CNE0000002G5,isin
000581,weifu high-technology group,name
000581,weifu high-technology,name
000582,CNE0000001M5,isin
000582,beibuwan port,name
000586,CNE0000000H7,isin
