listing_key,ticker,exchange,asset_type,isin,instrument_group_key,instrument_scope,scope_reason,primary_listing_key
HKEX::03877,03877,HKEX,Stock,HK0000504214,HK0000504214,core,primary_listing,HKEX::03877
HKEX::03878,03878,HKEX,Stock,KYG9362W1050,KYG9362W1050,core,primary_listing,HKEX::03878
HKEX::03880,03880,HKEX,Stock,CNE100006S86,CNE100006S86,core,primary_listing,HKEX::03880
HKEX::03881,03881,HKEX,Stock,CNE100007BC4,CNE100007BC4,core,primary_listing,HKEX::03881
HKEX::03882,03882,HKEX,Stock,KYG8191M1069,KYG8191M1069,core,primary_listing,HKEX::03882
HKEX::03883,03883,HKEX,Stock,KYG2119Z1090,KYG2119Z1090,core,primary_listing,HKEX::03883
HKEX::03886,03886,HKEX,Stock,BMG8979V1046,BMG8979V1046,core,primary_listing,HKEX::03886
HKEX::03887,03887,HKEX,Stock,KYG4406L1086,KYG4406L1086,core,primary_listing,HKEX::03887
HKEX::03888,03888,HKEX,Stock,KYG5264Y1089,KYG5264Y1089,core,primary_listing,HKEX::03888
HKEX::03889,03889,HKEX,Stock,KYG3932Q1029,KYG3932Q1029,core,primary_listing,HKEX::03889
HKEX::03893,03893,HKEX,Stock,KYG257501299,KYG257501299,core,primary_listing,HKEX::03893
HKEX::03896,03896,HKEX,Stock,KYG5264S1012,KYG5264S1012,core,primary_listing,HKEX::03896
HKEX::03898,03898,HKEX,Stock,CNE1000004X4,CNE1000004X4,core,primary_listing,HKEX::03898
HKEX::03899,03899,HKEX,Stock,KYG2198S1093,KYG2198S1093,core,primary_listing,HKEX::03899
HKEX::03900,03900,HKEX,Stock,KYG4100M1050,KYG4100M1050,core,primary_listing,HKEX::03900
HKEX::03903,03903,HKEX,Stock,CNE100001S99,CNE100001S99,core,primary_listing,HKEX::03903
HKEX::03908,03908,HKEX,Stock,CNE100002359,CNE100002359,core,primary_listing,HKEX::03908
HKEX::03913,03913,HKEX,Stock,KYG5322R1039,KYG5322R1039,core,primary_listing,HKEX::03913
HKEX::03918,03918,HKEX,Stock,KYG6382M1096,KYG6382M1096,core,primary_listing,HKEX::03918
HKEX::03919,03919,HKEX,Stock,KYG3959Y1456,KYG3959Y1456,core,primary_listing,HKEX::03919
HKEX::03928,03928,HKEX,Stock,KYG773821023,KYG773821023,core,primary_listing,HKEX::03928
HKEX::03931,03931,HKEX,Stock,CNE100005LL8,CNE100005LL8,core,primary_listing,HKEX::03931
HKEX::03933,03933,HKEX,Stock,KYG8813K1085,KYG8813K1085,core,primary_listing,HKEX::03933
