listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
AMS::IFFI,IFFI,AMS,ETF,iShares MSCI AC Far East ex-Japan UCITS ETF USD Acc,Ireland,IE,IE00BKPX3K41,Emerging Markets,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG00SW956Q6,
ASX::BA2,BA2,ASX,ETF,SERIES 2019-1 REDS TRUST,Australia,AU,,,verified,Matched active official exchange directory listing.,SERIES 2019-1 REDS TRUST,asx_listed_companies,False,,,
ASX::HQUS,HQUS,ASX,ETF,Betashares S&P 500 EQUAL Weight Currency Hedged ETF,Australia,AU,,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
ASX::N100,N100,ASX,ETF,Global X US 100 ETF,Australia,AU,,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
ASX::VGS,VGS,ASX,ETF,Vanguard MSCI INDEX International Shares ETF,Australia,AU,AU000000VGS8,Developed Markets,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG007K307Z1,
B3::BITH11,BITH11,B3,ETF,HASHDEX NASDAQ BITCOIN REF RATE FDO. IND. RESP LIM,Brazil,BR,,,verified,Matched active official exchange directory listing.,HASHDEX NASDAQ BITCOIN REF RATE FDO. IND. RESP LIM,b3_instruments_equities,True,,,
B3::IMAB11,IMAB11,B3,ETF,It Now Id ETF Ima-B Fundo De Indice,Brazil,BR,BRIMABCTF004,Financials,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
B3::XPID11,XPID11,B3,ETF,XP FIC De Fundos Incentivados De Investimento Em Infraestrutura Renda Fixa,Brazil,BR,,Financials,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
BATS::BFEB,BFEB,BATS,ETF,Innovator S&P 500 Buffer ETF - February,United States,US,US45782C4336,,verified,Matched active official exchange directory listing.,Innovator U.S. Equity Buffer ETF - February,nasdaq_other_listed,True,,,
BATS::DDFD,DDFD,BATS,ETF,Innovator Equity Dual Directional 15 Buffer ETF - December,United States,US,,,verified,Matched active official exchange directory listing.,Innovator Equity Dual Directional 15 Buffer ETF - December,nasdaq_other_listed,True,,,
BATS::EUDV,EUDV,BATS,ETF,ProShares MSCI Europe Dividend Growers ETF,Ireland,IE,IE00B5M1WJ87,Developed Markets,verified,Matched active official exchange directory listing.,ProShares MSCI Europe Dividend Growers ETF,nasdaq_other_listed,True,,,
BATS::GOOP,GOOP,BATS,ETF,Kurv Yield Premium Strategy Google (GOOGL) ETF,United States,US,,,verified,Matched active official exchange directory listing.,Kurv Yield Premium Strategy Google (GOOGL) ETF,nasdaq_other_listed,True,,,
BATS::ITA,ITA,BATS,ETF,iShares U.S. Aerospace & Defense ETF,United States,US,US4642887602,Value,verified,Matched active official exchange directory listing.,iShares U.S. Aerospace & Defense ETF,nasdaq_other_listed,True,,,
BATS::MAGA,MAGA,BATS,ETF,Point Bridge GOP Stock Tracker ETF,United States,US,US26922A6284,Factors,verified,Matched active official exchange directory listing.,Point Bridge America First ETF,nasdaq_other_listed,True,,,
BATS::NVDX,NVDX,BATS,ETF,T-Rex 2X Long NVIDIA Daily Target ETF,United States,US,US26923N8193,,verified,Matched active official exchange directory listing.,T-Rex 2X Long NVIDIA Daily Target ETF,nasdaq_other_listed,True,,,
BATS::QCAP,QCAP,BATS,ETF,FT Vest NASDAQ-100 Conservative Buffer ETF - April,United States,US,,,verified,Matched active official exchange directory listing.,FT Vest Nasdaq-100 Conservative Buffer ETF - April,nasdaq_other_listed,True,,,
BATS::SNPV,SNPV,BATS,ETF,DBX ETF Trust - Xtrackers S&P 500 Value ESG ETF,United States,US,US23306X4079,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
BATS::UXOC,UXOC,BATS,ETF,FT Vest U.S. Equity Uncapped Accelerator ETF - October,United States,US,,,verified,Matched active official exchange directory listing.,FT Vest U.S. Equity Uncapped Accelerator ETF - October,nasdaq_other_listed,True,,,
BATS::ZOCT,ZOCT,BATS,ETF,Innovator Equity Defined Protection ETF - 1 Yr October,United States,US,,,verified,Matched active official exchange directory listing.,Innovator Equity Defined Protection ETF - 1 Yr October,nasdaq_other_listed,True,,,
Euronext::CC4,CC4,Euronext,ETF,Amundi Index Solutions - Amundi EURO Corporates UCITS ETF DR EUR C,France,FR,FR0010754119,Corporate Bonds,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
