listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
NYSE ARCA::JAGG,JAGG,NYSE ARCA,ETF,JPMorgan BetaBuilders U.S. Aggregate Bond ETF,United States,US,US46641Q2416,Corporate Bonds,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
NYSE ARCA::KEMQ,KEMQ,NYSE ARCA,ETF,KraneShares Emerging Markets Consumer Technology,United States,US,US5007678767,Emerging Markets,verified,Matched active official exchange directory listing.,KraneShares Emerging Markets Consumer Technology Index ETF,nasdaq_other_listed,True,,,
NYSE ARCA::MART,MART,NYSE ARCA,ETF,Allianzim U.S. Large Cap Buffer10 Mar ETF,Canada,CA,CA37965F1018,,cross_exchange_collision,Official directory uses this ticker on other exchange(s): BATS.,,,True,,,
NYSE ARCA::NBFC,NBFC,NYSE ARCA,ETF,Neuberger Flexible Credit Income ETF,United States,US,US64135A8797,,verified,Matched active official exchange directory listing.,Neuberger Flexible Credit Income ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PBD,PBD,NYSE ARCA,ETF,Invesco Global Clean Energy ETF,Canada,CA,CA74639Y5056,Developed Markets,verified,Matched active official exchange directory listing.,Invesco Global Clean Energy ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PUTW,PUTW,NYSE ARCA,ETF,WisdomTree CBOE S&P 500 PutWrite Strategy Fund,United States,US,US97717X5602,Blend,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
NYSE ARCA::RIET,RIET,NYSE ARCA,ETF,Hoya Capital High Dividend Yield ETF,United States,US,US26922B8404,,verified,Matched active official exchange directory listing.,Hoya Capital High Dividend Yield ETF,nasdaq_other_listed,True,,,
NYSE ARCA::SCHJ,SCHJ,NYSE ARCA,ETF,Schwab 1-5 Year Corporate Bond ETF,United States,US,US8085247141,Corporate Bonds,verified,Matched active official exchange directory listing.,Schwab 1-5 Year Corporate Bond ETF,nasdaq_other_listed,True,,,
NYSE ARCA::SMLF,SMLF,NYSE ARCA,ETF,iShares MSCI USA Small-Cap Multifactor ETF,United States,US,US46434V2907,Small Cap,verified,Matched active official exchange directory listing.,iShares U.S. Small-Cap Equity Factor ETF,nasdaq_other_listed,True,,,
NYSE ARCA::STSM,STSM,NYSE ARCA,ETF,Defiance Daily Target 2X Short TSM ETF,United States,US,US88636W1633,,verified,Matched active official exchange directory listing.,Defiance Daily Target 2X Short TSM ETF,nasdaq_other_listed,True,,,
NYSE ARCA::TOPT,TOPT,NYSE ARCA,ETF,iShares Top 20 U.S. Stocks ETF,United States,US,US46438G5707,,verified,Matched active official exchange directory listing.,iShares Top 20 U.S. Stocks ETF,nasdaq_other_listed,True,,,
NYSE ARCA::UXI,UXI,NYSE ARCA,ETF,ProShares Ultra Industrials,United States,US,US74347R7272,Trading,verified,Matched active official exchange directory listing.,ProShares Ultra Industrials,nasdaq_other_listed,True,,,
NYSE ARCA::WOMN,WOMN,NYSE ARCA,ETF,Impact Shares YWCA Women's Empowerment ETF,United States,US,US45259A1007,Large Cap,verified,Matched active official exchange directory listing.,Impact Shares Women's Empowerment ETF,nasdaq_other_listed,True,,,
NYSE ARCA::XTWY,XTWY,NYSE ARCA,ETF,Bondbloxx ETF Trust - BondBloxx Bloomberg Twenty Year Target Duration US Treasury ETF,United States,US,US09789C7965,,verified,Matched active official exchange directory listing.,BondBloxx Bloomberg Twenty Year Target Duration US Treasury ETF,nasdaq_other_listed,True,,,
OTC::FUCIF,FUCIF,OTC,ETF,First Trust Global Funds Plc - First Trust Value LineR Dividend Index Ucits ETF,United States,US,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
OTC::ITIPF,ITIPF,OTC,ETF,iShares II Public Limited Company - iShares $ Tips 0-5 UCITS ETF,United States,US,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
SIX::30IA,30IA,SIX,ETF,iShares iBonds Dec 2030 Term € Corp UCITS ETF EUR Acc,Switzerland,CH,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::CBUS5E,CBUS5E,SIX,ETF,UBS(Lux)Fund Solutions – Bloomberg US Liquid Corporates 1-5 Year UCITS ETF(hedged EUR)A-acc,Luxembourg,LU,LU1048315243,Corporate Bonds,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::E50CC,E50CC,SIX,ETF,UBS (Irl) Fund Solutions plc – Euro Equity Defensive Covered Call SF UCITS ETF (EUR) A-acc,Ireland,IE,IE00BLDGHQ61,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::IE0C,IE0C,SIX,ETF,iShares € Corp Bond 0-3yr ESG UCITS ETF CHF Hedged (Acc),Ireland,IE,IE00BMV3LS66,Corporate Bonds,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::PTUSA-USD,PTUSA-USD,SIX,ETF,UBS Platinum ETF USD dis,Switzerland,CH,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
