listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
ADX::GRMNY,GRMNY,ADX,ETF,Chimera S&P Germany UCITS ETF - Share Class D - Income,Ireland,IE,IE000EK4H397,Equity,verified,Matched active official exchange directory listing.,Chimera S&P Germany UCITS ETF - Share Class D - Income,adx_market_watch,True,,BBG01PPMXR92,
ADX::UAEA,UAEA,ADX,ETF,Chimera S&P UAE Shariah ETF- Share class A- Accumulating,United Arab Emirates,AE,AEC000730023,Equity,verified,Matched active official exchange directory listing.,Chimera S&P UAE Shariah ETF- Share class A- Accumulating,adx_market_watch,True,,BBG00VY0R7Q0,
AMS::2GS,2GS,AMS,ETF,Leverage Shares 2x Goldman Sachs ETP Securities,Ireland,IE,IE00BF03XR19,,verified,Matched active official exchange directory listing.,Leverage Shares 2x Goldman Sachs ETP Securities,euronext_etfs,True,,BBG00JGFP3P6,
AMS::3JD,3JD,AMS,ETF,Leverage Shares 3x JD.Com ETP Securities,Netherlands,NL,XS2675718642,Leveraged/Inverse,verified,Matched active official exchange directory listing.,Leverage Shares 3x JD.Com ETP Securities,euronext_etfs,True,,BBG011C02CS3,
AMS::ADI3,ADI3,AMS,ETF,Leverage Shares 3x Long Analog Devices (ADI) ETP,Netherlands,NL,XS3299463128,Leveraged/Inverse,verified,Matched active official exchange directory listing.,Leverage Shares 3x Long Analog Devices (ADI) ETP,euronext_etfs,True,,BBG0210G8KJ6,
AMS::ASIG,ASIG,AMS,ETF,iShares $ Asia Investment Grade Corp Bond UCITS ETF USD (Acc),Ireland,IE,IE0007G78AC4,Fixed Income,verified,Matched active official exchange reference via same-exchange ISIN.,iShares $ Asia Investment Grade Corp Bond UCITS ETF USD (Acc),euronext_etfs,True,,BBG01382RNG2,
AMS::BNKT,BNKT,AMS,ETF,iShares V PLC - iShares S&P U.S. Banks UCITS ETF USD Inc,Ireland,IE,IE000ZPUEP93,Equity,verified,Matched active official exchange reference via same-exchange ISIN.,iShares S&P U.S. Banks UCITS ETF USD (Dist),euronext_etfs,True,,BBG011KDJ9H7,
AMS::CITY,CITY,AMS,ETF,Ishares IV PLC - Ishares Smart City Infrastructure Ucits ETF,Spain,ES,ES0105606000,Real Estate,verified,Matched grouped official exchange directory listing.,ISHARES SMART CITY INFRA UCITS ETF USD A,euronext_etfs,True,,BBG013CNC2C7,
AMS::CUEB,CUEB,AMS,ETF,iShares $ Treasury Bond 3-7yr UCITS ETF EUR Hedged (Acc),Ireland,IE,IE0007LAQ4A1,Fixed Income,verified,Matched active official exchange directory listing.,iShares $ Treasury Bond 3-7yr UCITS ETF EUR Hedged (Acc),euronext_etfs,True,,BBG0216N9K31,
AMS::DTEH,DTEH,AMS,ETF,iShares $ Treasury Bond 20+yr UCITS ETF EUR Hedged (Acc),Ireland,IE,IE000T8E6SX8,Fixed Income,verified,Matched active official exchange directory listing.,iShares $ Treasury Bond 20+yr UCITS ETF EUR Hedged (Acc),euronext_etfs,True,,BBG0216NBK65,
