ticker,exchange,asset_type,name,b3_code,b3_name,b3_sector_pt,b3_subsector,b3_segment,sector_update,decision
CEAC4,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,CEAC,,,,,,no_b3_code_match
CEAG3,B3,Stock,CIA DE ENTREPOSTOS E ARMAZENS GERAIS SP,CEAG,,,,,,no_b3_code_match
CEAL3,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,CEAL,,,,,,no_b3_code_match
CEAL4,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,CEAL,,,,,,no_b3_code_match
CEAP3,B3,Stock,COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA,CEAP,,,,,,no_b3_code_match
CEBD3,B3,Stock,Neoenergia Distribuicao Brasilia S.A,CEBD,,,,,,no_b3_code_match
CEEP3,B3,Stock,CIA EST. DE ENERG. ELETRICA PARTICIPAÇÕES CEEE-PAR,CEEP,,,,,,no_b3_code_match
CERO3,B3,Stock,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S/A,CERO,,,,,,no_b3_code_match
CESA3,B3,Stock,CIA ESTADUAL DE SILOS E ARMAZENS,CESA,,,,,,no_b3_code_match
CFHO3,B3,Stock,CARVALHO HOLDINGS SA,CFHO,,,,,,no_b3_code_match
CFHO4,B3,Stock,CARVALHO HOLDINGS SA,CFHO,,,,,,no_b3_code_match
CGOS3,B3,Stock,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,CGOS,,,,,,no_b3_code_match
CLNT3,B3,Stock,CLARANET TECHNOLOGY S.A.,CLNT,,,,,,no_b3_code_match
CMNS3,B3,Stock,CMN SOLUTIONS AO18 PARTICIPACOES S.A.,CMNS,,,,,,no_b3_code_match
CNRT5,B3,Stock,CICANORTE IND CONSERVAS ALIMENTICIAS S.A,CNRT,,,,,,no_b3_code_match
COCE6,B3,Stock,CIA ENERGETICA DO CEARA - COELCE,COCE,COELCE,Utilidade Pública,Energia Elétrica,Energia Elétrica,Utilities,accept
COCN5,B3,Stock,CIA DE COCOS DO NORDESTE,COCN,,,,,,no_b3_code_match
COMR3,B3,Stock,COMERC ENERGIA S.A.,COMR,COMERC PAR,Utilidade Pública,Energia Elétrica,Energia Elétrica,Utilities,accept
CONX3,B3,Stock,TRIPLE PLAY BRASIL PARTICIPAÇÕES S.A.,CONX,,,,,,no_b3_code_match
CPCH3,B3,Stock,CAPITAL CENTER HOTEIS S.A.,CPCH,,,,,,no_b3_code_match
CPCH7,B3,Stock,CAPITAL CENTER HOTEIS S.A.,CPCH,,,,,,no_b3_code_match
CPIS12,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,CPIS,,,,,,no_b3_code_match
CPIS3,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,CPIS,,,,,,no_b3_code_match
CPIS4,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,CPIS,,,,,,no_b3_code_match
CPLE99,B3,Stock,CIA PARANAENSE DE ENERGIA - COPEL,CPLE,COPEL,Utilidade Pública,Energia Elétrica,Energia Elétrica,Utilities,accept
CPNO7,B3,Stock,COPENOR - CIA PETROQUIMICA DO NORDESTE,CPNO,,,,,,no_b3_code_match
CRML4,B3,Stock,CARBOMIL S.A.,CRML,,,,,,no_b3_code_match
CRPC4,B3,Stock,CRP CADERI CAPITAL DE RISCO S/A,CRPC,,,,,,no_b3_code_match
CRTE3,B3,Stock,CONC RIO-TERESOPOLIS S.A.,CRTE,CONC RIO TER,Bens Industriais,Transporte,Exploração de Rodovias,Industrials,accept
CRTE5,B3,Stock,CONC RIO-TERESOPOLIS S.A.,CRTE,CONC RIO TER,Bens Industriais,Transporte,Exploração de Rodovias,Industrials,accept
CSAL4,B3,Stock,CIA ABASTEC. D'AGUA E SAN. EST. ALAGOAS,CSAL,,,,,,no_b3_code_match
CSAM3,B3,Stock,COSAMA - CIA DE SANEAMENTO DA AMAZONIA,CSAM,,,,,,no_b3_code_match
CSAM4,B3,Stock,COSAMA - CIA DE SANEAMENTO DA AMAZONIA,CSAM,,,,,,no_b3_code_match
CTAX3,B3,Stock,CONTAX PARTICIPAÇÕES S.A,CTAX,CONTAX,Capital Goods and Services,Services,Diversified Services,Industrials,accept
CTBA11B,B3,Stock,PREFEITURA MUNICIPAL DE CURITIBA,CTBA,CEPAC - CTBA,Financeiro,Outros Títulos,Outros Títulos,Financials,accept
CTCA3,B3,Stock,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,CTCA,CTC S.A.,Consumo não Cíclico,Agropecuária,Agricultura,Consumer Staples,accept
CYRE99,B3,Stock,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,CYRE,CYRELA REALT,Consumo Cíclico,Construção Civil,Incorporações,Consumer Discretionary,accept
DASS3,B3,Stock,DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS SA,DASS,,,,,,no_b3_code_match
DNEN3B,B3,Stock,DINAMICA ENERGIA S.A.,DNEN,,,,,,no_b3_code_match
DTEN3,B3,Stock,DETEN QUIMICA S.A.,DTEN,,,,,,no_b3_code_match
DTEN6,B3,Stock,DETEN QUIMICA S.A.,DTEN,,,,,,no_b3_code_match
DXXI3,B3,Stock,DUXXI IMOBILIÁRIA S.A.,DXXI,,,,,,no_b3_code_match
E3XT3,B3,Stock,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,E,,,,,,no_b3_code_match
EBTL3,B3,Stock,EMBRATEL - EMPR.BRASILEIRA DE TELEC S.A.,EBTL,,,,,,no_b3_code_match
EC3S3,B3,Stock,ENERGETICA CORUMBA III S.A.,EC,,,,,,no_b3_code_match
EC3S4,B3,Stock,ENERGETICA CORUMBA III S.A.,EC,,,,,,no_b3_code_match
EESG3,B3,Stock,ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,EESG,,,,,,no_b3_code_match
EGCE3,B3,Stock,ENERGISA GERACAO CENTRAIS EOLICAS RN S.A.,EGCE,,,,,,no_b3_code_match
EGGY3,B3,Stock,GRANJA FARIA S.A.,EGGY,,,,,,no_b3_code_match
ELBR4,B3,Stock,ELEBRA S/A ELETRONICA BRASILEIRA,ELBR,,,,,,no_b3_code_match
