exchange,venue_status,reference_scopes,current_stock_rows,current_etf_rows,official_active_stock_rows,official_active_etf_rows,missing_product_classes,official_source_keys,unavailable_source_keys,nonfresh_source_keys,source_blocker_classes,official_denominator,official_matches,official_collisions,official_missing,official_recall_pct,collision_adjusted_recall_pct,denominator_status,audit_outcome,promotion_readiness
RSE,official_partial,listed_companies_subset,2,0,1,0,,rse_listed_companies,,rse_listed_companies,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
SEM,official_full,exchange_directory,51,1,45,1,,sem_isin,,sem_isin,stale_artifact,46,46,0,0,100.0,100.0,available,refresh_required,not_applicable
SET,official_full,exchange_directory|listed_companies_subset,772,7,2349,32,,set_dr_search|set_etf_search|set_listed_companies|set_stock_search,,set_dr_search|set_etf_search|set_listed_companies|set_stock_search,stale_artifact,944,775,132,37,82.1,95.44,available,refresh_required,not_applicable
SGX,official_full,exchange_directory,566,47,655,91,,sgx_securities_prices,,sgx_securities_prices,stale_artifact,746,611,122,13,81.9,97.92,available,refresh_required,not_applicable
SIX,official_partial,listed_companies_subset,221,1042,241,9744,,six_equity_issuers|six_etf_products|six_etp_products,,six_equity_issuers|six_etf_products|six_etp_products,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
SSE,official_partial,listed_companies_subset,2263,532,2351,909,,sse_a_share_list|sse_etf_list,,sse_a_share_list|sse_etf_list,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
SSE_CL,official_full,exchange_directory,110,19,95,16,,bolsa_santiago_instruments,bolsa_santiago_instruments,bolsa_santiago_instruments,empty_refresh,111,111,0,0,100.0,100.0,available,refresh_unavailable,not_applicable
STO,official_partial,listed_companies_subset,863,15,954,39,,nasdaq_nordic_stockholm_etfs|nasdaq_nordic_stockholm_shares|nasdaq_nordic_stockholm_trackers|ngm_companies_page|ngm_market_data_equities|spotlight_companies_directory,ngm_market_data_equities,nasdaq_nordic_stockholm_etfs|nasdaq_nordic_stockholm_shares|nasdaq_nordic_stockholm_trackers|ngm_companies_page|ngm_market_data_equities|spotlight_companies_directory,cache_only|empty_refresh|stale_artifact,0,0,0,0,,,denominator_missing,refresh_unavailable,blocked_source_unavailable
SZSE,official_partial,listed_companies_subset,2793,357,2931,704,,szse_a_share_list|szse_b_share_list|szse_etf_list,szse_a_share_list,szse_a_share_list|szse_b_share_list|szse_etf_list,empty_refresh|stale_artifact,0,0,0,0,,,denominator_missing,refresh_unavailable,blocked_source_unavailable
TADAWUL,official_full,exchange_directory,190,9,396,16,,tadawul_main_market_watch,,tadawul_main_market_watch,stale_artifact,412,198,209,5,48.06,97.54,available,refresh_required,not_applicable
TASE,official_partial,listed_companies_subset,468,333,547,480,,tase_etf_marketdata|tase_foreign_etf_search|tase_participating_unit_search|tase_securities_marketdata,tase_foreign_etf_search|tase_participating_unit_search,tase_etf_marketdata|tase_foreign_etf_search|tase_participating_unit_search|tase_securities_marketdata,empty_refresh|stale_artifact,0,0,0,0,,,denominator_missing,refresh_unavailable,blocked_source_unavailable
TPEX,official_partial,listed_companies_subset,1010,109,2139,125,,tpex_emerging_basic_info|tpex_etf_filter|tpex_mainboard_basic_info|tpex_mainboard_daily_quotes,,tpex_emerging_basic_info|tpex_etf_filter|tpex_mainboard_basic_info|tpex_mainboard_daily_quotes,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
TSE,official_full,exchange_directory|security_identifier_registry_subset,3722,355,7644,830,,jpx_listed_issues|jpx_tse_stock_detail,jpx_tse_stock_detail,jpx_tse_stock_detail,empty_refresh,4444,4043,335,66,90.98,98.39,available,refresh_unavailable,not_applicable
TSX,official_full,exchange_directory|interlisted_subset|listed_companies_subset,656,1640,993,3083,,tmx_etf_screener|tmx_interlisted_companies|tmx_listed_issuers,,tmx_etf_screener|tmx_interlisted_companies|tmx_listed_issuers,stale_artifact,785,590,190,5,75.16,99.16,available,refresh_required,not_applicable
TSXV,official_full,exchange_directory|interlisted_subset|listed_companies_subset,1419,3,1572,13,,tmx_interlisted_companies|tmx_listed_issuers,,tmx_interlisted_companies|tmx_listed_issuers,stale_artifact,1518,1322,194,2,87.09,99.85,available,refresh_required,not_applicable
TWSE,official_full,exchange_directory|listed_companies_subset,1017,222,1093,231,,twse_etf_list|twse_listed_companies,,twse_etf_list|twse_listed_companies,stale_artifact,1093,1015,30,48,92.86,95.48,available,refresh_required,not_applicable
UPCOM,official_full,exchange_directory,2,0,822,0,,upcom_registered_securities,,upcom_registered_securities,stale_artifact,822,2,523,297,0.24,0.67,available,refresh_required,not_applicable
USE_UG,official_partial,listed_companies_subset,7,0,7,0,,use_ug_listed_companies,,use_ug_listed_companies,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
VSE,official_partial,listed_companies_subset,83,5,66,0,ETF,vienna_listed_companies,,vienna_listed_companies,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
WSE,official_partial,listed_companies_subset,563,19,751,38,,newconnect_listed_companies|wse_etf_list|wse_listed_companies,,newconnect_listed_companies|wse_etf_list|wse_listed_companies,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
XDUS,missing,,176,23,0,0,ETF|Stock,,,,,0,0,0,0,,,denominator_missing,official_source_required,not_applicable
XETRA,official_full,exchange_directory|listed_companies_subset,1012,3303,1890,7310,,deutsche_boerse_etfs_etps|deutsche_boerse_listed_companies|deutsche_boerse_xetra_all_tradable_equities,,deutsche_boerse_etfs_etps|deutsche_boerse_listed_companies|deutsche_boerse_xetra_all_tradable_equities,stale_artifact,5080,4113,700,267,80.96,93.9,available,refresh_required,not_applicable
XHAM,missing,,8,4,0,0,ETF|Stock,,,,,0,0,0,0,,,denominator_missing,official_source_required,not_applicable
XHAN,missing,,78,2,0,0,ETF|Stock,,,,,0,0,0,0,,,denominator_missing,official_source_required,not_applicable
XSTU,missing,,2770,3,0,0,ETF|Stock,,,,,0,0,0,0,,,denominator_missing,official_source_required,not_applicable
ZSE,official_partial,listed_companies_subset,23,0,73,0,,zagreb_securities_directory,,zagreb_securities_directory,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
ZSE_ZW,official_partial,listed_companies_subset,24,3,23,3,,zse_zw_listed_companies,,zse_zw_listed_companies,stale_artifact,0,0,0,0,,,denominator_missing,denominator_missing,blocked_nonfresh_source
