financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
HAVAS.AS,HAVAS,.AS,AMS,Havas NV,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::HAVAS,HAVAS,AMS::HAVAS,AMS,1,0
HEIA.AS,HEIA,.AS,AMS,Heineken N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::HEIA,HEINEKEN,AMS::HEIA,AMS,1,0
INGA.AS,INGA,.AS,AMS,ING Groep N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::INGA,ING Groep NV,AMS::INGA,AMS,1,0
JDEP.AS,JDEP,.AS,AMS,JDE Peet's N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::JDEP,JDE PEET'S,AMS::JDEP,AMS,1,0
KPN.AS,KPN,.AS,AMS,Koninklijke KPN N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::KPN,KPN KON,AMS::KPN,AMS,1,0
LIGHT.AS,LIGHT,.AS,AMS,Signify N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::LIGHT,SIGNIFY NV,AMS::LIGHT,AMS,1,0
MICC.AS,MICC,.AS,AMS,The Magnum Ice Cream Company N.V.,secondary_review,true,2026-04-17T07:41:14Z,ticker_present_other_exchange,review_exchange_mapping_or_cross_listing,true,current_exchange_mapping_review,review_exchange_mapping_before_use,,,NYSE::MICC,NYSE,0,0
MTRK.AS,MTRK,.AS,AMS,MotorK,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::MTRK,MOTORK,AMS::MTRK,AMS,1,0
NN.AS,NN,.AS,AMS,NN Group N.V.,secondary_review,true,2026-04-17T07:41:14Z,ticker_present_other_exchange,review_exchange_mapping_or_cross_listing,true,current_exchange_mapping_review,review_exchange_mapping_before_use,,,NASDAQ::NN,NASDAQ,0,0
PHIA.AS,PHIA,.AS,AMS,Koninklijke Philips N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::PHIA,PHILIPS KON,AMS::PHIA,AMS,1,0
PNL.AS,PNL,.AS,AMS,PostNL N.V.,secondary_review,true,2026-04-17T07:41:14Z,ticker_present_other_exchange,review_exchange_mapping_or_cross_listing,true,current_exchange_mapping_review,review_exchange_mapping_before_use,,,LSE::PNL,LSE,0,0
PRX.AS,PRX,.AS,AMS,Prosus N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::PRX,PROSUS,AMS::PRX,AMS,1,0
RAND.AS,RAND,.AS,AMS,Randstad NV,secondary_review,true,2026-04-17T07:41:14Z,ticker_present_other_exchange,review_exchange_mapping_or_cross_listing,true,current_exchange_mapping_review,review_exchange_mapping_before_use,,,NASDAQ::RAND,NASDAQ,0,0
REN.AS,REN,.AS,AMS,RELX plc,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::REN,RELX,AMS::REN,AMS,1,0
SBMO.AS,SBMO,.AS,AMS,SBM Offshore N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::SBMO,SBM OFFSHORE,AMS::SBMO,AMS,1,0
SHELL.AS,SHELL,.AS,AMS,Shell plc,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::SHELL,SHELL PLC,AMS::SHELL,AMS,1,0
TKWY.AS,TKWY,.AS,AMS,Just Eat Takeaway.com NV,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
