listing_key,ticker,exchange,name,fd_symbol,fd_name,fd_isin,official_ticker,official_name,official_isin,official_source_key,official_sector,official_reference_asset_type,reference_asset_type_conflict,local_same_isin_any_venue,local_same_isin_venues,openfigi_query_type,openfigi_query_value,openfigi_common_stock_match_count,openfigi_common_stock_figis,openfigi_common_stock_names,openfigi_common_stock_exchange_codes,openfigi_security_types,openfigi_match_status,apply_action,reason,stock_sector_action,isin_action
ASX::SKT,SKT,ASX,SKY NETWORK TELEVISION LIMITED.,SKT.AX,SKY Network Television Limited,,SKT,SKY NETWORK TELEVISION LIMITED.,,asx_listed_companies,Communication Services,Stock,false,false,,TICKER,SKT,4,BBG000F08R04|BBG000F08RL1|BBG000H3YT67|BBG002F3L6B3,SKY NETWORK TELEVISION LTD|SKY NETWORK TELEVISION LTD|SKY NETWORK TELEVISION LTD|SKY NETWORK TELEVISION LTD,AH|AT|AU|NZ,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::SKY,SKY,ASX,SKY METALS LIMITED,SKY.AX,Sky Metals Limited,,SKY,SKY METALS LIMITED,,asx_listed_companies,Materials,Stock,false,false,,TICKER,SKY,3,BBG000JZBZP4|BBG000JZC0B5|BBG002F3JTN3,SKY METALS LTD|SKY METALS LTD|SKY METALS LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::SMN,SMN,ASX,STRUCTURAL MONITORING SYSTEMS PLC,SMN.AX,Structural Monitoring Systems Plc,,SMN,STRUCTURAL MONITORING SYSTEMS PLC,,asx_listed_companies,Information Technology,Stock,false,false,,TICKER,SMN,0,,,,Common Stock,common_stock_name_mismatch,blocked_openfigi_name_mismatch,"OpenFIGI returned Common Stock results, but none matched the official issuer name.",use_official_reference,leave_blank_until_official_identifier
ASX::SND,SND,ASX,SAUNDERS INTERNATIONAL LIMITED,SND.AX,Saunders International Limited,,SND,SAUNDERS INTERNATIONAL LIMITED,,asx_listed_companies,Industrials,Stock,false,false,,TICKER,SND,3,BBG000TVDGN4|BBG000TVDH16|BBG002F3NMY1,SAUNDERS INTERNATIONAL LTD|SAUNDERS INTERNATIONAL LTD|SAUNDERS INTERNATIONAL LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::SOP,SOP,ASX,SYNERTEC CORPORATION LIMITED,SOP.AX,Synertec Corporation Limited,,SOP,SYNERTEC CORPORATION LIMITED,,asx_listed_companies,Industrials,Stock,false,false,,TICKER,SOP,3,BBG000D2MJT3|BBG000D2NM33|BBG002F3JY89,SYNERTEC CORP LTD|SYNERTEC CORP LTD|SYNERTEC CORP LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::SOR,SOR,ASX,STRATEGIC ELEMENTS LIMITED,SOR.AX,Strategic Elements Ltd,,SOR,STRATEGIC ELEMENTS LIMITED,,asx_listed_companies,Financials,Stock,false,false,,TICKER,SOR,3,BBG001Q6BFL6|BBG001Q6BFM5|BBG001Z6C4S3,STRATEGIC ELEMENTS LTD|STRATEGIC ELEMENTS LTD|STRATEGIC ELEMENTS LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::SSG,SSG,ASX,SHAVER SHOP GROUP LIMITED,SSG.AX,Shaver Shop Group Limited,,SSG,SHAVER SHOP GROUP LIMITED,,asx_listed_companies,Consumer Discretionary,Stock,false,false,,TICKER,SSG,3,BBG00D24CCT9|BBG00D24CCW5|BBG00D24CD08,SHAVER SHOP GROUP LTD|SHAVER SHOP GROUP LTD|SHAVER SHOP GROUP LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::SST,SST,ASX,STEAMSHIPS TRADING COMPANY LIMITED,SST.AX,Steamships Trading Company Limited,,SST,STEAMSHIPS TRADING COMPANY LIMITED,,asx_listed_companies,Industrials,Stock,false,false,,TICKER,SST,4,BBG000BF9X74|BBG000BF9XM7|BBG0024W4Q26|BBG002F3FFX6,STEAMSHIPS TRADING COMPANY|STEAMSHIPS TRADING COMPANY|STEAMSHIPS TRADING COMPANY|STEAMSHIPS TRADING COMPANY,AH|AT|AU|PB,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::STN,STN,ASX,SATURN METALS LIMITED,STN.AX,Saturn Metals Limited,,STN,SATURN METALS LIMITED,,asx_listed_companies,Materials,Stock,false,false,,TICKER,STN,3,BBG00JQD16V2|BBG00JQD16W1|BBG00JQD1704,SATURN METALS LTD|SATURN METALS LTD|SATURN METALS LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::TOP,TOP,ASX,THORNEY OPPORTUNITIES LTD,TOP.AX,Thorney Opportunities Ltd,DK0060477503,TOP,THORNEY OPPORTUNITIES LTD,,asx_listed_companies,,Stock,false,false,,TICKER,TOP,0,,,,Common Stock,common_stock_name_mismatch,blocked_openfigi_name_mismatch,"OpenFIGI returned Common Stock results, but none matched the official issuer name.",leave_blank_until_official_sector,leave_blank_until_official_identifier
ASX::TRU,TRU,ASX,TRUSCREEN GROUP LIMITED,TRU.AX,TruScreen Group Limited,NZTRUE0001S7,TRU,TRUSCREEN GROUP LIMITED,,asx_listed_companies,Health Care,Stock,false,false,,TICKER,TRU,4,BBG007HRDYR8|BBG00YJVZPZ4|BBG00YJVZQ00|BBG00YJVZQ46,TRUSCREEN GROUP LTD|TRUSCREEN GROUP LTD|TRUSCREEN GROUP LTD|TRUSCREEN GROUP LTD,AH|AT|AU|NZ,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::TWR,TWR,ASX,TOWER LIMITED,TWR.AX,Tower Limited,,TWR,TOWER LIMITED,,asx_listed_companies,Financials,Stock,false,false,,TICKER,TWR,22,BBG000D4BY54|BBG000DC99V5|BBG000DC9BJ4|BBG000GJYPV3|BBG000GJZTY1|BBG000GJZYG0|BBG000GK00L3|BBG000GK02X6|BBG000GK03H2|BBG000GK0426|BBG001QLCJX1|BBG002F3H9C1|BBG003G81685|BBG004J9QVW9|BBG005XRCC84|BBG0086K43C7|BBG0086K43D6|BBG00DVMX984|BBG00LN9CTD7|BBG019LPBKW8|BBG01J14JKP5|BBG01J157VN3,TOWER LTD|TOWER LTD|TOWER LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD|TOWER RESOURCES LTD,AH|AT|AU|BF|CJ|CN|CV|DG|DK|DS|DV|HD|HX|NZ|QF|QG|QH|TG|TK|TN|TV|TW,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::UNI,UNI,ASX,UNIVERSAL STORE HOLDINGS LIMITED,UNI.AX,Universal Store Holdings Limited,,UNI,UNIVERSAL STORE HOLDINGS LIMITED,,asx_listed_companies,Consumer Discretionary,Stock,false,false,,TICKER,UNI,3,BBG002YMF9F7|BBG00XYGHPM6|BBG00XYGHPR1,UNIVERSAL STORE HOLDINGS LTD|UNIVERSAL STORE HOLDINGS LTD|UNIVERSAL STORE HOLDINGS LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::VAL,VAL,ASX,VALIANT GOLD LIMITED,VAL.AX,Valiant Gold Limited,,VAL,VALIANT GOLD LIMITED,,asx_listed_companies,Materials,Stock,false,false,,TICKER,VAL,3,BBG020HM3ZW4|BBG020HM3ZY2|BBG020HM4041,VALIANT GOLD LTD|VALIANT GOLD LTD|VALIANT GOLD LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::WAT,WAT,ASX,WATERCO LIMITED,WAT.AX,Waterco Limited,,WAT,WATERCO LIMITED,,asx_listed_companies,Consumer Discretionary,Stock,false,false,,TICKER,WAT,3,BBG000BMF4G6|BBG000BMF4M9|BBG002F3FZV4,WATERCO LTD|WATERCO LTD|WATERCO LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::WCN,WCN,ASX,WHITE CLIFF MINERALS LIMITED,WCN.AX,White Cliff Minerals Limited,,WCN,WHITE CLIFF MINERALS LIMITED,,asx_listed_companies,Materials,Stock,false,false,,TICKER,WCN,3,BBG000TTK4S3|BBG000TTK564|BBG002F3NMR9,WHITE CLIFF MINERALS LTD|WHITE CLIFF MINERALS LTD|WHITE CLIFF MINERALS LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
ASX::ZEO,ZEO,ASX,ZEOTECH LIMITED,ZEO.AX,Zeotech Limited,,ZEO,ZEOTECH LIMITED,,asx_listed_companies,Materials,Stock,false,false,,TICKER,ZEO,3,BBG000PDKX62|BBG000PDKXM4|BBG002F3Q3N2,ZEOTECH LTD|ZEOTECH LTD|ZEOTECH LTD,AH|AT|AU,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,use_official_reference,leave_blank_until_official_identifier
BSE_IN::ACGL,ACGL,BSE_IN,Automobile Corporation of Goa Ltd-$,ACGL.BO,Automobile Corporation of Goa Limited,,ACGL,Automobile Corporation of Goa Ltd-$,INE451C01013,bse_india_scrips,,Stock,false,false,,ID_ISIN,INE451C01013,2,BBG000CNRC09|BBG000CNRCR0,AUTOMOBILE CORP OF GOA LTD|AUTOMOBILE CORP OF GOA LTD,IB|IN,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,leave_blank_until_official_sector,use_official_reference
BSE_IN::AEL,AEL,BSE_IN,Amba Enterprises Ltd,AEL.BO,Amba Enterprises Limited,,AEL,Amba Enterprises Ltd,INE829P01020,bse_india_scrips,,Stock,false,false,,ID_ISIN,INE829P01020,2,BBG009H8GQZ1|BBG009H8GR16,AMBA ENTERPRISES LTD|AMBA ENTERPRISES LTD,IB|IN,Common Stock,common_stock_name_match,add_coverage_expansion,Active official Stock reference plus OpenFIGI Common Stock issuer-name match.,leave_blank_until_official_sector,use_official_reference
