listing_key,ticker,exchange,name,current_etf_category,official_sector,category_update,candidate_sources,candidate_source_urls,decision,reason,verification_evidence_required,official_source_context,category_review_context,apply_gate_context
B3::IB5M11,IB5M11,B3,It Now IMA-B5+ Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::ICBR3,ICBR3,B3,INTERCEMENT BRASIL S.A.,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::IMAB11,IMAB11,B3,It Now Id ETF Ima-B Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::IMBB11,IMBB11,B3,Etf Bradesco Ima-B Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::IRFM11,IRFM11,B3,It Now IRF - M P2 Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::LFIN11,LFIN11,B3,BTG PACTUAL TEVA LETRAS FINANCEIRAS DI QUALIDADE FUNDO DE ÍNDICE,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::LFTB11,LFTB11,B3,Investo Etf Marketvector Brazil Treasury 760 Day Target Duration Classe De Indice - Responsab Limita,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::LFTS11,LFTS11,B3,Investo Teva Tesouro Selic Etf - Fundo De Investimento De Indice,Commodity,Commodity,Commodity,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Commodity;official_sector=Commodity;category_update=Commodity,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::MBRF11,MBRF11,B3,Fundo De Investimento Imobiliário Mercantil Do Brasil-fii -Inicio,Real Estate,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=Real Estate;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::MERC4,MERC4,B3,Mercantil do Brasil Financeira S.A,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
