listing_key,ticker,exchange,asset_type,name,field,gap_class,official_masterfile_sources,official_masterfile_match,official_masterfile_exposes_isin,official_masterfile_exposes_sector,asx_isin_probe_decision,current_instrument_scope,current_scope_reason,listing_history_status,listing_history_last_observed_at,ohlcv_plausibility_status,ohlcv_review_bucket,asx_resolution_queue,scope_review_queue,scope_decision_gate,recommended_scope_action,verification_evidence_required,recommended_next_source,source_gate,review_context
ASX::BW6,BW6,ASX,ETF,BLACKWATTLE SERIES RMBS TRUST NO.6,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::FM1,FM1,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 4-2019,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::FM2,FM2,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2019,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::FM3,FM3,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 1-2020,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::FM5,FM5,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2020,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::KI1,KI1,ASX,ETF,KINGFISHER TRUST 2019-1,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::KIG,KIG,ASX,ETF,KINGFISHER TRUST 2016-1,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::LI8,LI8,ASX,ETF,LION SERIES 2020-1 TRUST,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::LN1,LN1,ASX,ETF,LION SERIES 2022-1 TRUST,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
ASX::LN2,LN2,ASX,ETF,LION SERIES 2023-1 TRUST,missing_isin_primary,debt_or_securitized_identifier_gap,asx_listed_companies,true,false,false,no_asx_match,core,primary_listing_missing_isin,active,2026-05-16T17:22:52Z,,,core_exclusion_candidate_identifier_scope_review,asx_debt_or_securitized_scope_review,decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment,review_debt_or_securitized_product_then_choose_core_extended_or_exclude,official_asx_registry_issuer_trustee_or_prospectus_evidence_plus_scope_decision,"asx_listed_companies, trustee page, prospectus, registry, or official product evidence for the exact listing.","No ISIN, category, name, symbol, or scope change until exact debt/securitized product evidence is reviewed.",gap_class=debt_or_securitized_identifier_gap;official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match;current_scope=core;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_asx_identifier_or_category_enrichment
