listing_key,ticker,exchange,current_name,proposed_name,twelvedata_type,confidence,adjudication_decision,evidence_tier,figi_relation,openfigi_figi,local_figi,review_batch,metadata_update_reason
OTC::FPBC,FPBC,OTC,Friendly Hills Bancorp,First Pacific Bancorp Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG0123NKQ64,BBG0123NKQ64,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::FSUMF,FSUMF,OTC,Fortescue Metals Group Ltd,Fortescue Ltd,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000PFS5K4,BBG000PFS5K4,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::GCWOF,GCWOF,OTC,Grupo Cementos de Chihuahua S.A.B. de C.V,"GCC, S.A.B. de C.V.",Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000BVPJ81,BBG000BVPJ81,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::GDMIF,GDMIF,OTC,Goldstar Minerals Inc,Green Mining Innovation Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00KXH72D5,BBG00KXH72D5,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::GEGR,GEGR,OTC,National Health Scan,Gaensel Energy Group Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000C0YH00,BBG000C0YH00,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::GMEV,GMEV,OTC,Great China Mania Holdings Inc,GME Innotainment Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000RGR0Z6,BBG000RGR0Z6,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::GOOLF,GOOLF,OTC,Aquarius AI Inc,P2Earn Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00MQ2XHV0,BBG00MQ2XHV0,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::GRPS,GRPS,OTC,"Trans American Aquaculture, Inc",Gold River Productions Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000J403M9,BBG000J403M9,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::GSTC,GSTC,OTC,AngioSoma Inc,Globestar Therapeutics Corp.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG001PR6FP3,BBG001PR6FP3,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::GULTU,GULTU,OTC,Gulf Coast,Gulf Coast Ultra Deep Royalty Trust,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG004N1KV84,BBG004N1KV84,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::HENC,HENC,OTC,Holloman Energy Corp,Hero Technologies Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000QJ00C5,BBG000QJ00C5,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::IBKKF,IBKKF,OTC,iMining Blockchain and Cryptocurrency Inc,iMining Technologies Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00LGDXP41,BBG00LGDXP41,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::ICGUF,ICGUF,OTC,Intermediate Capital Group PLC,ICG plc,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000PRX9C3,BBG000PRX9C3,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::IGLDF,IGLDF,OTC,Internet Gold Golden Lines Ltd,Golden Energy Power Ltd,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000BPZX82,BBG000BPZX82,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::ILXP,ILXP,OTC,ECOMINAS CORP.,International Luxury Product Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000C75T10,BBG000C75T10,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::IMTH,IMTH,OTC,Fresh Harvest Products Inc,Innovative Medtech Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000R92LY4,BBG000R92LY4,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::IVST,IVST,OTC,Aurum Resource and Asset Management Inc,Innovest Global Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000QH38X6,BBG000QH38X6,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::LGLOF,LGLOF,OTC,Link Global Technologies Inc,Green Block Mining Corp.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00RLWT8D3,BBG00RLWT8D3,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::LMMFF,LMMFF,OTC,Lithium Australia NL,Livium Ltd.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00CJZ7HW5,BBG00CJZ7HW5,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::LNXGF,LNXGF,OTC,Linux Gold Corp,0187279 BC Ltd.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000LS5PP6,BBG000LS5PP6,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::LXGTF,LXGTF,OTC,Registered Plan Private Investments Inc,Lexington Biosciences Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00GVMBNH0,BBG00GVMBNH0,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::MAJI,MAJI,OTC,Nextel Medical Corp.,Marijuana Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG001CMFL48,BBG001CMFL48,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::MDIN,MDIN,OTC,Northstar Global Business Services Inc,"MedGen, Inc.",Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000C265F7,BBG000C265F7,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::MLMC,MLMC,OTC,"FrankSpeech Network, Inc.","Mike Lindell Media, Corp.",Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000BSRW69,BBG000BSRW69,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::MMMM,MMMM,OTC,Mineral Mountain Mining & Milling Co,Quad M Solutions Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000BHRV83,BBG000BHRV83,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::MOPN,MOPN,OTC,JPO Solutions Inc,"MOP Environmental Solutions, Inc.",Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000QLFJN1,BBG000QLFJN1,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
