listing_key,action,ticker,exchange,asset_type,isin,old_name,new_name,source_key,reference_scope,source_url,observation_id,evidence_status
LSE::URND,proposed,URND,LSE,ETF,IE000MS9DTS9,Global X Uranium UCITS ETF,GLOBAL X ETFS ICAV GLOBAL X URANIUM UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,dcc3d69e8c534d853ba09e7b,active_official_exact_listing_isin_name
LSE::URNG,proposed,URNG,LSE,ETF,IE000NDWFGA5,Global X Uranium UCITS ETF USD Acc GBP,GLOBAL X ETFS ICAV GLOBAL X URANIUM UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,07e461cb0f54a34cae45ea8f,active_official_exact_listing_isin_name
LSE::URNU,proposed,URNU,LSE,ETF,IE000NDWFGA5,Global X Uranium UCITS ETF USD Acc,GLOBAL X ETFS ICAV GLOBAL X URANIUM UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,ef973072546af19d9ff17b65,active_official_exact_listing_isin_name
LSE::US13,proposed,US13,LSE,ETF,LU1407887162,Lyxor UCITS iBoxx USD Treasuries 1-3Y DR,MULTI UNITS LUXEMBOURG AMUNDI US TREASURY BOND 1-3Y UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,653023dad21d234c10b82fa0,active_official_exact_listing_isin_name
LSE::USAG,proposed,USAG,LSE,ETF,IE00B459R192,SPDR® Bloomberg U.S. Aggregate Bond UCITS ETF,SSGA SPDR ETFS EUROPE I PLC SS SPDR BLOOM US AGG BOND UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,1332c6b0d62686ca8c15c59a,active_official_exact_listing_isin_name
LSE::USPG,proposed,USPG,LSE,ETF,IE00BD34DL14,UBS (Irl) ETF plc - S&P 500 UCITS ETF (hedged to GBP) A-dis,UBS (IRL) ETF PLC UBS CORE S&P 500 ETF HGBP DIS,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,fb31dbcf4b8c772ac9e8af01,active_official_exact_listing_isin_name
LSE::UTIP,proposed,UTIP,LSE,ETF,IE00BZ0G8977,SPDR Barclays U.S. TIPS UCITS,SSGA SPDR ETFS EUROPE I PLC SS SPDR BLOOM US TIPS UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,d0cef506804d3515a8adb53a,active_official_exact_listing_isin_name
LSE::UTLI,proposed,UTLI,LSE,Stock,BMG916101576,UIL Finance Ltd. ZDP,UIL FINANCE LIMITED,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,a3d6d45a35c8c864b1bb1dcb,active_official_exact_listing_isin_name
LSE::VAGP,proposed,VAGP,LSE,ETF,IE00BG47KG48,Vanguard Global Aggregate Bond UCITS ETF GBP Hedged Income,VANGUARD FUNDS PLC VANGUARD GLOBAL AGGREGATE BD UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,211e8001fadf70245d3e1860,active_official_exact_listing_isin_name
LSE::VAGS,proposed,VAGS,LSE,ETF,IE00BG47K971,Vanguard Global Aggregate Bond UCITS ETF GBP Hedged Accumulation,VANGUARD FUNDS PLC VANGUARD GLOBAL AGGREGATE BD UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,e37d856a4ee8bf5b35a3b694,active_official_exact_listing_isin_name
