listing_key,action,ticker,exchange,asset_type,isin,old_name,new_name,source_key,reference_scope,source_url,observation_id,evidence_status
ADX::GRMNY,proposed,GRMNY,ADX,ETF,IE000EK4H397,Chimera S&P Germany UCITS ETF - Share Class D - Income,Lunate S&P Germany UCITS ETF,adx_market_watch,exchange_directory,https://www.adx.ae/english/pages/marketwatch.aspx,e00eb004283e0730b9222667,active_official_exact_listing_isin_name
ADX::JPANI,proposed,JPANI,ADX,ETF,IE000M10VZK6,Chimera S&P Japan UCITS ETF - Share Class D-Income,Lunate S&P Japan UCITS ETF,adx_market_watch,exchange_directory,https://www.adx.ae/english/pages/marketwatch.aspx,45ca15fdba14191bc7ec42d1,active_official_exact_listing_isin_name
ADX::PKSTN,proposed,PKSTN,ADX,ETF,IE00088ID6F8,Chimera S&P Pakistan UCITS ETF- Share D - Income,Lunate S&P Pakistan UCITS ETF,adx_market_watch,exchange_directory,https://www.adx.ae/english/pages/marketwatch.aspx,094098d6fa6064a29f937c66,active_official_exact_listing_isin_name
ADX::UAED,proposed,UAED,ADX,ETF,IE00BKDMN700,CHIMERA S&P UAE UCITS ETF - SHARE CLASS D INCOME,Lunate S&P UAE UCITS ETF,adx_market_watch,exchange_directory,https://www.adx.ae/english/pages/marketwatch.aspx,cc183beba709fc69214f3f76,active_official_exact_listing_isin_name
AMS::500E,proposed,500E,AMS,ETF,LU1681049018,Amundi Index Solutions - Amundi S&P 500 UCITS ETF C USD EUR,Amundi S&P 500 Swap UCITS ETF USD Acc,euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",197111c7331fec56ba0160e5,active_official_exact_listing_isin_name
AMS::ERC,proposed,ERC,AMS,Stock,NL0010389508,Er Capital N.V.,ER Capital,euronext_equities,exchange_directory,https://live.euronext.com/pd_es/data/stocks/download?mics=dm_all_stock,d374fa50ef03a9a44005b6bc,active_official_exact_listing_isin_name
AMS::EXS1,proposed,EXS1,AMS,ETF,DE0005933931,iShares Core DAX® UCITS ETF (DE) EUR (Acc),iShares Core DAX UCITS ETF EUR (Acc),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",45df74d48dcb7041d40f00e3,active_official_exact_listing_isin_name
AMS::IAEX,proposed,IAEX,AMS,ETF,IE00B0M62Y33,iShares AEX UCITS ETF EUR (Dist),iShares AEX,euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",b2eeba28f795a11c302de8b0,active_official_exact_listing_isin_name
AMS::IEGA,proposed,IEGA,AMS,ETF,IE00B4WXJJ64,iShares III Public Limited Company - iShares Core Euro Government Bond UCITS ETF,iShares Core EUR Govt Bond UCITS ETF EUR (Dist),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",d0f92178e2aa70d852f55dcf,active_official_exact_listing_isin_name
AMS::LQDA,proposed,LQDA,AMS,ETF,IE0032895942,iShares $ Corp Bond UCITS ETF USD (Dist) EUR,iShares S Corporate Bond UCITS ETF,euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",51241a9892bf86e82773f86e,active_official_exact_listing_isin_name
AMS::SPYL,proposed,SPYL,AMS,ETF,IE000XZSV718,SPDR S&P 500 UCITS ETF USD Acc EUR,State Street SPDR S&P 500 UCITS ETF (Acc),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",fca45f171567f15f40041406,active_official_exact_listing_isin_name
AMS::TPSA,proposed,TPSA,AMS,ETF,IE00B1FZSC47,iShares II Public Limited Company - iShares $ TIPS UCITS ETF,iShares S TIPS UCITS ETF USD (Acc),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",66b1ffcfbf7a9311b0310501,active_official_exact_listing_isin_name
AMS::USCE,proposed,USCE,AMS,ETF,IE00BFY0GV36,SPDR BB SB USCorEH,State Street SPDR Bloomberg U.S. Corporate Scored EUR Hdg UCITS ETF (Acc),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",6d88e52fc1a41ffe5fdb1e08,active_official_exact_listing_isin_name
B3::BCTE39,proposed,BCTE39,B3,ETF,BRBCTEBDR005,GLOBAL X CLEANTECH ETF,GLOBAL X CLIMATETECH ETF,b3_instruments_equities,exchange_directory,https://arquivos.b3.com.br/bdi/table/InstrumentsEquities,92c48b285a16dc3148bafe3c,active_official_exact_listing_isin_name
BCBA::BA-C,proposed,BA-C,BCBA,Stock,ARDEUT112851,BANK OF AMERICA CORPORATION CED,Bank of American Corporation,byma_equity_details,security_lookup_subset,https://open.bymadata.com.ar/vanoms-be-core/rest/api/bymadata/free/bnown/fichatecnica/especies/general,aaf476dbf3d6d1b4c1b083c9,active_official_exact_listing_isin_name
BIST::MARKA,proposed,MARKA,BIST,Stock,TREIFTY00019,MARKA YATIRIM HOLDİNG A.Ş.,US YATIRIM HOLDİNG A.Ş.,bist_kap_mkk_listed_securities,exchange_directory,https://www.kap.org.tr/tr/bist-sirketler,2b8cbc56b6d7da578936784f,active_official_exact_listing_isin_name
BK::ALIMTIAZ,proposed,ALIMTIAZ,BK,Stock,KW0EQ0202832,Al Imtiaz Investment Group,Alimtiaz Group Holding Company (K.S.C.P),boursa_kuwait_stocks,exchange_directory,https://www.boursakuwait.com.kw/data-api/legacy-mix-services,fed3082d2aa29522ab18aa53,active_official_exact_listing_isin_name
BME::COXG,proposed,COXG,BME,Stock,ES0105848008,Cox ABG Group SA,COX GROUP,bme_listed_companies,listed_companies_subset,https://apiweb.bolsasymercados.es/Market/v1/EQ/ListedCompanies,be6fcf665e4c3832b977f5ce,active_official_exact_listing_isin_name
BME::HBX,proposed,HBX,BME,Stock,GB00BNXJB679,HBX Group International plc,HBX GROUP,bme_listed_companies,listed_companies_subset,https://apiweb.bolsasymercados.es/Market/v1/EQ/ListedCompanies,10c52e81c103fdf96232230d,active_official_exact_listing_isin_name
BME::LYXIB,proposed,LYXIB,BME,ETF,FR0010251744,Lyxor UCITS Ibex35 (DR) D-EUR,AMUNDI IBEX 35 UCITS ETF,bme_etf_list,listed_companies_subset,https://apiweb.bolsasymercados.es/Market/v1/EQ/ListedCompanies,616c26475ffd1a7cf29b34d6,active_official_exact_listing_isin_name
BMV::GSKN,proposed,GSKN,BMV,Stock,US37733W2044,GlaxoSmithKline plc,GSK PLC,bmv_issuer_directory,listed_companies_subset,https://staging.bmv.com.mx/es/Grupo_BMV/Informacion_de_emisora/_rid/541/_mto/3/_mod/doSearch,7b93903bc50936cf4828edf2,active_official_exact_listing_isin_name
BSE_IN::EBIX,proposed,EBIX,BSE_IN,Stock,INE432F01032,Eraaya Lifespaces Ltd,EBIX Ltd,bse_india_scrips,exchange_directory,https://www.bseindia.com/corporates/List_Scrips.html,85e04018546fa8c143e78013,active_official_exact_listing_isin_name
BVB::IARV,proposed,IARV,BVB,Stock,ROIARVACNOR1,IAR SA,IAR SA Brasov,bvb_shares_directory,exchange_directory,https://m.bvb.ro/FinancialInstruments/Details/FinancialInstrumentsDetails.aspx?s=IARV,4689d9b0ef218a75a5f8b450,active_official_exact_listing_isin_name
BVB::ICGROETF,proposed,ICGROETF,BVB,ETF,HRICAMFRGBB8,Intercapital ETF D.o.o.,INTERCAPITAL EUR ROMANIA GOVT BOND 5-10YR UCITS ETF,bvb_fund_units_directory,listed_companies_subset,https://m.bvb.ro/FinancialInstruments/Details/FinancialInstrumentsDetails.aspx?s=ICGROETF,f359b670438bb2641fa6ba2f,active_official_exact_listing_isin_name
BVB::MACO,proposed,MACO,BVB,Stock,ROMACOACNOR0,Macofil SA,MACOFIL SA TG. JIU,bvb_shares_directory,exchange_directory,https://m.bvb.ro/FinancialInstruments/Details/FinancialInstrumentsDetails.aspx?s=MACO,534464218b2a0c4ddaba6aeb,active_official_exact_listing_isin_name
BVB::SATU,proposed,SATU,BVB,Stock,ROSATUACNOR8,Saturn SA,SATURN SA ALBA IULIA,bvb_shares_directory,exchange_directory,https://m.bvb.ro/FinancialInstruments/Details/FinancialInstrumentsDetails.aspx?s=SATU,7031f8047b0ba7f087a3d4e5,active_official_exact_listing_isin_name
Borsa Italiana::DBA,proposed,DBA,Borsa Italiana,Stock,IT0005285942,Dba Group S.p.A.,DBA GROUP,euronext_equities,exchange_directory,https://live.euronext.com/pd_es/data/stocks/download?mics=dm_all_stock,f527a4eee9d80fd232f1f632,active_official_exact_listing_isin_name
Borsa Italiana::ICOP,proposed,ICOP,Borsa Italiana,Stock,IT0001214433,I.Co.P. S.p.A. Società Benefit,I.CO.P.,euronext_equities,exchange_directory,https://live.euronext.com/pd_es/data/stocks/download?mics=dm_all_stock,855cf6cc69f41f230f9e9a02,active_official_exact_listing_isin_name
Borsa Italiana::KME,proposed,KME,Borsa Italiana,Stock,IT0004552359,Kme Group S.p.A.,KME GROUP,euronext_equities,exchange_directory,https://live.euronext.com/pd_es/data/stocks/download?mics=dm_all_stock,f97d18fa620b6a3fdeb146fc,active_official_exact_listing_isin_name
Bursa::0093,proposed,0093,Bursa,Stock,MYQ0093OO003,Solution Engineering Holdings Bhd,SOLUTION GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,a8d788b3c497fbab8d0e4fe3,active_official_exact_listing_isin_name
Bursa::0148,proposed,0148,Bursa,Stock,MYQ0148OO005,Sunzen Biotech Bhd,SUNZEN GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,a32a710ca329bdac2a8d338b,active_official_exact_listing_isin_name
Bursa::0154,proposed,0154,Bursa,Stock,MYQ0154OO003,EA Holdings Bhd,EA HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,f44745d2b9086750b53143cc,active_official_exact_listing_isin_name
Bursa::0155,proposed,0155,Bursa,Stock,MYQ0155OO000,Malaysian Genomics Resource,MSIAN GENOMICS RES CENTRE BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,5e7612950483a72522153956,active_official_exact_listing_isin_name
Bursa::0158,proposed,0158,Bursa,Stock,MYQ0158OO004,SCC Holdings Bhd,SCC HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,9d17cab5188550388a6cfab6,active_official_exact_listing_isin_name
Bursa::0172,proposed,0172,Bursa,Stock,MYQ0172OO005,OCK Group Bhd,OCK GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,b579b873dfa8a3646316e603,active_official_exact_listing_isin_name
Bursa::0177,proposed,0177,Bursa,Stock,MYQ0177OO004,Pasukhas Group Bhd,MIDTOWN GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,79c445af15c6205d497d3233,active_official_exact_listing_isin_name
Bursa::0196,proposed,0196,Bursa,Stock,MYQ0196OO004,QES Group Bhd,QES GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,b9190d5a44038553f35da1fe,active_official_exact_listing_isin_name
Bursa::0198,proposed,0198,Bursa,Stock,MYQ0198OO000,GDB Holdings Bhd,GDB HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,a41bee7fb16c3a90675e0676,active_official_exact_listing_isin_name
Bursa::0212,proposed,0212,Bursa,Stock,MYQ0212OO009,SDS Group Bhd,SDS GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,795b2cc9233f9e49cfcfe270,active_official_exact_listing_isin_name
Bursa::0218,proposed,0218,Bursa,Stock,MYQ0218OO006,Aco Group Bhd,ACO GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,e8ab1d869b9caee97b120df2,active_official_exact_listing_isin_name
Bursa::0221,proposed,0221,Bursa,Stock,MYQ0221OO000,TCS Group Holdings Bhd,TCS GROUP HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,d7385a051d87609b2cd8ad9a,active_official_exact_listing_isin_name
Bursa::0222,proposed,0222,Bursa,Stock,MYQ0222OO008,Optimax Holdings Sdn Bhd,OPTIMAX HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,c7f52126668843881b916c2d,active_official_exact_listing_isin_name
Bursa::0228,proposed,0228,Bursa,Stock,MYQ0228OO005,HPP Holdings Bhd,HPP HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,eb575a71ecd2e47ef79aa0f1,active_official_exact_listing_isin_name
Bursa::0230,proposed,0230,Bursa,Stock,MYQ0230OO001,Teladan Setia Group Bhd,TELADAN GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,835bdb2beee96cfb66e2b1fd,active_official_exact_listing_isin_name
Bursa::0257,proposed,0257,Bursa,Stock,MYQ0257OO004,UNIQUE,UNIQUE FIRE HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,84c3cd1399b18a186ffb8d18,active_official_exact_listing_isin_name
Bursa::0297,proposed,0297,Bursa,Stock,MYQ0297OO000,TSA,TSA GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,2dbcdc74d66087507138f48d,active_official_exact_listing_isin_name
Bursa::0303,proposed,0303,Bursa,Stock,MYQ0303OO006,ALPHA,ALPHA IVF GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,6354dfb3d0c035d62b8df37e,active_official_exact_listing_isin_name
Bursa::0306,proposed,0306,Bursa,Stock,MYQ0306OO009,SMART,SMART ASIA CHEMICAL BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,416cd0aff13e5652fed691be,active_official_exact_listing_isin_name
Bursa::0373,proposed,0373,Bursa,Stock,MYQ0373OO009,VERDANT,VERDANT SOLAR HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,76f47f32ee659ce80a95e500,active_official_exact_listing_isin_name
Bursa::0385,proposed,0385,Bursa,Stock,MYQ0385OO003,BMS,BMS HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,0c3cf65def4fe1853b50df80,active_official_exact_listing_isin_name
Bursa::1198,proposed,1198,Bursa,Stock,MYL1198OO000,MAA Group Bhd,MAA GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,1991c05e98615ff378e095fe,active_official_exact_listing_isin_name
Bursa::2054,proposed,2054,Bursa,Stock,MYL2054OO004,TDM Berhad,TDM BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,62762cc766c17f11f5adf0f2,active_official_exact_listing_isin_name
Bursa::2828,proposed,2828,Bursa,Stock,MYL2828OO001,CI Holdings Bhd,C.I. HOLDINGS BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,79edea5ee186b04ed7a2994b,active_official_exact_listing_isin_name
Bursa::3565,proposed,3565,Bursa,Stock,MYL3565OO008,WCE Holdings Bhd,WCE HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,243bb9b0112a4be71547b4c6,active_official_exact_listing_isin_name
Bursa::4251,proposed,4251,Bursa,Stock,MYL4251OO004,I-Berhad,I-BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,9c4e6f38691ba133cbc426e9,active_official_exact_listing_isin_name
Bursa::5255,proposed,5255,Bursa,Stock,MYL5255OO004,Icon Offshore Bhd,LIANSON FLEET GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,9b66b7930192a57fb92fa28a,active_official_exact_listing_isin_name
Bursa::5296,proposed,5296,Bursa,Stock,MYL5296OO008,Mr D I Y Group M Bhd,MR D.I.Y. GROUP (M) BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,391222fa6ce31cc748f00363,active_official_exact_listing_isin_name
Bursa::5307,proposed,5307,Bursa,Stock,MYL5307TO002,AME REIT,AME REAL ESTATE INVESTMENT TRUST,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,68f0809ef528a23be3ef53da,active_official_exact_listing_isin_name
Bursa::5330,proposed,5330,Bursa,Stock,MYL5330OO005,TMK,TMK CHEMICAL BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,5e5616b39fec756c4fb7d0e0,active_official_exact_listing_isin_name
Bursa::5908,proposed,5908,Bursa,Stock,MYL5908OO008,DKSH Holdings Malaysia Berhad,DKSH HOLDINGS(M)BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,ddbcd841c91712045eef31c6,active_official_exact_listing_isin_name
Bursa::7004,proposed,7004,Bursa,Stock,MYL7004OO004,MCE Holdings Bhd,MCE HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,28cf45fac2beca6ea0273cf5,active_official_exact_listing_isin_name
Bursa::7005,proposed,7005,Bursa,Stock,MYL7005OO001,BIG Industries Bhd,B.I.G. INDUSTRIES BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,df78de56a90fae42c3068063,active_official_exact_listing_isin_name
Bursa::7007,proposed,7007,Bursa,Stock,MYL7007OO007,ARK Resources Bhd,ARK RESOURCES HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,0620dc3d359723a5139eff01,active_official_exact_listing_isin_name
Bursa::7047,proposed,7047,Bursa,Stock,MYL7047OO003,Fajarbaru Builder Group Bhd,FBG HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,d0965397e394b87dd009fabc,active_official_exact_listing_isin_name
Bursa::7071,proposed,7071,Bursa,Stock,MYL7071OO003,OCR Group Bhd,OCR GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,1f30f69ca73a004e1f33a765,active_official_exact_listing_isin_name
Bursa::7079,proposed,7079,Bursa,Stock,MYL7079OO006,TWL Holdings Bhd,TWL HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,d7863222843d1cc853e30578,active_official_exact_listing_isin_name
Bursa::7095,proposed,7095,Bursa,Stock,MYL7095OO002,PIE Industrial Bhd,P.I.E. INDUSTRIAL BHD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,94340d22e642ae4cd5131279,active_official_exact_listing_isin_name
Bursa::7096,proposed,7096,Bursa,Stock,MYL7096OO000,Joe Holding Bhd,JOE HOLDING BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,dcdceb0789c0b3a1cad4b129,active_official_exact_listing_isin_name
Bursa::7105,proposed,7105,Bursa,Stock,MYL7105OO009,HCK Capital Group Bhd,HCK CAPITAL GROUP BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,5b97dd1ca71018d3de0352ab,active_official_exact_listing_isin_name
Bursa::7121,proposed,7121,Bursa,Stock,MYL7121OO006,XL Holdings Bhd,XL HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,4f8dab18a5bf96c6c04dbc61,active_official_exact_listing_isin_name
Bursa::7168,proposed,7168,Bursa,Stock,MYL7168OO007,Prg Holdings Bhd,PRG HOLDINGS BERHAD,bursa_equity_isin,listed_companies_subset,https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/69fab7cbcd34aac8ddc7e2a7/ISIN_EQUITY.pdf,03fea6f7d78f779cf3b771c8,active_official_exact_listing_isin_name
