contract_id,contract_key,exchange,asset_type,claim_type,venue_status,source_keys,reference_scopes,denominator_method,denominator,observed_reference_keys,covered_reference_keys,missing_reference_keys,identity_conflict_keys,unclassified_keys,recall_pct,minimum_recall_pct,freshness_status,license_status,contract_status,freshness_failures,license_failures,required_next_action
0ca375b196aef057e702c6a9,Bursa::Stock,Bursa,Stock,official_partial,official_partial,bursa_closing_prices|bursa_equity_isin,listed_companies_subset,observed_partial_scope_keys,1364,1364,1035,329,94,0,75.879765,,pass,fail,partial_scope_observed,,bursa_closing_prices: license_status is not verified_open | bursa_equity_isin: license_status is not verified_open,do not promote partial scope to a full completeness claim
e849d31cad01a3a2993d2f77,CPH::ETF,CPH,ETF,official_partial,official_partial,nasdaq_nordic_copenhagen_etfs,listed_companies_subset,observed_partial_scope_keys,1,1,1,0,0,0,100.0,,pass,fail,partial_scope_observed,,nasdaq_nordic_copenhagen_etfs: license_status is not verified_open,do not promote partial scope to a full completeness claim
a4ab479cc20b2b152116c07d,CPH::Stock,CPH,Stock,official_partial,official_partial,nasdaq_nordic_copenhagen_shares,listed_companies_subset,observed_partial_scope_keys,145,145,138,7,0,0,95.172414,,pass,fail,partial_scope_observed,,nasdaq_nordic_copenhagen_shares: license_status is not verified_open,do not promote partial scope to a full completeness claim
8565d597824281bb3388d59b,CSE_LK::Stock,CSE_LK,Stock,official_full,official_full,cse_lk_all_security_code|cse_lk_company_info_summary,exchange_directory,exchange_audit_official_active_product_rows,624,318,306,318,0,0,49.038462,99.5,pass,fail,fail_license,,cse_lk_all_security_code: license_status is not verified_open | cse_lk_company_info_summary: license_status is not verified_open,resolve the failing contract evidence before stable release
b8e014bb5f03711d0b4aac8b,CSE_MA::Stock,CSE_MA,Stock,official_full,official_full,cse_ma_listed_companies,exchange_directory,exchange_audit_official_active_product_rows,82,82,1,81,0,0,1.219512,99.5,fail,fail,fail_freshness,cse_ma_listed_companies: latest refresh is unavailable,cse_ma_listed_companies: license_status is not verified_open,resolve the failing contract evidence before stable release
8289a6445058411b18efbf60,DFM::ETF,DFM,ETF,official_full,official_full,dfm_listed_securities,exchange_directory,exchange_audit_official_active_product_rows,2,2,2,0,0,0,100.0,99.5,pass,fail,fail_license,,dfm_listed_securities: license_status is not verified_open,resolve the failing contract evidence before stable release
43657a6d97ab5a0506ce152b,DFM::Stock,DFM,Stock,official_full,official_full,dfm_listed_securities,exchange_directory,exchange_audit_official_active_product_rows,69,69,43,26,0,0,62.318841,99.5,pass,fail,fail_license,,dfm_listed_securities: license_status is not verified_open,resolve the failing contract evidence before stable release
b28022855ab6310472f69643,DSE_TZ::Stock,DSE_TZ,Stock,official_partial,official_partial,dse_tz_listed_companies,listed_companies_subset,observed_partial_scope_keys,17,17,17,0,0,0,100.0,,pass,fail,partial_scope_observed,,dse_tz_listed_companies: license_status is not verified_open,do not promote partial scope to a full completeness claim
1a2452fa6b1ca910fc05d6ca,EGX::Stock,EGX,Stock,official_partial,official_partial,egx_listed_stocks,listed_companies_subset,observed_partial_scope_keys,191,191,188,3,0,0,98.429319,,pass,fail,partial_scope_observed,,egx_listed_stocks: license_status is not verified_open,do not promote partial scope to a full completeness claim
3582f7e497c2628589ea4015,Euronext::ETF,Euronext,ETF,official_full,official_full,euronext_equities|euronext_etfs,exchange_directory|secondary_listing_subset,exchange_audit_official_active_product_rows,1142,1141,503,639,1,0,44.045534,99.5,pass,fail,fail_identity_conflict,,euronext_equities: license_status is not verified_open | euronext_etfs: license_status is not verified_open,resolve the failing contract evidence before stable release
83e9dad0fe94a8eda3d1e4b3,Euronext::Stock,Euronext,Stock,official_full,official_full,euronext_equities,exchange_directory|secondary_listing_subset,exchange_audit_official_active_product_rows,2971,2971,782,2189,0,0,26.321104,99.5,pass,fail,fail_license,,euronext_equities: license_status is not verified_open,resolve the failing contract evidence before stable release
b1b30042d5b5ce9302565758,FSX::ETF,FSX,ETF,official_full,official_full,deutsche_boerse_frankfurt_all_tradable_equities,exchange_directory,exchange_audit_official_active_product_rows,3485,3485,114,3371,8,0,3.271162,99.5,pass,fail,fail_identity_conflict,,deutsche_boerse_frankfurt_all_tradable_equities: license_status is not verified_open,resolve the failing contract evidence before stable release
7b18a5e42388106f528f05f6,FSX::Stock,FSX,Stock,official_full,official_full,deutsche_boerse_frankfurt_all_tradable_equities,exchange_directory,exchange_audit_official_active_product_rows,14602,14602,7822,6780,36,0,53.568004,99.5,pass,fail,fail_identity_conflict,,deutsche_boerse_frankfurt_all_tradable_equities: license_status is not verified_open,resolve the failing contract evidence before stable release
ae3741d12cdfa51657000873,GSE::Stock,GSE,Stock,official_partial,official_partial,gse_listed_companies,listed_companies_subset,observed_partial_scope_keys,18,18,18,0,0,0,100.0,,pass,fail,partial_scope_observed,,gse_listed_companies: license_status is not verified_open,do not promote partial scope to a full completeness claim
