listing_key,ticker,exchange,isin,figi,requested_exchange_hint,openfigi_exch_code,openfigi_candidate_count,identifier_isin,listing_index_isin,existing_identifier_figi,existing_listing_index_figi,decision,reason,verification_evidence_required,openfigi_probe_context,existing_identifier_context,apply_gate_context
TSXV::TMS-H,TMS-H,TSXV,CA8761412011,BBG0092LYDM1,CN,CN,81,CA8761412011,CA8761412011,BBG0092LYDM1,BBG0092LYDM1,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=81,identifier_isin=CA8761412011;listing_index_isin=CA8761412011;existing_identifier_figi=BBG0092LYDM1;existing_listing_index_figi=BBG0092LYDM1,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TNGD,TNGD,TSXV,CA88650A1057,BBG00Z1JVDZ8,CN,CN,21,CA88650A1057,CA88650A1057,BBG00Z1JVDZ8,BBG00Z1JVDZ8,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=21,identifier_isin=CA88650A1057;listing_index_isin=CA88650A1057;existing_identifier_figi=BBG00Z1JVDZ8;existing_listing_index_figi=BBG00Z1JVDZ8,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TNO-H,TNO-H,TSXV,CA88145Y2050,BBG000C3RQ48,CN,CN,18,CA88145Y2050,CA88145Y2050,BBG000C3RQ48,BBG000C3RQ48,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA88145Y2050;listing_index_isin=CA88145Y2050;existing_identifier_figi=BBG000C3RQ48;existing_listing_index_figi=BBG000C3RQ48,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TNX,TNX,TSXV,CA8809451005,BBG013G4DXD5,CN,CN,42,CA8809451005,CA8809451005,BBG013G4DXD5,BBG013G4DXD5,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=42,identifier_isin=CA8809451005;listing_index_isin=CA8809451005;existing_identifier_figi=BBG013G4DXD5;existing_listing_index_figi=BBG013G4DXD5,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TOP.P,TOP.P,TSXV,CA89370J1030,BBG0149GP882,CN,CN,18,CA89370J1030,CA89370J1030,BBG0149GP882,BBG0149GP882,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA89370J1030;listing_index_isin=CA89370J1030;existing_identifier_figi=BBG0149GP882;existing_listing_index_figi=BBG0149GP882,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TOTC,TOTC,TSXV,CA89157M2040,BBG018L06YG9,CN,CN,45,CA89157M2040,CA89157M2040,BBG018L06YG9,BBG018L06YG9,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=45,identifier_isin=CA89157M2040;listing_index_isin=CA89157M2040;existing_identifier_figi=BBG018L06YG9;existing_listing_index_figi=BBG018L06YG9,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TRBC,TRBC,TSXV,CA89602G1090,BBG000BYSNG4,CN,CN,62,CA89602G1090,CA89602G1090,BBG000BYSNG4,BBG000BYSNG4,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=62,identifier_isin=CA89602G1090;listing_index_isin=CA89602G1090;existing_identifier_figi=BBG000BYSNG4;existing_listing_index_figi=BBG000BYSNG4,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TRV.P,TRV.P,TSXV,CA89532N1096,BBG0135WDZB2,CN,CN,18,CA89532N1096,CA89532N1096,BBG0135WDZB2,BBG0135WDZB2,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA89532N1096;listing_index_isin=CA89532N1096;existing_identifier_figi=BBG0135WDZB2;existing_listing_index_figi=BBG0135WDZB2,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TTGI,TTGI,TSXV,CA90043C1032,BBG00JPRNY74,CN,CN,60,CA90043C1032,CA90043C1032,BBG00JPRNY74,BBG00JPRNY74,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=60,identifier_isin=CA90043C1032;listing_index_isin=CA90043C1032;existing_identifier_figi=BBG00JPRNY74;existing_listing_index_figi=BBG00JPRNY74,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::TTO-H,TTO-H,TSXV,CA04962D3076,BBG0025F1FD7,CN,CN,17,CA04962D3076,CA04962D3076,BBG0025F1FD7,BBG0025F1FD7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=17,identifier_isin=CA04962D3076;listing_index_isin=CA04962D3076;existing_identifier_figi=BBG0025F1FD7;existing_listing_index_figi=BBG0025F1FD7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
