financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
G07.SI,G07,.SI,SGX,Great Eastern Life Assurance Co. Ltd,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
G10.SI,G10,.SI,SGX,Yuexiu Property Company Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
G13.SI,G13,.SI,SGX,Genting Singapore PLC,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
G92.SI,G92,.SI,SGX,China Aviation Oil Singapore Corp. Ltd.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
H02.SI,H02,.SI,SGX,Haw Par Corporation,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
H78.SI,H78,.SI,SGX,Hongkong Land Holdings Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
J36.SI,J36,.SI,SGX,Jardine Matheson Holdings Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
M04.SI,M04,.SI,SGX,Mandarin Oriental,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
N33.SI,N33,.SI,SGX,"Nomura Holdings, Inc.",secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
O10.SI,O10,.SI,SGX,Far East Orchard,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
