ticker,exchange,asset_type,name,sec_cik,sec_ticker,sec_exchange,sec_name,sec_sic,sec_sic_description,sector_update,number_tokens_match,name_match,decision
AVHRS,OTC,Stock,ARRIVED HOMES LLC,,,,,,,,False,False,no_sec_match
AVIHS,OTC,Stock,ARRIVED HOMES LLC,,,,,,,,False,False,no_sec_match
AVMPF,OTC,Stock,"Asia Vital Components Co., Ltd.",,,,,,,,False,False,no_sec_match
AVTGF,OTC,Stock,AVANTI GOLD CORP.,,,,,,,,False,False,no_sec_match
AWDSS,OTC,Stock,ARRIVED HOMES 5 LLC,,,,,,,,False,False,no_sec_match
AWDVS,OTC,Stock,ARRIVED HOMES 5 LLC,,,,,,,,False,False,no_sec_match
AWEVF,OTC,Stock,Alphawave IP Group plc,,,,,,,,False,False,no_sec_match
AWPWS,OTC,Stock,ARRIVED HOMES 5 LLC,,,,,,,,False,False,no_sec_match
AXNLF,OTC,Stock,AXNLF,,,,,,,,False,False,no_sec_match
AZLGY,OTC,Stock,AZELIS GROUP NV,,,,,,,,False,False,no_sec_match
BARKWS,OTC,Stock,BARKWS,,,,,,,,False,False,no_sec_match
BAWAY,OTC,Stock,BAWAG Group AG,1968385,BAWAY,OTC,BAWAG Group AG/ADR,,,,True,True,missing_sic
BBBT,OTC,Stock,Digital Development Partners Inc,,,,,,,,False,False,no_sec_match
BBII,OTC,Stock,BBII,,,,,,,,False,False,no_sec_match
BCHXF,OTC,Stock,BCHXF,,,,,,,,False,False,no_sec_match
BCTCF,OTC,Stock,BC Technology Group Limited,,,,,,,,False,False,no_sec_match
BDPTD,OTC,Stock,BDPTD,,,,,,,,False,False,no_sec_match
BENH,OTC,Stock,Bio-En Holdings Corp,,,,,,,,False,False,no_sec_match
BERLF,OTC,Stock,Rockland Resources Ltd.,,,,,,,,False,False,no_sec_match
BFGFF,OTC,Stock,Giant Mining Corp.,,,,,,,,False,False,no_sec_match
BFYW,OTC,Stock,Sauer Energy Inc,,,,,,,,False,False,no_sec_match
BGTTF,OTC,Stock,Billy Goat Brands Ltd,,,,,,,,False,False,no_sec_match
BHLWQ,OTC,Stock,"Benson Hill, Inc.",,,,,,,,False,False,no_sec_match
BIMT,OTC,Stock,Bitmis Corp,,,,,,,,False,False,no_sec_match
BKBLF,OTC,Stock,Magnetic North Acquisition Corp,,,,,,,,False,False,no_sec_match
BKTSF,OTC,Stock,BECKETTS INC.,,,,,,,,False,False,no_sec_match
BLCAF,OTC,Stock,BLACK CAT SYND LTD,,,,,,,,False,False,no_sec_match
BLPTF,OTC,Stock,Buffalo Potash Corp.,,,,,,,,False,False,no_sec_match
BLRDY,OTC,Stock,BillerudKorsnäs AB (publ),,,,,,,,False,False,no_sec_match
BLRZD,OTC,Stock,BLRZD,,,,,,,,False,False,no_sec_match
BLUVF,OTC,Stock,BlueRiver Acquisition Corp,,,,,,,,False,False,no_sec_match
BMTHF,OTC,Stock,BEST MART 360 HLDGS LTD.,,,,,,,,False,False,no_sec_match
BOLL,OTC,Stock,Alliance Sports Group L.P,,,,,,,,False,False,no_sec_match
BORMF,OTC,Stock,BOREALIS MNG CO LTD,,,,,,,,False,False,no_sec_match
BRDLF,OTC,Stock,Broadleaf Co. Ltd,,,,,,,,False,False,no_sec_match
BRDNF,OTC,Stock,BREEDON GROUP PLC,,,,,,,,False,False,no_sec_match
BREJY,OTC,Stock,mBank S.A,,,,,,,,False,False,no_sec_match
BRETF,OTC,Stock,Brazilian Rare Earths Limited,2018463,BRETF,OTC,Brazilian Rare Earths Limited/ADR,,,,True,True,missing_sic
BRKO,OTC,Stock,Broke Out Inc,,,,,,,,False,False,no_sec_match
BROGF,OTC,Stock,BROGF,,,,,,,,False,False,no_sec_match
BSMAF,OTC,Stock,Bursa Malaysia Bhd Ord,,,,,,,,False,False,no_sec_match
BSPDF,OTC,Stock,PT Bumi Serpong Damai,,,,,,,,False,False,no_sec_match
BSSC,OTC,Stock,Bank of Southside Virginia Corporation The,,,,,,,,False,False,no_sec_match
BTCFF,OTC,Stock,Bitcoin Treasury Corporation,,,,,,,,False,False,no_sec_match
BTSNY,OTC,Stock,Betsson AB (publ),,,,,,,,False,False,no_sec_match
BTZRF,OTC,Stock,Bitzero Holdings Inc.,,,,,,,,False,False,no_sec_match
BUSCD,OTC,Stock,Blue Star Global Inc,,,,,,,,False,False,no_sec_match
BXSY,OTC,Stock,Bexil Investment Trust,1059213,BXSY,OTC,BEXIL INVESTMENT TRUST,,,,True,True,missing_sic
BYMAF,OTC,Stock,BOLSAS Y MERCADOS ARGENTINOS,,,,,,,,False,False,no_sec_match
CAHLF,OTC,Stock,Celestial Asia Secs Holdings Ltd.,,,,,,,,False,False,no_sec_match
CANUF,OTC,Stock,Canadian Uranium Corp.,,,,,,,,False,False,no_sec_match
