ticker,name,exchange,asset_type,stock_sector,etf_category,country,country_code,isin,aliases,source_kind,source_exchange,source_mic,eodhd_exchange,eodhd_type,figi,lei,opendart_corp_code
3H3,Hidili Industry International Development Limited,FSX,Stock,,,Germany,DE,KYG444031069,,stocks,FSX,XFRA,F,Common Stock,BBG000TFNYG7,,
3H90,GALLEON GOLD CORP.,FSX,Stock,,,Germany,DE,CA36381N4093,Galleon Gold Corp,stocks,FSX,XFRA,F,Common Stock,BBG000MBPL24,,
3HJ,Lippo Malls Indonesia Retail Trust,FSX,Stock,,,Germany,DE,SG1W27938677,,stocks,FSX,XFRA,F,Common Stock,BBG000WGPM20,,
3HM,MSCI Inc,FSX,Stock,,,Germany,DE,US55354G1004,MSCI Inc.,stocks,FSX,XFRA,F,Common Stock,BBG000TXQ195,,
3HM,MSCI Inc,XSTU,Stock,,,Germany,DE,US55354G1004,MSCI Inc.,stocks,XSTU,XSTU,STU,Common Stock,BBG000TXQ195,,
3I5,Frontdoor Inc,FSX,Stock,,,Germany,DE,US35905A1097,"Frontdoor, Inc.",stocks,FSX,XFRA,F,Common Stock,BBG00N25QXP7,,
3I5,Frontdoor Inc,XSTU,Stock,,,Germany,DE,US35905A1097,"Frontdoor, Inc.",stocks,XSTU,XSTU,STU,Common Stock,BBG00N25QXP7,,
3I6,F-SECURE OYJ,FSX,Stock,,,Germany,DE,FI4000519236,F-Secure Oyj,stocks,FSX,XFRA,F,Common Stock,BBG018N1CQF6,,
3I7,Westshore Terminals Investment Corporation,FSX,Stock,,,Germany,DE,CA96145A2002,,stocks,FSX,XFRA,F,Common Stock,BBG011ZQ7280,,
3I8,International Personal Finance plc,FSX,Stock,,,Germany,DE,GB00B1YKG049,,stocks,FSX,XFRA,F,Common Stock,BBG000J2S4S5,,
3IB,PT Indo Tambangraya Megah Tbk,XSTU,Stock,,,Germany,DE,ID1000108509,Indo Tambangraya Megah Tbk,stocks,XSTU,XSTU,STU,Common Stock,BBG000S48F62,,
3IB,PT Indo Tambangraya Megah Tbk,FSX,Stock,,,Germany,DE,ID1000108509,Indo Tambangraya Megah Tbk,stocks,FSX,XFRA,F,Common Stock,BBG000S48F62,,
3IC,Icade,XSTU,Stock,,,Germany,DE,FR0000035081,Icade SA,stocks,XSTU,XSTU,STU,Common Stock,BBG000H38G73,,
3IC,Icade SA,FSX,Stock,,,Germany,DE,FR0000035081,,stocks,FSX,XFRA,F,Common Stock,BBG000H38G73,,
3IM,Manx Financial Group PLC,FSX,Stock,,,Germany,DE,IM00B28ZPX83,,stocks,FSX,XFRA,F,Common Stock,BBG000Q0C462,,
3IW,Invesco Ltd,FSX,Stock,,,Germany,DE,BMG491BT1088,Invesco Ltd.,stocks,FSX,XFRA,F,Common Stock,BBG000G40BM4,,
3J2,JATCORP LTD.,FSX,Stock,,,Germany,DE,AU000000JAT4,Jatcorp Limited,stocks,FSX,XFRA,F,Common Stock,BBG000TZSMN6,,
3J9,Bay Capital Plc,FSX,Stock,,,Germany,DE,JE00BKVHVW88,,stocks,FSX,XFRA,F,Common Stock,BBG0136XQM97,,
3JC0,NICKEL 28 CAPITAL CORP.,FSX,Stock,,,Germany,DE,CA65401N1078,Nickel 28 Capital Corp.,stocks,FSX,XFRA,F,Common Stock,BBG00YYYTNL8,,
3JDA,Rightmove PLC,XSTU,Stock,,,Germany,DE,GB00BGDT3G23,Rightmove plc,stocks,XSTU,XSTU,STU,Common Stock,BBG000N72RQ8,,
3JDA,Rightmove PLC,FSX,Stock,,,Germany,DE,GB00BGDT3G23,Rightmove plc,stocks,FSX,XFRA,F,Common Stock,BBG000N72RQ8,,
3K1,Kingsoft Corporation Limited,FSX,Stock,,,Germany,DE,KYG5264Y1089,,stocks,FSX,XFRA,F,Common Stock,BBG000R27JD2,,
3K2,Expert.ai S.p.A.,FSX,Stock,,,Germany,DE,IT0004496029,,stocks,FSX,XFRA,F,Common Stock,BBG00QFNL7T5,,
3K4,SCIUKER FRAMES SPA,FSX,Stock,,,Germany,DE,IT0005340051,Sciuker Frames S.p.A.,stocks,FSX,XFRA,F,Common Stock,BBG00QLDVMM3,,
3K8,KENTIMA HOLDING AB B,FSX,Stock,,,Germany,DE,SE0005100757,Kentima Holding AB,stocks,FSX,XFRA,F,Common Stock,BBG00LGMM2T7,,
3KC,Federated Hermes Inc,FSX,Stock,,,Germany,DE,US3142111034,Federated Hermes Inc.,stocks,FSX,XFRA,F,Common Stock,BBG000R5V5S2,,
3KD,Merchants Bancorp,FSX,Stock,,,Germany,DE,US58844R1086,Merchants Bancorp Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00VXCZTP9,,
3KF,Auxly Cannabis Group Inc,FSX,Stock,,,Germany,DE,CA05335P1099,Auxly Cannabis Group Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00LN7HZG9,,
3KF,Auxly Cannabis Group Inc,XSTU,Stock,,,Germany,DE,CA05335P1099,Auxly Cannabis Group Inc.,stocks,XSTU,XSTU,STU,Common Stock,BBG00LN7HZG9,,
3KJB,AYR WELLNESS INC.RES.VTG.,FSX,Stock,,,Germany,DE,CA05475P1099,Ayr Wellness Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00V4VCWB2,,
3KO,Kontoor Brands Inc,XSTU,Stock,,,Germany,DE,US50050N1037,Kontoor Brands Inc.,stocks,XSTU,XSTU,STU,Common Stock,BBG00P8V4N39,,
3KO,Kontoor Brands Inc,FSX,Stock,,,Germany,DE,US50050N1037,Kontoor Brands Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00P8V4N39,,
3KT,KONTIGO CARE AB,FSX,Stock,,,Germany,DE,SE0007075247,Kontigo Care AB,stocks,FSX,XFRA,F,Common Stock,BBG00LGMKF74,,
3L1,The Marcus Corporation,FSX,Stock,,,Germany,DE,US5663301068,Marcus Corporation,stocks,FSX,XFRA,F,Common Stock,BBG00KH6N2P6,,
