batch_id,listing_key,ticker,exchange,asset_type,name,isin,requested_exchange_hint,openfigi_figi,openfigi_ticker,openfigi_exch_code,openfigi_name,openfigi_security_type,candidate_count,decision
canada-figi-0001,TSXV::WED,WED,TSXV,Stock,Westaim Corporation (The),US9569251013,CN,BBG000C156Q6,WED,CN,WESTAIM CORP/THE,Common Stock,83,accept
canada-figi-0001,TSXV::WFLD,WFLD,TSXV,Stock,Wellfield Technologies Inc.,CA94950R1038,CN,BBG013SX8689,WFLD,CN,WELLFIELD TECHNOLOGIES INC,Common Stock,71,accept
canada-figi-0001,TSXV::WGT,WGT,TSXV,Stock,Westgate Energy Inc.,CA96031U1049,CN,BBG000KX75P8,WGT,CN,WESTGATE ENERGY INC,Common Stock,66,accept
canada-figi-0001,TSXV::WHN,WHN,TSXV,Stock,Westhaven Gold Corp.,CA9603501060,CN,BBG0018BWKN9,WHN,CN,WESTHAVEN GOLD CORP,Common Stock,106,accept
canada-figi-0001,TSXV::WITT.P,WITT.P,TSXV,Stock,Wittering Capital Corp.,CA97749Q1046,CN,BBG0145KMFS2,WITT/P,CN,WITTERING CAPITAL CORP,Common Stock,18,accept
canada-figi-0001,TSXV::WKG,WKG,TSXV,Stock,WestKam Gold Corp.,CA96041W2076,CN,,,,,,0,no_openfigi_match
canada-figi-0001,TSXV::WLR,WLR,TSXV,Stock,Walker Lane Resources Ltd.,CA9316741052,CN,BBG000BJY7S2,WLR,CN,WALKER LANE RESOURCES LTD,Common Stock,56,accept
canada-figi-0001,TSXV::WOOD.P,WOOD.P,TSXV,Stock,Woodbridge Ventures II Inc.,CA97888Q1054,CN,BBG013J8V385,WOOD/P,CN,WOODBRIDGE VENTURES II INC,Common Stock,18,accept
canada-figi-0001,TSXV::WPG,WPG,TSXV,Stock,West Point Gold Corp.,CA95538Q1037,CN,BBG000L6RRQ5,WPG,CN,WEST POINT GOLD CORP,Common Stock,79,accept
canada-figi-0001,TSXV::WRLG,WRLG,TSXV,Stock,West Red Lake Gold Mines Ltd.,CA95556L1013,CN,BBG000BS4G41,WRLG,CN,WEST RED LAKE GOLD MINES LTD,Common Stock,96,accept
canada-figi-0001,TSXV::WT-H,WT-H,TSXV,Stock,Wangton Capital Corp,CA93390B3065,CN,,,,,,0,no_openfigi_match
canada-figi-0001,TSXV::WWA.P,WWA.P,TSXV,Stock,Whitewater Acquisition Corp.,CA96613L1004,CN,BBG0132WJJC4,WWA/P,CN,WHITEWATER ACQUISITION CORP,Common Stock,18,accept
canada-figi-0001,TSXV::XBOT,XBOT,TSXV,Stock,Realbotix Corp.,CA75604K1075,CN,BBG000CDWTN3,XBOT,CN,REALBOTIX CORP,Common Stock,64,accept
canada-figi-0001,TSXV::XCAP.P,XCAP.P,TSXV,Stock,Exelerate Capital Corp.,CA30163L1031,CN,BBG00NSC5VG1,XCAP/P,CN,EXELERATE CAPITAL CORP,Common Stock,18,accept
canada-figi-0001,TSXV::XOX.P,XOX.P,TSXV,Stock,Planet X Capital Corp.,CA72706J1049,CN,BBG0157FPY86,XOX/P,CN,PLANET X CAPITAL CORP,Common Stock,18,accept
canada-figi-0001,TSXV::XPLR,XPLR,TSXV,Stock,Xplore Resources Corp.,CA98421G1090,CN,,,,,,0,no_openfigi_match
canada-figi-0001,TSXV::XX,XX,TSXV,Stock,Avante Logixx Inc,CA05351B3074,CN,,,,,,0,no_openfigi_match
canada-figi-0001,TSXV::XXIX,XXIX,TSXV,Stock,XXIX Metal Corp.,CA9013201012,CN,BBG00KG0VBD4,XXIX,CN,XXIX METAL CORP,Common Stock,103,accept
canada-figi-0001,TSXV::YAY,YAY,TSXV,Stock,THS Maple Holdings Ltd.,CA87252F1080,CN,BBG011MGV4S3,YAY,CN,THS MAPLE HOLDINGS LTD,Common Stock,18,accept
canada-figi-0001,TSXV::YSK.P,YSK.P,TSXV,Stock,Space Kingdom Digital Capital Corp.,CA84616A1075,CN,BBG01HMV0XC2,YSK/P,CN,SPACE KINGDOM DIGITAL CAPITA,Common Stock,18,accept
canada-figi-0001,TSXV::ZAU,ZAU,TSXV,Stock,Zodiac Gold Inc.,CA98980T1049,CN,BBG01BFSF1N2,ZAU,CN,ZODIAC GOLD INC,Common Stock,69,accept
canada-figi-0001,TSXV::ZCC-H,ZCC-H,TSXV,Stock,Zena Mining Corp,CA98935W1032,CN,BBG000D7C0K3,ZCC/H,CN,ZENA MINING CORP,Common Stock,17,accept
canada-figi-0001,TSXV::ZCT,ZCT,TSXV,Stock,Zero Candida Technologies Inc.,CA9894831028,CN,BBG01QZHS5F7,ZCT,CN,ZERO CANDIDA TECHNOLOGIES IN,Common Stock,46,accept
canada-figi-0001,TSXV::ZENI.P,ZENI.P,TSXV,Stock,Zenith Capital Corporation,CA98936P1071,CN,BBG004NFG291,ZENI/P,CN,ZENITH CAPITAL CORP/CANADA,Common Stock,18,accept
canada-figi-0001,TSXV::ZKL-H,ZKL-H,TSXV,Stock,China Keli Electric Company Ltd,CA1689301135,CN,BBG000KDGSN4,ZKL/H,CN,CHINA KELI ELECTRIC CO LTD,Common Stock,18,accept
canada-figi-0001,TSXV::ZLTO,ZLTO,TSXV,Stock,Bulgold Inc.,CA12016C1005,CN,BBG015HYDYJ5,ZLTO,CN,BULGOLD INC,Common Stock,18,accept
canada-figi-0001,TSXV::ZYUS,ZYUS,TSXV,Stock,ZYUS Life Sciences Corporation,CA9899601095,CN,BBG000BC9457,ZYUS,CN,ZYUS LIFE SCIENCES CORP,Common Stock,21,accept
canada-figi-0001,TSXV::ZZE-H,ZZE-H,TSXV,Stock,Zidane Capital Corp,CA98953U2039,CN,BBG001KR1DZ7,ZZE/H,CN,ZIDANE CAPITAL CORP,Common Stock,18,accept
