conflict_id,isin,listing_key,ticker,exchange,name,asset_type,action,reason,evidence_status,retained_isin
031f11021de9c46b852e,CNE100001ST5,FSX::1D2,1D2,FSX,Beijing Digital Telecom Co. Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100001ST5
031f11021de9c46b852e,CNE100001ST5,HKEX::06188,06188,HKEX,BJ DIGITAL,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE100001ST5
031f11021de9c46b852e,CNE100001ST5,XSTU::1D2,1D2,XSTU,Beijing Digital Telecom Co Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100001ST5
9e155d8e1d3440a52d05,CNE100001TQ9,FSX::9GF,9GF,FSX,GF Securities Co. Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100001TQ9
9e155d8e1d3440a52d05,CNE100001TQ9,HKEX::01776,01776,HKEX,GF SEC,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE100001TQ9
9e155d8e1d3440a52d05,CNE100001TQ9,XSTU::9GF,9GF,XSTU,GF Securities Co Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100001TQ9
17157567af3a55056985,CNE100001W69,FSX::5HB,5HB,FSX,Shanghai Haohai Biological Technology Co. Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100001W69
17157567af3a55056985,CNE100001W69,HKEX::06826,06826,HKEX,HAOHAI BIOTEC,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE100001W69
17157567af3a55056985,CNE100001W69,XSTU::5HB,5HB,XSTU,Shanghai Haohai Biological Technology Co Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100001W69
217186cb2981063a848e,CNE100001YQ9,FSX::206H,206H,FSX,Huatai Securities Co. Ltd,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100001YQ9
217186cb2981063a848e,CNE100001YQ9,HKEX::06886,06886,HKEX,HTSC,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100001YQ9
217186cb2981063a848e,CNE100001YQ9,XSTU::206H,206H,XSTU,Huatai Securities Co Ltd,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100001YQ9
9edfbc837f6d361fe921,CNE100001ZS2,FSX::3S5,3S5,FSX,Red Star Macalline Group Corporation Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100001ZS2
9edfbc837f6d361fe921,CNE100001ZS2,HKEX::01528,01528,HKEX,RS MACALLINE,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE100001ZS2
9edfbc837f6d361fe921,CNE100001ZS2,XSTU::3S5,3S5,XSTU,Red Star Macalline Group Corp Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100001ZS2
31a5fe41290662c277ef,CNE100001ZT0,FSX::1PC,1PC,FSX,Legend Holdings Corporation,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100001ZT0
31a5fe41290662c277ef,CNE100001ZT0,HKEX::03396,03396,HKEX,LEGENDHOLDING,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100001ZT0
31a5fe41290662c277ef,CNE100001ZT0,OTC::LGNRF,LGNRF,OTC,Legend Holdings Corporation,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100001ZT0
