listing_key,ticker,exchange,current_name,proposed_name,twelvedata_type,confidence,adjudication_decision,evidence_tier,figi_relation,openfigi_figi,local_figi,provider_supports_twelvedata,review_batch,metadata_update_reason
OTC::PMEDF,PMEDF,OTC,Predictmedix Inc,QScreen AI Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG00RKGKD65,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::PSYC,PSYC,OTC,Global Payout Inc.,Psyc Corp,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000C4S4Q0,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::PSZKF,PSZKF,OTC,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,PKO Bank Polski S.A.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000DQC4H7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::RDAR,RDAR,OTC,"Telvantis, Inc.",Raadr Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000BFK313,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::RIOCF,RIOCF,OTC,Riocan REIT,RioCan Real Estate Investment Trust,REIT,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000C0HCB8,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::SCNG,SCNG,OTC,Strattner Financial Group Corp,SC Holdings Corp.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000HS3WH7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::SOTDF,SOTDF,OTC,Stroeer SE,Ströer SE & Co. KGaA,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG003LYCRM8,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::SSCC,SSCC,OTC,SMURFIT-STONE CONTAINER Corp,Spirits Capital Corporation,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000BXFVK7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::SUVZ,SUVZ,OTC,Suvanza Pharma LLC,Suvanza,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000CFJ948,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::TLGN,TLGN,OTC,Totally Green Inc,Ever Harvest International Group,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000BH3DN2,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::TMLL,TMLL,OTC,Third Millennium Industries Inc,Tele Group Corp,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000BYFCG2,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::TONPF,TONPF,OTC,Toppan Inc,Toppan Holdings Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000BNRLL7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::URGYF,URGYF,OTC,Academy Metals Inc,Bedford Metals Corp,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG001W2KPK7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::VNTXF,VNTXF,OTC,FORTE GROUP HOLDINGS INC.,Vanta Holdings Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG00PQCL407,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::VVCHF,VVCHF,OTC,Viva China Holdings Limited,Viva Goods Company Ltd.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG0033BHS69,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::WHLM,WHLM,OTC,Wilhelmina,"Wilhelmina International, Inc.",Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000N9L6L4,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::WOLV,WOLV,OTC,Wolverine Technologies Corp,Wolverine Resources Corp.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000BX2RM8,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::XAKJ,XAKJ,OTC,"SIPP International Industries, Inc.",Xiao AI Technology Limited,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000C281G3,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
TSXV::KOVO,KOVO,TSXV,Kovo Healthtech Corp,Kovo Holdings Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG0119BKNY2,,OpenFIGI,batch_b_canada,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_b_canada.
