financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at
BRAP3.SA,BRAP3,.SA,B3,Bradespar S.A,secondary_review,true,2026-04-17T07:41:14Z
BRFS3.SA,BRFS3,.SA,B3,BRF S.A.,secondary_review,true,2026-04-17T07:41:14Z
BRKM3.SA,BRKM3,.SA,B3,Braskem S.A,secondary_review,true,2026-04-17T07:41:14Z
BRSR3.SA,BRSR3,.SA,B3,Banco do Estado do Rio Grande do Sul S.A.,secondary_review,true,2026-04-17T07:41:14Z
BSLI3.SA,BSLI3,.SA,B3,BRB Banco de Brasília S.A.,secondary_review,true,2026-04-17T07:41:14Z
CAMB3.SA,CAMB3,.SA,B3,Penalty,secondary_review,true,2026-04-17T07:41:14Z
CCRO3.SA,CCRO3,.SA,B3,CCR S.A.,secondary_review,true,2026-04-17T07:41:14Z
CGAS3.SA,CGAS3,.SA,B3,Companhia de Gás de São Paulo - Comgás,secondary_review,true,2026-04-17T07:41:14Z
CLSC3.SA,CLSC3,.SA,B3,Centrais Elétricas de Santa Catarina S.A.,secondary_review,true,2026-04-17T07:41:14Z
CMIG3.SA,CMIG3,.SA,B3,CEMIG,secondary_review,true,2026-04-17T07:41:14Z
COGN3.SA,COGN3,.SA,B3,Cogna Educação S.A.,secondary_review,true,2026-04-17T07:41:14Z
CPFE3.SA,CPFE3,.SA,B3,CPFL Energia S.A.,secondary_review,true,2026-04-17T07:41:14Z
CPLE3.SA,CPLE3,.SA,B3,Companhia Paranaense de Energia,secondary_review,true,2026-04-17T07:41:14Z
CSAN3.SA,CSAN3,.SA,B3,Cosan S.A.,secondary_review,true,2026-04-17T07:41:14Z
CSNA3.SA,CSNA3,.SA,B3,Companhia Siderúrgica Nacional SA,secondary_review,true,2026-04-17T07:41:14Z
CYRE3.SA,CYRE3,.SA,B3,Cyrela Brazil Realty S.A Empreendimentos e Participações,secondary_review,true,2026-04-17T07:41:14Z
DASA3.SA,DASA3,.SA,B3,Diagnósticos da América S.A.,secondary_review,true,2026-04-17T07:41:14Z
DXCO3.SA,DXCO3,.SA,B3,Dexco S.A.,secondary_review,true,2026-04-17T07:41:14Z
ECOR3.SA,ECOR3,.SA,B3,EcoRodovias Infraestrutura e Logística S.A.,secondary_review,true,2026-04-17T07:41:14Z
EGIE3.SA,EGIE3,.SA,B3,ENGIE Brasil Energia S.A.,secondary_review,true,2026-04-17T07:41:14Z
ELET3.SA,ELET3,.SA,B3,Centrais Elétricas Brasileiras S.A.,secondary_review,true,2026-04-17T07:41:14Z
EMBR3.SA,EMBR3,.SA,B3,Embraer S.A.,secondary_review,true,2026-04-17T07:41:14Z
ENEV3.SA,ENEV3,.SA,B3,Eneva S.A.,secondary_review,true,2026-04-17T07:41:14Z
ESTR3.SA,ESTR3,.SA,B3,Manufatura de Brinquedos Estrela S.A.,secondary_review,true,2026-04-17T07:41:14Z
EVEN3.SA,EVEN3,.SA,B3,Even Construtora e Incorporadora S.A.,secondary_review,true,2026-04-17T07:41:14Z
GFSA3.SA,GFSA3,.SA,B3,Gafisa SA,secondary_review,true,2026-04-17T07:41:14Z
GGBR3.SA,GGBR3,.SA,B3,Gerdau S.A.,secondary_review,true,2026-04-17T07:41:14Z
GOLL4.SA,GOLL4,.SA,B3,GOL Linhas Aéreas Inteligentes S.A.,secondary_review,true,2026-04-17T07:41:14Z
GPIV33.SA,GPIV33,.SA,B3,"GP Investments, Ltd",secondary_review,true,2026-04-17T07:41:14Z
GSHP3.SA,GSHP3,.SA,B3,General Shopping Brasil S.A.,secondary_review,true,2026-04-17T07:41:14Z
HYPE3.SA,HYPE3,.SA,B3,Hypera S.A.,secondary_review,true,2026-04-17T07:41:14Z
IGTI3.SA,IGTI3,.SA,B3,Iguatemi Empresa de Shopping Centers S.A.,secondary_review,true,2026-04-17T07:41:14Z
ISAE3.SA,ISAE3,.SA,B3,Companhia de Transmissão de Energia Elétrica Paulista,secondary_review,true,2026-04-17T07:41:14Z
ITSA3.SA,ITSA3,.SA,B3,Itaúsa Investimentos Itaú S.A.,secondary_review,true,2026-04-17T07:41:14Z
ITUB3.SA,ITUB3,.SA,B3,Itaú Unibanco S.A.,secondary_review,true,2026-04-17T07:41:14Z
JBSS3.SA,JBSS3,.SA,B3,JBS S.A.,secondary_review,true,2026-04-17T07:41:14Z
JSLG3.SA,JSLG3,.SA,B3,JSL S.A.,secondary_review,true,2026-04-17T07:41:14Z
KLBN3.SA,KLBN3,.SA,B3,Klabin S.A.,secondary_review,true,2026-04-17T07:41:14Z
LIGT3.SA,LIGT3,.SA,B3,Light S.A.,secondary_review,true,2026-04-17T07:41:14Z
LREN3.SA,LREN3,.SA,B3,Lojas Renner S.A.,secondary_review,true,2026-04-17T07:41:14Z
MEAL3.SA,MEAL3,.SA,B3,International Meal Company Holdings S.A.,secondary_review,true,2026-04-17T07:41:14Z
MNDL3.SA,MNDL3,.SA,B3,Mundial S.A. Produtos de Consumo,secondary_review,true,2026-04-17T07:41:14Z
MOTV3.SA,MOTV3,.SA,B3,Motiva,secondary_review,true,2026-04-17T07:41:14Z
MRFG3.SA,MRFG3,.SA,B3,Marfrig Global Foods S.A.,secondary_review,true,2026-04-17T07:41:14Z
MRSA3B.SA,MRSA3B,.SA,B3,MRS Logistica S.A.,secondary_review,true,2026-04-17T07:41:14Z
MRVE3.SA,MRVE3,.SA,B3,MRV Engenharia e Participações S.A.,secondary_review,true,2026-04-17T07:41:14Z
MYPK3.SA,MYPK3,.SA,B3,Iochpe-Maxion S.A.,secondary_review,true,2026-04-17T07:41:14Z
NTCO3.SA,NTCO3,.SA,B3,Natura &Co Holding S.A.,secondary_review,true,2026-04-17T07:41:14Z
OIBR3.SA,OIBR3,.SA,B3,Oi S.A.,secondary_review,true,2026-04-17T07:41:14Z
PCAR3.SA,PCAR3,.SA,B3,Companhia Brasileira de Distribuição,secondary_review,true,2026-04-17T07:41:14Z
PDGR3.SA,PDGR3,.SA,B3,PDG Realty S.A. Empreendimentos e Participações,secondary_review,true,2026-04-17T07:41:14Z
PETR3.SA,PETR3,.SA,B3,Petróleo Brasileiro S.A.,secondary_review,true,2026-04-17T07:41:14Z
POMO3.SA,POMO3,.SA,B3,Marcopolo S.A.,secondary_review,true,2026-04-17T07:41:14Z
PORT3.SA,PORT3,.SA,B3,"Wilson, Sons Limited",secondary_review,true,2026-04-17T07:41:14Z
POSI3.SA,POSI3,.SA,B3,Positivo Tecnologia S.A.,secondary_review,true,2026-04-17T07:41:14Z
PSSA3.SA,PSSA3,.SA,B3,Porto Seguro Seguros S.A.,secondary_review,true,2026-04-17T07:41:14Z
RADL3.SA,RADL3,.SA,B3,Raia Drogasil S.A.,secondary_review,true,2026-04-17T07:41:14Z
RAIL3.SA,RAIL3,.SA,B3,Rumo Logística,secondary_review,true,2026-04-17T07:41:14Z
REDE3.SA,REDE3,.SA,B3,Rede Energia S.A.,secondary_review,true,2026-04-17T07:41:14Z
RENT3.SA,RENT3,.SA,B3,Localiza Rent a Car S.A.,secondary_review,true,2026-04-17T07:41:14Z
RSID3.SA,RSID3,.SA,B3,Rossi Residencial S.A,secondary_review,true,2026-04-17T07:41:14Z
SANB11.SA,SANB11,.SA,B3,Banco Santander (Brasil) S.A.,secondary_review,true,2026-04-17T07:41:14Z
SAPR11.SA,SAPR11,.SA,B3,Sanepar,secondary_review,true,2026-04-17T07:41:14Z
SBSP3.SA,SBSP3,.SA,B3,Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp),secondary_review,true,2026-04-17T07:41:14Z
SGPS3.SA,SGPS3,.SA,B3,Springs Global Participações S.A.,secondary_review,true,2026-04-17T07:41:14Z
SHOW3.SA,SHOW3,.SA,B3,T4F Entretenimento S.A.,secondary_review,true,2026-04-17T07:41:14Z
SLCE3.SA,SLCE3,.SA,B3,SLC Agrícola,secondary_review,true,2026-04-17T07:41:14Z
STBP3.SA,STBP3,.SA,B3,Santos Brasil Participações S.A.,secondary_review,true,2026-04-17T07:41:14Z
SUZB3.SA,SUZB3,.SA,B3,Suzano S.A.,secondary_review,true,2026-04-17T07:41:14Z
TAEE3.SA,TAEE3,.SA,B3,Transmissora Aliança de Energia Elétrica S.A.,secondary_review,true,2026-04-17T07:41:14Z
TASA3.SA,TASA3,.SA,B3,Taurus Armas,secondary_review,true,2026-04-17T07:41:14Z
TELB3.SA,TELB3,.SA,B3,Telecomunicações Brasileiras S.A. (Telebras),secondary_review,true,2026-04-17T07:41:14Z
TOTS3.SA,TOTS3,.SA,B3,TOTVS,secondary_review,true,2026-04-17T07:41:14Z
UGPA3.SA,UGPA3,.SA,B3,Ultra Group (Ultrapar Participações S.A),secondary_review,true,2026-04-17T07:41:14Z
UNIP3.SA,UNIP3,.SA,B3,Unipar Carbocloro S/A,secondary_review,true,2026-04-17T07:41:14Z
USIM3.SA,USIM3,.SA,B3,Usinas Siderurgicas de Minas Gerais S.A - Usiminas,secondary_review,true,2026-04-17T07:41:14Z
VALE3.SA,VALE3,.SA,B3,Vale,secondary_review,true,2026-04-17T07:41:14Z
VIVT3.SA,VIVT3,.SA,B3,"Telefônica Brasil, S.A.",secondary_review,true,2026-04-17T07:41:14Z
VLID3.SA,VLID3,.SA,B3,Valid Soluções S.A.,secondary_review,true,2026-04-17T07:41:14Z
VULC3.SA,VULC3,.SA,B3,Vulcabrasǀazaleia S.A.,secondary_review,true,2026-04-17T07:41:14Z
WEGE3.SA,WEGE3,.SA,B3,WEG S.A.,secondary_review,true,2026-04-17T07:41:14Z
YDUQ3.SA,YDUQ3,.SA,B3,YDUQS,secondary_review,true,2026-04-17T07:41:14Z
AC.MX,AC,.MX,BMV,Arca Continental S.A.B. de C.V.,secondary_review,true,2026-04-17T07:41:14Z
ALSEA.MX,ALSEA,.MX,BMV,"Alsea, S.A.B. de C.V.",secondary_review,true,2026-04-17T07:41:14Z
AZTECACPO.MX,AZTECACPO,.MX,BMV,"Televisión Azteca, S.A.B. de C.V.",secondary_review,true,2026-04-17T07:41:14Z
CX.MX,CX,.MX,BMV,CEMEX S.A.B. de C.V.,secondary_review,true,2026-04-17T07:41:14Z
ELEKTRA.MX,ELEKTRA,.MX,BMV,Grupo Elektra,secondary_review,true,2026-04-17T07:41:14Z
GENTERA.MX,GENTERA,.MX,BMV,"Compartamos, S.A.B de C.V.",secondary_review,true,2026-04-17T07:41:14Z
HERDEZ.MX,HERDEZ,.MX,BMV,"Grupo Herdez, SAB de CV",secondary_review,true,2026-04-17T07:41:14Z
ICA.MX,ICA,.MX,BMV,Empresas ICA,secondary_review,true,2026-04-17T07:41:14Z
LBTYAN.MX,LBTYAN,.MX,BMV,Liberty Global Ltd.,secondary_review,true,2026-04-17T07:41:14Z
OMAB.MX,OMAB,.MX,BMV,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",secondary_review,true,2026-04-17T07:41:14Z
ORBIA.MX,ORBIA,.MX,BMV,"Orbia Advance Corporation, S.A.B. de C.V.",secondary_review,true,2026-04-17T07:41:14Z
