ticker,exchange,asset_type,name,category_update,matched_rule,decision
HVAC,NYSE ARCA,ETF,AdvisorShares Trust,,,no_rule_match
IAIX,LSE,ETF,INVESCO MARKETS II PLC INVESCO,,,no_rule_match
ICCROETF,BVB,ETF,Intercapital ETF D.o.o.,,,no_rule_match
ICGROETF,BVB,ETF,Intercapital ETF D.o.o.,,,no_rule_match
IDBFF,OTC,ETF,ISHARES V PLC,,,no_rule_match
IDTCF,OTC,ETF,ISHARES V PLC,,,no_rule_match
IGBSF,OTC,ETF,ISHARES IV PLC,,,no_rule_match
IISBF,OTC,ETF,IISBF,,,no_rule_match
ISBNF,OTC,ETF,ISHARES V PLC,,,no_rule_match
ISCHF,OTC,ETF,ISHARES ETF CH ISHARES SWISS DOMESTIC GOVT BD 3-7 ETF CH,,,no_rule_match
ISPAF,OTC,ETF,ISHARES V PLC,,,no_rule_match
ITPUF,OTC,ETF,ITPUF,,,no_rule_match
IVGAF,OTC,ETF,ISHARES V PLC,,,no_rule_match
IXSRF,OTC,ETF,IXSRF,,,no_rule_match
JABS,NYSE ARCA,ETF,Janus Detroit Street Trust,,,no_rule_match
JFS,TSX,ETF,JFT Strategies Fund,,,no_rule_match
KRUZ,BATS,ETF,Unusual Whales Subversive Republican Trading ETF,,,no_rule_match
LAYS,NASDAQ,ETF,STKd 100% NVDA & 100% AMD ETF,,,no_rule_match
LSGR,NYSE ARCA,ETF,Natixis ETF Trust II,,,no_rule_match
LTAX,NYSE ARCA,ETF,Nomura ETF Trust,,,no_rule_match
MANI,NYSE ARCA,ETF,Man ETF Series Trust,,,no_rule_match
MEME,NYSE ARCA,ETF,Roundhill ETF Trust,,,no_rule_match
MHY,NYSE ARCA,ETF,Man ETF Series Trust,,,no_rule_match
MKAM,NASDAQ,ETF,MKAM ETF,,,no_rule_match
MMID,NYSE,ETF,MFS Active Exchange Traded Funds Trust,,,no_rule_match
MPCT,TSX,ETF,Dream Impact Trust,,,no_rule_match
MUNX,NYSE ARCA,ETF,AMG ETF Trust,,,no_rule_match
NAFTRACISH,BMV,ETF,iShares NAFTRAC,,,no_rule_match
NCLP,LSE,ETF,WISDOMTREE ISSUER ICAV WT URNM,,,no_rule_match
NDAA,NASDAQ,ETF,Ned Davis Research 360 Dynamic Allocation ETF,,,no_rule_match
NITE,NYSE ARCA,ETF,The Nightview ETF,,,no_rule_match
NMBL,NYSE ARCA,ETF,NovaTide Flexible Allocation ETF,,,no_rule_match
NOGV11,B3,ETF,INTER EQI TEVA ETF BOLSA SEM ESTATAIS FDO DE ÍNDIC,,,no_rule_match
OAKG,NYSE ARCA,ETF,Harris Oakmark ETF Trust,,,no_rule_match
OBXD,OSL,ETF,DNB OBX,,,no_rule_match
OEFA,NYSE ARCA,ETF,ALPS ETF Trust,,,no_rule_match
OPH,ASX,ETF,OPHIR HIGH CONVICTION FUND,,,no_rule_match
OWNS,NYSE ARCA,ETF,Quaker Investment Trust,,,no_rule_match
PACF,TSX,ETF,Purpose Active Conservative Fund,,,no_rule_match
PCEM,NYSE ARCA,ETF,Litman Gregory Funds Trust,,,no_rule_match
PFRL,NYSE ARCA,ETF,PGIM ETF Trust,,,no_rule_match
PJIO,NYSE ARCA,ETF,PGIM ETF Trust,,,no_rule_match
