ticker,exchange,asset_type,name,tmx_symbol,tmx_name,tmx_exchange,tmx_sector,tmx_subsector,sector_update,decision
FONC.P,TSXV,Stock,Florence One Capital Inc.,FONC.P,Florence One Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
FRAS.P,TSXV,Stock,Fraser Big Sky Capital Corp.,FRAS.P,Fraser Big Sky Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
FRED,TSXV,Stock,Fredonia Mining Inc.,FRED,Fredonia Mining Inc.,TSXV,Mining,,Materials,accept
FTRC,TSXV,Stock,FUTR Corporation (The),FTRC,FUTR Corporation (The),TSXV,Technology,,Information Technology,accept
FUN.P,TSXV,Stock,Fountainhall Capital Corp.,FUN.P,Fountainhall Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
FWTC,TSXV,Stock,Forward Water Technologies Corp.,FWTC,Forward Water Technologies Corp.,TSXV,Clean Technology & Renewable Energy,,,unsupported_or_ambiguous_tmx_sector
GCV.P,TSXV,Stock,Golden Star Capital Ventures Inc.,GCV.P,Golden Star Capital Ventures Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
GFOR.P,TSXV,Stock,Good2Go4 Corp.,GFOR.P,Good2Go4 Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
GGAU,TSXV,Stock,Galactic Gold Corp.,GGAU,Galactic Gold Corp.,TSXV,Mining,,Materials,accept
GLIN.P,TSXV,Stock,Global Investments Capital Corp.,GLIN.P,Global Investments Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
GOWC.P,TSXV,Stock,Can-Gow Capital Inc.,GOWC.P,Can-Gow Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
GQ,TSXV,Stock,Great Quest Gold Ltd.,,,,,,,no_tmx_symbol_match
