ticker,exchange,asset_type,name,tmx_symbol,tmx_name,tmx_exchange,tmx_sector,tmx_subsector,sector_update,decision
TBLZ.P,TSXV,Stock,Trail Blazer Capital Corp.,TBLZ.P,Trail Blazer Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
TCG.P,TSXV,Stock,Transcontinental Gold Corp.,TCG.P,Transcontinental Gold Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
TCK.P,TSXV,Stock,Trillium Acquisition Corp.,TCK.P,Trillium Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
THY-P,TSXV,Stock,Thermopylae Capital Inc.,THY.P,Thermopylae Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
TIDE.P,TSXV,Stock,Intertidal Capital Corp.,TIDE.P,Intertidal Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
TIE,TSXV,Stock,Coloured Ties Capital Inc.,TIE,Coloured Ties Capital Inc.,TSXV,Financial Services,,Financials,accept
TLC.P,TSXV,Stock,Timeless Capital Corp.,TLC.P,Timeless Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
TOP.P,TSXV,Stock,Transition Opportunities Corp.,TOP.P,Transition Opportunities Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
TORC,TSXV,Stock,TinOne Resources Inc.,TORC,TinOne Resources Inc.,TSXV,Mining,,Materials,accept
TOTC,TSXV,Stock,Totec Resources Ltd.,TOTC,Totec Resources Ltd.,TSXV,Mining,,Materials,accept
TRBR,TSXV,Stock,Trubar Inc.,,,,,,,no_tmx_symbol_match
TRV.P,TSXV,Stock,Treviso Capital Corp.,TRV.P,Treviso Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
TTES,TSX,Stock,TotalEnergies CDR (CAD Hedged),TTES,TotalEnergies CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
TTO-H,TSXV,Stock,Atoro Capital Corp,,,,,,,no_tmx_symbol_match
TUP.P,TSXV,Stock,Tup Capital Inc.,TUP.P,Tup Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
U-U,TSX,Stock,Sprott Physical Uranium Trust,U,Sprott Physical Uranium Trust,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
UBSS,TSX,Stock,UBS CDR (CAD Hedged),UBSS,UBS CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
UIG,TSXV,Stock,Urban Infrastructure Group Inc.,UIG,Urban Infrastructure Group Inc.,TSXV,Industrial Products & Services,,Industrials,accept
UPT.P,TSXV,Stock,Upstart Investments Inc.,UPT.P,Upstart Investments Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
VAL.P,TSXV,Stock,Valencia Capital Inc.,VAL.P,Valencia Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
VAND,TSXV,Stock,Largo Physical Vanadium Corp.,VAND,Largo Physical Vanadium Corp.,TSXV,Financial Services,Mining Services,Financials,accept
VCC.P,TSXV,Stock,Veteran Capital Corp.,VCC.P,Veteran Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
VISA,TSX,Stock,Visa CDR (CAD Hedged),VISA,Visa CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
VMET,TSX,Stock,Versamet Royalties Corporation,VMET,Versamet Royalties Corporation,TSX,Mining,,Materials,accept
VMY-H,TSXV,Stock,Voice Mobility International Inc,,,,,,,no_tmx_symbol_match
VTEN,TSXV,Stock,V Ten Metals Corp.,VTEN,V Ten Metals Corp.,TSXV,Mining,,Materials,accept
VTEN.P,TSXV,Stock,V Ten Capital Corp.,VTEN,V Ten Metals Corp.,TSXV,Mining,,Materials,accept
WAT.P,TSXV,Stock,Whatcom Capital II Corp.,WAT.P,Whatcom Capital II Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
WCM,TSX,Stock,Wilmington Capital Management Inc.,WCM,Wilmington Capital Management Inc.,TSX,Financial Services,,Financials,accept
WFCS,TSX,Stock,Wells Fargo CDR (CAD Hedged),WFCS,Wells Fargo CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
WFLD,TSXV,Stock,Wellfield Technologies Inc.,WFLD,Wellfield Technologies Inc.,TSXV,Technology,Blockchain/Cryptocurrency,Information Technology,accept
WITT.P,TSXV,Stock,Wittering Capital Corp.,WITT.P,Wittering Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
WOI-H,TSXV,Stock,WORLD ORGANICS INC,,,,,,,no_tmx_symbol_match
WOOD.P,TSXV,Stock,Woodbridge Ventures II Inc.,WOOD.P,Woodbridge Ventures II Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
WWA.P,TSXV,Stock,Whitewater Acquisition Corp.,WWA.P,Whitewater Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
XCYT,TSXV,Stock,Xcyte Digital Corp.,XCYT,Xcyte Digital Corp.,TSXV,Technology,,Information Technology,accept
XMF,TSX,Stock,M Split Corp.,XMF,M Split Corp.,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
XMF-A,TSX,Stock,M Split Corp,XMF,M Split Corp.,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
XOX.P,TSXV,Stock,Planet X Capital Corp.,XOX.P,Planet X Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
XTAO,TSXV,Stock,xTAO Inc.,XTAO,xTAO Inc.,TSXV,Technology,Blockchain/Cryptocurrency,Information Technology,accept
XTAO-U,TSXV,Stock,XTAO Inc.,XTAO,xTAO Inc.,TSXV,Technology,Blockchain/Cryptocurrency,Information Technology,accept
YAY,TSXV,Stock,THS Maple Holdings Ltd.,YAY,THS Maple Holdings Ltd.,TSXV,Consumer Products & Services,,,unsupported_or_ambiguous_tmx_sector
YSK.P,TSXV,Stock,Space Kingdom Digital Capital Corp.,YSK.P,Space Kingdom Digital Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ZBNI,TSXV,Stock,ZEB Nickel Corp.,ZBNI,ZEB Nickel Corp.,TSXV,Mining,,Materials,accept
ZYNS,TSX,Stock,Philip Morris CDR (CAD Hedged),ZYNS,Philip Morris CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
