listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
NYSE ARCA::LEMB,LEMB,NYSE ARCA,ETF,iShares J.P. Morgan EM Local Currency Bond ETF,Luxembourg,LU,LU1686830909,Emerging Markets,verified,Matched active official exchange directory listing.,iShares J.P. Morgan EM Local Currency Bond,nasdaq_other_listed,True,,,
NYSE ARCA::MMMA,MMMA,NYSE ARCA,ETF,New York Life Investments Active ETF Trust,United States,US,,,verified,Matched active official exchange directory listing.,NYLI MacKay Muni Allocation ETF,nasdaq_other_listed,True,,,
NYSE ARCA::NXTE,NXTE,NYSE ARCA,ETF,Investment Managers Series Trust II - AXS Sustainable Alpha ETF,United States,US,US46144X5867,,verified,Matched active official exchange directory listing.,AXS Green Alpha ETF,nasdaq_other_listed,True,,,
NYSE ARCA::PIN,PIN,NYSE ARCA,ETF,Invesco India ETF,United States,US,,Financials,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
NYSE ARCA::QTPI,QTPI,NYSE ARCA,ETF,North Square RCIM Tax-Advantaged Preferred and Income Securities ETF,United States,US,,,verified,Matched active official exchange directory listing.,North Square RCIM Tax-Advantaged Preferred and Income Securities ETF,nasdaq_other_listed,True,,,
NYSE ARCA::RSSL,RSSL,NYSE ARCA,ETF,Global X Russell 2000 ETF,United States,US,US37960A4537,,verified,Matched active official exchange directory listing.,Global X Russell 2000 ETF,nasdaq_other_listed,True,,,
NYSE ARCA::SGRW,SGRW,NYSE ARCA,ETF,Harbor Active Small Cap Growth ETF,United States,US,US41151J5965,,verified,Matched active official exchange directory listing.,Harbor Active Small Cap Growth ETF,nasdaq_other_listed,True,,,
NYSE ARCA::SPTB,SPTB,NYSE ARCA,ETF,SPDR Series Trust,United States,US,US78468R4570,,verified,Matched active official exchange directory listing.,State Street SPDR Portfolio Treasury ETF,nasdaq_other_listed,True,,,
NYSE ARCA::TEMD,TEMD,NYSE ARCA,ETF,Templeton Emerging Markets Debt ETF,United States,US,US35473P3148,,verified,Matched active official exchange directory listing.,Templeton Emerging Markets Debt ETF,nasdaq_other_listed,True,,,
NYSE ARCA::UCON,UCON,NYSE ARCA,ETF,First Trust TCW Unconstrained Plus Bond ETF,United States,US,US33740F8885,Corporate Bonds,verified,Matched active official exchange directory listing.,First Trust Smith Unconstrained Bond ETF,nasdaq_other_listed,True,,,
NYSE ARCA::VOO,VOO,NYSE ARCA,ETF,Vanguard S&P 500 ETF,United States,US,US9229083632,Large Cap,verified,Matched active official exchange directory listing.,Vanguard S&P 500 ETF,nasdaq_other_listed,True,,,
NYSE ARCA::XLG,XLG,NYSE ARCA,ETF,Invesco S&P 500® Top 50 ETF,United States,US,US46137V2337,Large Cap,verified,Matched active official exchange directory listing.,Invesco S&P 500 Top 50 ETF,nasdaq_other_listed,True,,,
NYSE MKT::DECU,DECU,NYSE MKT,ETF,AllianzIM U.S. Equity Buffer15 Uncapped Dec ETF,United States,US,,,cross_exchange_collision,Official directory uses this ticker on other exchange(s): BATS.,,,True,,,
OTC::ISCRF,ISCRF,OTC,ETF,iShares Public Limited Company - iShares Global Corp Bond UCITS ETF,United States,US,,Corporate Bonds,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
OTC::VGFPF,VGFPF,OTC,ETF,Vanguard Funds Public Limited Company - Vanguard S&P 500 UCITS ETF,United States,US,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
SIX::AWESGG,AWESGG,SIX,ETF,UBS MSCI ACWI Universal UCITS ETF hGBP acc,Ireland,IE,IE00BDQZN550,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::CSBGE3,CSBGE3,SIX,ETF,iShares VII PLC - iShares € Govt Bond 1-3yr ETF EUR Acc,Ireland,IE,IE00B3VTMJ91,Government Bonds,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::EUEUA,EUEUA,SIX,ETF,UBS(Lux)Fund Solutions – MSCI Europe UCITS ETF(hedged EUR)A-acc EUR,Luxembourg,LU,LU1600334798,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::LYHLT,LYHLT,SIX,ETF,Multi Units Luxembourg - Amundi STOXX Europe 600 Healthcare UCITS ETF Acc EUR,Luxembourg,LU,LU1834986900,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::STWX,STWX,SIX,ETF,SPDR® MSCI Europe Health Care UCITS ETF CHF,Ireland,IE,IE00BKWQ0H23,Industrials,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SIX::XGLD,XGLD,SIX,ETF,Xtrackers Physical Gold ETC USD,United Kingdom,GB,GB00B5840F36,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SSE::511820,511820,SSE,ETF,511820,China,CN,,Financials,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SSE::513330,513330,SSE,ETF,513330,China,CN,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SSE::516000,516000,SSE,ETF,516000,China,CN,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SSE::518600,518600,SSE,ETF,518600,China,CN,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SSE::562600,562600,SSE,ETF,562600,China,CN,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SZSE::159506,159506,SZSE,ETF,159506,China,CN,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SZSE::159659,159659,SZSE,ETF,159659,China,CN,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SZSE::159796,159796,SZSE,ETF,159796,China,CN,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
SZSE::159934,159934,SZSE,ETF,159934,China,CN,,Materials,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
TASE::IN-FF12,IN-FF12,TASE,ETF,INVESCO MARKETS PL,Ireland,IE,IE00BNRQM384,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
TASE::KSM-F56,KSM-F56,TASE,ETF,KSM Mutual Funds Ltd. - KSM ETF (4A) TA-RealEstate,Israel,IL,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
TASE::TCH-F10,TCH-F10,TASE,ETF,Tachlit Indices MF Management Ltd. - Tachlit SAL (00) Tel Bond 20,Israel,IL,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
TPEX::00726B,00726B,TPEX,ETF,Cathay EM USD Investment Grade ex China Coupon 5.5%5Yrplus 10% Country Capp,Taiwan,TW,TW00000726B9,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
TSE::1329,1329,TSE,ETF,iShares Core Nikkei 225 ETF,Japan,JP,,,verified,Matched active official exchange directory listing.,iShares Core Nikkei 225 ETF,jpx_listed_issues,True,,,
TSE::1688,1688,TSE,ETF,WisdomTree Grains,Japan,JP,,,verified,Matched active official exchange directory listing.,WisdomTree Grains,jpx_listed_issues,True,,,
TSE::2563,2563,TSE,ETF,iShares S&P 500 JPY Hedged ETF,Japan,JP,,,verified,Matched active official exchange directory listing.,iShares S&P 500 JPY Hedged ETF,jpx_listed_issues,True,,,
TSE::451A,451A,TSE,ETF,State Street SPDR S&P 500 High Dividend ETF (JPY Unhedged),Japan,JP,,,verified,Matched active official exchange directory listing.,State Street SPDR S&P 500 High Dividend ETF (JPY Unhedged),jpx_listed_issues,True,,,
TSX::BSKT,BSKT,TSX,ETF,Manulife Smart Core Bond ETF,Canada,CA,,Corporate Bonds,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
TSX::CMOM,CMOM,TSX,ETF,CI U.S. Enhanced Momentum Index ETF (Hedged Common Units),Canada,CA,CA12570V1067,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG01KZN8VL5,
TSX::DXV,DXV,TSX,ETF,Dynamic Active Ultra Short Term Bond ETF,Canada,CA,CA26801N1050,Investment Grade Bonds,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00KG28LQ0,
TSX::FMAX,FMAX,TSX,ETF,Hamilton U.S. Financials YIELD MAXIMIZER ETF,Canada,CA,CA4078511041,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG01LCBH3Z1,
TSX::HND,HND,TSX,ETF,BetaPro Natural Gas 2x Daily Bear,Canada,CA,CA08662P1062,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
TSX::LIFE-U,LIFE-U,TSX,ETF,Evolve Global Healthcare Enhanced Yield Fund,Canada,CA,CA30051T3091,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00QZ1B5C4,
