listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
AMS::MUSD,MUSD,AMS,ETF,iShares MSCI USA Swap UCITS ETF USD (Acc),Ireland,IE,IE0002W8NB38,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG01B2QHV89,
ASX::DBBF,DBBF,ASX,ETF,Betashares Ethical Diversified Balanced ETF,Australia,AU,AU0000059610,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00R05FK07,
ASX::ISLM,ISLM,ASX,ETF,HEJAZ Equities Fund Active ETF,Australia,AU,AU60ETL77426,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG019V5JDX8,
ASX::POE,POE,ASX,ETF,PROGRESS 2023-1 TRUST,Australia,AU,,,verified,Matched active official exchange directory listing.,PROGRESS 2023-1 TRUST,asx_listed_companies,False,,,
ASX::XMET,XMET,ASX,ETF,Betashares Energy Transition Metals ETF,Australia,AU,AU0000237406,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG019BR0LW5,
B3::BRXC11,BRXC11,B3,ETF,BTG PACTUAL TEVA IABR SELECTOR FDO DE INDI – RES L,Brazil,BR,,,verified,Matched active official exchange directory listing.,BTG PACTUAL TEVA IABR SELECTOR FDO DE INDI – RES L,b3_instruments_equities,True,,,
B3::OURO11,OURO11,B3,ETF,B-INDEX ETF OURO BRL B3 FUNDO DE INDICE -RESP LIM,Brazil,BR,,,verified,Matched active official exchange directory listing.,B-INDEX ETF OURO BRL B3 FUNDO DE INDICE -RESP LIM,b3_instruments_equities,True,,,
BATS::AJUL,AJUL,BATS,ETF,Innovator Equity Defined Protection ETF - 2 Yr to July 2026,United States,US,,,verified,Matched active official exchange directory listing.,Innovator Equity Defined Protection ETF - 2 Yr to July 2026,nasdaq_other_listed,True,,,
BATS::BTCW,BTCW,BATS,ETF,Wisdom Tree Bitcoin Fund,Canada,CA,CA09173W1014,,verified,Matched active official exchange directory listing.,WisdomTree Bitcoin Fund,nasdaq_other_listed,True,,,
BATS::DFIS,DFIS,BATS,ETF,Dimensional ETF Trust - Dimensional International Small Cap ETF,United States,US,US25434V7736,,verified,Matched active official exchange directory listing.,Dimensional International Small Cap ETF,nasdaq_other_listed,True,,,
BATS::FEBZ,FEBZ,BATS,ETF,Listed Funds Trust - TrueShares Structured Outcome (February) ETF,United States,US,US53656F7556,,verified,Matched active official exchange directory listing.,TrueShares Structured Outcome (February) ETF,nasdaq_other_listed,True,,,
BATS::HIMU,HIMU,BATS,ETF,iShares High Yield Muni Active ETF,United States,US,,,verified,Matched active official exchange directory listing.,iShares High Yield Muni Active ETF,nasdaq_other_listed,True,,,
BATS::JNEU,JNEU,BATS,ETF,AllianzIM U.S. Equity Buffer15 Uncapped Jun ETF,United States,US,,,verified,Matched active official exchange directory listing.,AllianzIM U.S. Equity Buffer15 Uncapped June ETF,nasdaq_other_listed,True,,,
BATS::MOTG,MOTG,BATS,ETF,VanEck Vectors ETF Trust - VanEck Vectors Morningstar Global Wide Moat ETF,United States,US,US92189F1223,,verified,Matched active official exchange directory listing.,VanEck Morningstar Global Wide Moat ETF,nasdaq_other_listed,True,,,
BATS::PAPR,PAPR,BATS,ETF,Innovator S&P 500 Power Buffer ETF - April New,United States,US,US45782C8709,Large Cap,verified,Matched active official exchange directory listing.,Innovator U.S. Equity Power Buffer ETF - April,nasdaq_other_listed,True,,,
BATS::RDFI,RDFI,BATS,ETF,Rareview Dynamic Fixed Income ETF,United States,US,US19423L7221,Bonds,verified,Matched active official exchange directory listing.,Rareview Dynamic Fixed Income ETF,nasdaq_other_listed,True,,,
BATS::TDVI,TDVI,BATS,ETF,FT Vest Technology Dividend Target Income ETF,United States,US,US33738D8121,,verified,Matched active official exchange directory listing.,FT Vest Technology Dividend Target Income ETF,nasdaq_other_listed,True,,,
BATS::WDNA,WDNA,BATS,ETF,WisdomTree BioRevolution Fund,Ireland,IE,IE000O8KMPM1,,verified,Matched active official exchange directory listing.,WisdomTree BioRevolution Fund,nasdaq_other_listed,True,,,
BVB::ICGROETF,ICGROETF,BVB,ETF,Intercapital ETF D.o.o.,Romania,RO,HRICAMFRGBB8,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
Euronext::CS9,CS9,Euronext,ETF,Amundi Index Solutions - Amundi MSCI Europe Ex Switzerland UCITS ETF-C EUR,Luxembourg,LU,LU1681044308,Developed Markets,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG00KBC1CN3,
Euronext::LEM,LEM,Euronext,ETF,Multi Units France - Lyxor MSCI Emerging Markets UCITS ETF,,,,Materials,cross_exchange_collision,Official directory uses this ticker on other exchange(s): TSXV.,,,True,,BBG001M6PG51,
Euronext::TSYE,TSYE,Euronext,ETF,SPDR Barclays Cap US Treasury Bond,,,,Financials,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG0024MSQD0,
JSE::MWETNQ,MWETNQ,JSE,ETF,FNB ETN on ISMSCIQ SEP25,South Africa,ZA,ZAE000291381,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::0021C0,0021C0,KRX,ETF,0021C0,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::139660,139660,KRX,ETF,Kiwoom KOSEF USD Inverse Futures ETF,South Korea,KR,KR7139660005,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::238720,238720,KRX,ETF,KIM KINDEX Japan Nikkei225 ETF(H),South Korea,KR,KR7238720007,Developed Markets,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::284430,284430,KRX,ETF,Samsung KODEX 200 US Treasury Notes Balanced ETF,South Korea,KR,KR7284430006,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::363510,363510,KRX,ETF,SOL KIS MSB,South Korea,KR,KR7363510009,Money Market Instruments,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::412560,412560,KRX,ETF,TIGER BBIG NEWDEAL LEVERAGE,South Korea,KR,KR7412560005,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::448100,448100,KRX,ETF,Woori Ks200 ETF,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::464240,464240,KRX,ETF,464240,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::481060,481060,KRX,ETF,481060,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::497570,497570,KRX,ETF,497570,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::3LBC,3LBC,LSE,ETF,GraniteShares 3x Long Barclays Daily ETC,United Kingdom,GB,XS2066849923,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::5HEP,5HEP,LSE,ETF,Ossiam ESG Low Carbon Shiller Barclays CAPE® US Sector UCITS ETF 1A (USD) GBP,Ireland,IE,IE00BF92LR56,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::B29G,B29G,LSE,ETF,INVESCO MARKETS II PLC IVZ BULLETSHARES 2029 USD C BOND GBP H D,Ireland,IE,IE000GFG8GS0,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
