listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
AMS::SAOT,SAOT,AMS,ETF,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE) EUR acc,Germany,DE,DE000A2QP4A8,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG016L2QQH3,
ASX::DGVA,DGVA,ASX,ETF,Dimensional Global Value Trust - Active ETF,Australia,AU,,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
ASX::JHLO,JHLO,ASX,ETF,Jpmorgan Global Select Equity (Hedged) Active ETF,Australia,AU,,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
ASX::PR4,PR4,ASX,ETF,PEPPER RESIDENTIAL SECURITIES TRUST NO. 40,Australia,AU,,,verified,Matched active official exchange directory listing.,PEPPER RESIDENTIAL SECURITIES TRUST NO. 40,asx_listed_companies,False,,,
ATHEX::AETF,AETF,ATHEX,ETF,ALPHA ETF FTSE Athex Large Cap Equity UCITS,Greece,GR,GRF000153004,Large Cap,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
B3::BUSM39,BUSM39,B3,ETF,Ishares Msci Usa Min Vol Factor ETF,Ireland,IE,IE00B53QG562,Financials,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
B3::PFIN11,PFIN11,B3,ETF,Perfin Apollo Energia Fundo De Investimento Em Participacoes Em Infraestrutura,Brazil,BR,,Utilities,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
BATS::AOCT,AOCT,BATS,ETF,Innovator Equity Defined Protection ETF - 2 Yr to October 2026,United States,US,,,verified,Matched active official exchange directory listing.,Innovator Equity Defined Protection ETF - 2 Yr to October 2026,nasdaq_other_listed,True,,,
BATS::BUFG,BUFG,BATS,ETF,First Trust Exchange-Traded Fund VIII - FT Cboe Vest Buffered Allocation Growth ETF,United States,US,US33740U7789,,verified,Matched active official exchange directory listing.,FT Vest Buffered Allocation Growth ETF,nasdaq_other_listed,True,,,
BATS::DGOC,DGOC,BATS,ETF,FT Vest U.S. Equity Buffer & Digital Return ETF - October,United States,US,,,verified,Matched active official exchange directory listing.,FT Vest U.S. Equity Buffer & Digital Return ETF - October,nasdaq_other_listed,True,,,
BATS::FFLV,FFLV,BATS,ETF,Fidelity Fundamental Large Cap Value ETF,United States,US,,,verified,Matched active official exchange directory listing.,Fidelity Fundamental Large Cap Value ETF,nasdaq_other_listed,True,,,
BATS::HOOW,HOOW,BATS,ETF,Roundhill ETF Trust - Roundhill HOOD WeeklyPay ETF,United States,US,,,verified,Matched active official exchange directory listing.,Roundhill HOOD WeeklyPay ETF,nasdaq_other_listed,True,,,
BATS::JUCY,JUCY,BATS,ETF,ETF Series Solutions - Aptus Enhanced Yield ETF,United States,US,US26922B6424,,verified,Matched active official exchange directory listing.,Aptus Enhanced Yield ETF,nasdaq_other_listed,True,,,
BATS::MSFW,MSFW,BATS,ETF,Roundhill ETF Trust - Roundhill MSFT WeeklyPay ETF,United States,US,,,verified,Matched active official exchange directory listing.,Roundhill MSFT WeeklyPay ETF,nasdaq_other_listed,True,,,
BATS::PAYH,PAYH,BATS,ETF,TrueShares S&P Autocallable High Income ETF,United States,US,,,verified,Matched active official exchange directory listing.,TrueShares S&P Autocallable High Income ETF,nasdaq_other_listed,True,,,
BATS::REGL,REGL,BATS,ETF,ProShares S&P MidCap 400 Dividend Aristocrats,United States,US,US74347B6801,Mid Cap,verified,Matched active official exchange directory listing.,ProShares S&P MidCap 400 Dividend Aristocrats ETF,nasdaq_other_listed,True,,,
