listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
AMS::MUSD,MUSD,AMS,ETF,iShares MSCI USA Swap UCITS ETF USD (Acc),Ireland,IE,IE0002W8NB38,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG01B2QHV89,
ASX::DBBF,DBBF,ASX,ETF,Betashares Ethical Diversified Balanced ETF,Australia,AU,AU0000059610,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00R05FK07,
ASX::ISLM,ISLM,ASX,ETF,HEJAZ Equities Fund Active ETF,Australia,AU,AU60ETL77426,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG019V5JDX8,
ASX::POE,POE,ASX,ETF,PROGRESS 2023-1 TRUST,Australia,AU,,,verified,Matched active official exchange directory listing.,PROGRESS 2023-1 TRUST,asx_listed_companies,False,,,
ASX::XMET,XMET,ASX,ETF,Betashares Energy Transition Metals ETF,Australia,AU,AU0000237406,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG019BR0LW5,
B3::BRXC11,BRXC11,B3,ETF,BTG PACTUAL TEVA IABR SELECTOR FDO DE INDI – RES L,Brazil,BR,,,verified,Matched active official exchange directory listing.,BTG PACTUAL TEVA IABR SELECTOR FDO DE INDI – RES L,b3_instruments_equities,True,,,
B3::OURO11,OURO11,B3,ETF,B-INDEX ETF OURO BRL B3 FUNDO DE INDICE -RESP LIM,Brazil,BR,,,verified,Matched active official exchange directory listing.,B-INDEX ETF OURO BRL B3 FUNDO DE INDICE -RESP LIM,b3_instruments_equities,True,,,
BATS::AJUL,AJUL,BATS,ETF,Innovator Equity Defined Protection ETF - 2 Yr to July 2026,United States,US,,,verified,Matched active official exchange directory listing.,Innovator Equity Defined Protection ETF - 2 Yr to July 2026,nasdaq_other_listed,True,,,
BATS::BTCW,BTCW,BATS,ETF,Wisdom Tree Bitcoin Fund,Canada,CA,CA09173W1014,,verified,Matched active official exchange directory listing.,WisdomTree Bitcoin Fund,nasdaq_other_listed,True,,,
BATS::DFIS,DFIS,BATS,ETF,Dimensional ETF Trust - Dimensional International Small Cap ETF,United States,US,US25434V7736,,verified,Matched active official exchange directory listing.,Dimensional International Small Cap ETF,nasdaq_other_listed,True,,,
BATS::FEBZ,FEBZ,BATS,ETF,Listed Funds Trust - TrueShares Structured Outcome (February) ETF,United States,US,US53656F7556,,verified,Matched active official exchange directory listing.,TrueShares Structured Outcome (February) ETF,nasdaq_other_listed,True,,,
BATS::HIMU,HIMU,BATS,ETF,iShares High Yield Muni Active ETF,United States,US,,,verified,Matched active official exchange directory listing.,iShares High Yield Muni Active ETF,nasdaq_other_listed,True,,,
BATS::JNEU,JNEU,BATS,ETF,AllianzIM U.S. Equity Buffer15 Uncapped Jun ETF,United States,US,,,verified,Matched active official exchange directory listing.,AllianzIM U.S. Equity Buffer15 Uncapped June ETF,nasdaq_other_listed,True,,,
BATS::MOTG,MOTG,BATS,ETF,VanEck Vectors ETF Trust - VanEck Vectors Morningstar Global Wide Moat ETF,United States,US,US92189F1223,,verified,Matched active official exchange directory listing.,VanEck Morningstar Global Wide Moat ETF,nasdaq_other_listed,True,,,
BATS::PAPR,PAPR,BATS,ETF,Innovator S&P 500 Power Buffer ETF - April New,United States,US,US45782C8709,Large Cap,verified,Matched active official exchange directory listing.,Innovator U.S. Equity Power Buffer ETF - April,nasdaq_other_listed,True,,,
BATS::RDFI,RDFI,BATS,ETF,Rareview Dynamic Fixed Income ETF,United States,US,US19423L7221,Bonds,verified,Matched active official exchange directory listing.,Rareview Dynamic Fixed Income ETF,nasdaq_other_listed,True,,,
BATS::TDVI,TDVI,BATS,ETF,FT Vest Technology Dividend Target Income ETF,United States,US,US33738D8121,,verified,Matched active official exchange directory listing.,FT Vest Technology Dividend Target Income ETF,nasdaq_other_listed,True,,,
BATS::WDNA,WDNA,BATS,ETF,WisdomTree BioRevolution Fund,Ireland,IE,IE000O8KMPM1,,verified,Matched active official exchange directory listing.,WisdomTree BioRevolution Fund,nasdaq_other_listed,True,,,
BVB::ICGROETF,ICGROETF,BVB,ETF,Intercapital ETF D.o.o.,Romania,RO,HRICAMFRGBB8,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
Euronext::CS9,CS9,Euronext,ETF,Amundi Index Solutions - Amundi MSCI Europe Ex Switzerland UCITS ETF-C EUR,Luxembourg,LU,LU1681044308,Developed Markets,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG00KBC1CN3,
Euronext::LCWLD,LCWLD,Euronext,ETF,BNP PARIBAS EASY - Low Carbon 300 World PAB UCITS ETF EUR Acc EUR,Luxembourg,LU,LU2194449075,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG011FFP7G6,
Euronext::TPXH,TPXH,Euronext,ETF,Amundi Index Solutions - Amundi Japan Topix UCITS ETF-C EUR Hedged,Luxembourg,LU,LU1681037864,Developed Markets,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG00KK8G766,
JSE::MWETNC,MWETNC,JSE,ETF,FNB ETN on ISMSCIC SEP25,South Africa,ZA,ZAE000291373,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::0020H0,0020H0,KRX,ETF,0020H0,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::139320,139320,KRX,ETF,MiraeAsset TIGER Precious Metal Futures ETF,South Korea,KR,KR7139320006,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::238670,238670,KRX,ETF,ARIRANG SMARTBETA Quality Balanced,South Korea,KR,KR7238670004,Corporate Bonds,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::283580,283580,KRX,ETF,Samsung KODEX China CSI300 ETF,South Korea,KR,KR7283580009,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::361580,361580,KRX,ETF,KBSTAR 200TR,South Korea,KR,KR7361580004,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::411860,411860,KRX,ETF,KOSEF Germany DAX,South Korea,KR,KR7411860000,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::447770,447770,KRX,ETF,TIGER TESLA Balanced,South Korea,KR,KR7447770009,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::463690,463690,KRX,ETF,463690,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::481050,481050,KRX,ETF,481050,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
KRX::497520,497520,KRX,ETF,497520,South Korea,KR,,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::3LBA,3LBA,LSE,ETF,GraniteShares 3x Long BAE Systems Daily ETC,United Kingdom,GB,XS2722160020,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::5HED,5HED,LSE,ETF,Ossiam ESG Low Carbon Shiller Barclays CAPE® US Sector UCITS ETF 1A (USD) USD,Ireland,IE,IE00BF92LR56,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
LSE::B28G,B28G,LSE,ETF,INVESCO MARKETS II PLC IVZ BULLETSHARES 2028 USD C BOND GBP H D,Ireland,IE,IE000QAO7DD4,,reference_gap,No official exchange directory is wired for this exchange yet.,,,False,,,
