ticker,exchange,asset_type,name,bse_scrip_code,bse_security_id,bse_name,bse_isin,bse_sector,bse_industry,bse_group,bse_subgroup,sector_update,name_match,isin_match,decision,error
FUTSOL,BSE_IN,Stock,Futuristic Solutions Ltd,534063,FUTSOL,Futuristic Solutions Ltd,INE241F01011,Financial Services,Financial Services,Finance,Other Financial Services,Financials,True,True,accept,
FUTURSEC,BSE_IN,Stock,Futuristic Securities Ltd,523113,FUTURSEC,Futuristic Securities Ltd,INE425D01015,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
FYNX,BSE_IN,Stock,Fynx Capital Ltd,507962,FYNX,Fynx Capital Ltd,INE455H01021,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
GAJANANSEC,BSE_IN,Stock,Gajanan Securities Services Ltd,538609,GAJANANSEC,Gajanan Securities Services Ltd,INE868G01019,Financial Services,Financial Services,Finance,Other Financial Services,Financials,True,True,accept,
GALADAFIN,BSE_IN,Stock,Galada Finance Ltd,538881,GALADAFIN,Galada Finance Ltd,INE243E01010,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
GALAGEX,BSE_IN,Stock,Galaxy Agrico Exports Ltd,531911,GALAGEX,Galaxy Agrico Exports Ltd,INE803L01016,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Industrials,True,True,accept,
GALLARD,BSE_IN,Stock,Gallard Steel Ltd,544616,GALLARD,Gallard Steel Ltd,INE0BUQ01012,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Consumer Discretionary,True,True,accept,
GAMCO,BSE_IN,Stock,Gamco Ltd,540097,GAMCO,Gamco Ltd,INE890S01026,Financial Services,Financial Services,Finance,Other Financial Services,Financials,True,True,accept,
GANGAPHARM,BSE_IN,Stock,Ganga Pharmaceuticals Ltd,539680,GANGAPHARM,Ganga Pharmaceuticals Ltd,INE615T01017,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,Health Care,True,True,accept,
GANHOLD,BSE_IN,Stock,Ganesh Holdings Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
GANONPRO,BSE_IN,Stock,Ganon Products Ltd,512443,GANONPRO,Ganon Products Ltd,INE162L01017,Services,Services,Commercial Services & Supplies,Trading & Distributors,Industrials,True,True,accept,
GANVERSE,BSE_IN,Stock,Ganesha Ecoverse Ltd,539041,GANVERSE,Ganesha Ecoverse Ltd,INE369Q01017,Services,Services,Commercial Services & Supplies,Trading & Distributors,Industrials,True,True,accept,
GARBIFIN,BSE_IN,Stock,Garbi Finvest Ltd,539492,GARBIFIN,Garbi Finvest Ltd,INE721C01019,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
GARGI,BSE_IN,Stock,PNGS Gargi Fashion Jewellery Ltd,543709,GARGI,PNGS Gargi Fashion Jewellery Ltd,INE0NT601018,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",Consumer Discretionary,True,True,accept,
GBLINFRA,BSE_IN,Stock,Global Infratech & Finance Ltd,531463,GBLINFRA,Global Infratech & Finance Ltd,INE377M01043,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,Industrials,True,True,accept,
GBLOGISTIC,BSE_IN,Stock,GB Logistics Commerce Ltd,544348,GBLOGISTIC,GB Logistics Commerce Ltd,INE0RWU01016,Services,Services,Transport Services,Logistics Solution Provider,Industrials,True,True,accept,
GCMCAPI,BSE_IN,Stock,GCM Capital Advisors Ltd,538319,GCMCAPI,GCM Capital Advisors Ltd,INE191P01017,Financial Services,Financial Services,Finance,Other Financial Services,Financials,True,True,accept,
GCMCOMM,BSE_IN,Stock,GCM Commodity & Derivatives Ltd,535917,GCMCOMM,GCM Commodity & Derivatives Ltd,INE200P01016,Financial Services,Financial Services,Finance,Other Financial Services,Financials,True,True,accept,
GCMSECU,BSE_IN,Stock,GCM Securities Ltd,535431,GCMSECU,GCM Securities Ltd,INE168O01026,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,Financials,True,True,accept,
GCONNECT,BSE_IN,Stock,Gconnect Logitech and Supply Chain Ltd,544156,GCONNECT,Gconnect Logitech and Supply Chain Ltd,INE0QHY01011,Services,Services,Transport Services,Logistics Solution Provider,Industrials,True,True,accept,
GDLLEAS,BSE_IN,Stock,GDL Leasing & Finance Ltd,530855,GDLLEAS,GDL Leasing & Finance Ltd,INE545E01018,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
GEE,BSE_IN,Stock,GEE Ltd,504028,GEE,GEE Ltd,INE064H01021,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,Industrials,False,True,accept,
GEMAROMA,BSE_IN,Stock,Gem Aromatics Ltd,544491,GEMAROMA,Gem Aromatics Ltd,INE06XZ01023,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Materials,True,True,accept,
GEMENVIRO,BSE_IN,Stock,GEM Enviro Management Ltd,544199,GEMENVIRO,GEM Enviro Management Ltd,INE0RUJ01013,Utilities,Utilities,Other Utilities,Waste Management,Utilities,True,True,accept,
GEMSPIN,BSE_IN,Stock,Gem Spinners India Ltd,521133,GEMSPIN,Gem Spinners India Ltd,INE165F01020,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Consumer Discretionary,True,True,accept,
GENESIS,BSE_IN,Stock,Genesis Ibrc India Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
GENPHARMA,BSE_IN,Stock,Genpharmasec Ltd,531592,GENPHARMA,Genpharmasec Ltd,INE861N01036,Services,Services,Commercial Services & Supplies,Trading & Distributors,Industrials,True,True,accept,
GETALONG,BSE_IN,Stock,Getalong Enterprise Ltd,543372,GETALONG,Getalong Enterprise Ltd,INE0H1201020,Services,Services,Commercial Services & Supplies,Consulting Services,Industrials,True,True,accept,
