source_id,source_key,provider,source_url,authority_level,reference_scope,license_status,license_name,license_url,derived_facts_redistribution_status,raw_redistribution_allowed,attribution_required,commercial_use_status,terms_version,terms_sha256,license_reviewed_at,freshness_sla_days,enabled
62c08428-7d41-5e66-81fe-3598b1e4b0c6,tase_foreign_etf_search,TASE,https://api.tase.co.il/api/content/searchentities?lang=1,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
4e946fe9-549a-5a43-b9f7-110c7eb0c3dd,tase_participating_unit_search,TASE,https://api.tase.co.il/api/content/searchentities?lang=1,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
56d4d3e7-d997-5b20-aa6e-3851e7d8e3c8,tase_securities_marketdata,TASE,https://api.tase.co.il/api/security/securitiesmarketdata,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
73562b4b-9098-53c0-9b84-676a3999ba78,tmx_etf_screener,TMX,https://dgr53wu9i7rmp.cloudfront.net/etfs/etfs.json,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
56382ede-f7d0-5621-9229-dab564765b5c,tmx_interlisted_companies,TMX,https://www.tsx.com/files/trading/interlisted-companies.txt,official,interlisted_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
9ce49729-b5d2-5005-b44c-a13df7406668,tmx_listed_issuers,TMX,https://www.tsx.com/en/listings/current-market-statistics/mig-archives,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
bb392fff-795e-5d40-beb5-a16949c54c6b,tpex_emerging_basic_info,MOPS,https://mopsfin.twse.com.tw/opendata/t187ap03_R.csv,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
85a70497-cbf6-533b-a834-38d2cd7bcd9e,tpex_etf_filter,TPEX,https://info.tpex.org.tw/ETF/en/filter.html,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
160fa291-986b-528b-af56-391417b612f1,tpex_mainboard_basic_info,MOPS,https://mopsfin.twse.com.tw/opendata/t187ap03_O.csv,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
a279286b-34be-5c6b-b13c-badfc8edc897,tpex_mainboard_daily_quotes,TPEX,https://www.tpex.org.tw/openapi/v1/tpex_mainboard_daily_close_quotes,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
a7262efa-e80b-58ad-9541-b26939c94804,twse_etf_list,TWSE,https://openapi.twse.com.tw/v1/opendata/t187ap47_L,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
51fed55a-3ff1-52fe-983c-6d669bc63dad,twse_listed_companies,TWSE,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
8f49cfa4-2013-5933-a3e3-196a0a536432,unresolved_identifier_wkn,WKN,unresolved://identifier/unresolved_identifier_wkn,registry,identifier_enrichment,review_required,,,review_required,false,review_required,review_required,,,,30,true
bdf79fbe-ac3d-5cdf-8368-aa89bc3f99fa,upcom_registered_securities,HNX,https://www.hnx.vn/cophieu-etfs/chung-khoan-uc.html,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
3aeb6228-c042-53e7-b5c6-15c9efcb19e5,use_ug_listed_companies,USE Uganda,https://www.use.or.ug/market-statistics/market-snapshot,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
c96b7caf-1e14-5d88-979c-695875521645,vienna_listed_companies,Wiener Boerse,https://www.wienerborse.at/en/listing/shares/companies-list/,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
bc1a1b5e-4049-5131-97e1-305794eeeac7,wse_etf_list,GPW,https://www.gpw.pl/etfy,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
deeb7eba-fbbd-5689-b01d-d4fd6ec1592a,wse_listed_companies,GPW,https://www.gpw.pl/spolki,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
ff40b3aa-ffcb-543d-a316-a4d158ecba24,zagreb_securities_directory,ZSE Croatia,https://zse.hr/en/shares/68,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
9adfc56d-9b92-5875-8896-ede66d94847e,zse_zw_listed_companies,ZSE Zimbabwe,https://www.zse.co.zw/listed-securities/equity,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
