venue_id,exchange_code,operating_mic,segment_mic,canonical_name,country_code,status
8e8b2d16-52cf-56da-9d8c-077130fce0ac,PSE_CZ,XPRA,,Prague Stock Exchange,CZ,active
54cdfbbe-3535-58d9-ab1b-d2c577670680,PSX,XKAR,,Pakistan Stock Exchange,PK,active
ba8ab629-5acc-5e46-9c9d-ec56b2a1a33c,QSE,DSMD,,Qatar Stock Exchange,QA,active
02cbdd01-7c3c-5632-87c1-5bb40433dcf0,RSE,RSEX,,Rwanda Stock Exchange,RW,active
ab5309ec-5254-5b13-b88b-d3b18a19b5ee,SEM,XMAU,,Stock Exchange of Mauritius,MU,active
43c0730c-dad8-5834-8b43-8a69877720c8,SET,XBKK,,The Stock Exchange of Thailand,TH,active
10372f95-f0a6-5517-9560-9ed14148e8f8,SGX,XSES,,Singapore Exchange,SG,active
e59a1f21-512b-5fa1-8ba1-5f74a8d23e0b,SIX,XSWX,,SIX Swiss Exchange,CH,active
07276dee-8215-5ec2-b265-521391313633,SSE,XSHG,,Shanghai Stock Exchange,CN,active
5d517b68-6797-57e7-a76e-821fabccfe8e,SSE_CL,XSGO,,Santiago Stock Exchange,CL,active
e7c01e03-72e5-52cd-9d6a-cf15911b0a1c,STO,XSTO,,Nasdaq Stockholm,SE,active
adaba4c1-e8de-57ca-9339-8a4cb99ea981,SZSE,XSHE,,Shenzhen Stock Exchange,CN,active
cdea95c0-bf59-57c1-8244-79ca75206d59,TADAWUL,XSAU,,Saudi Exchange,SA,active
fed95ffe-178b-5e03-9006-ff59cb7d7ccc,TASE,XTAE,,Tel Aviv Stock Exchange,IL,active
46fee15d-f895-5193-af0d-570f57da381f,TPEX,ROCO,,Taipei Exchange,TW,active
8b8bcf1c-a6e3-57d9-8463-6c902d7de1e7,TSE,XJPX,XTKS,Tokyo Stock Exchange,JP,active
472b15b5-f890-525b-a29a-9558d461f32e,TSX,XTSE,,Toronto Stock Exchange,CA,active
